Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
12:04:19,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
12:04:29,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
12:04:30,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
12:04:31,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
12:04:32,0.0,552.0,40.0,0.0,29.0,0.0,47.0,0,0
12:04:33,0.0,552.0,40.0,0.0,29.0,0.0,47.0,0,0
12:04:34,0.0,592.0,50.0,0.0,29.0,0.0,50.0,0,0
12:04:35,0.0,659.0,58.0,0.0,29.0,0.0,49.0,0,0
12:04:36,0.0,712.0,63.0,0.0,29.0,0.0,48.0,0,0
12:04:37,0.0,787.0,71.0,0.0,29.0,0.0,50.0,0,0
12:04:38,0.0,795.0,78.0,0.0,29.0,0.0,49.0,0,0
12:04:39,0.0,849.0,82.0,0.0,29.0,0.0,50.0,0,0
12:04:40,0.0,865.0,86.0,0.0,29.0,0.0,50.0,0,0
12:04:41,0.0,865.0,92.0,0.0,29.0,0.0,52.0,0,0
12:04:42,0.0,801.0,94.0,0.0,29.0,0.0,51.0,0,0
12:04:43,0.0,855.0,97.0,0.0,29.0,0.0,51.0,0,0
12:04:44,0.0,834.0,99.0,0.0,29.0,0.0,52.0,0,0
12:04:45,0.0,742.0,100.0,0.0,29.0,0.0,54.0,0,0
12:04:46,0.0,557.0,103.0,0.0,29.0,0.0,51.0,0,0
12:04:47,0.0,590.0,106.0,0.0,29.0,0.0,51.0,0,0
12:04:48,0.0,575.0,107.0,0.0,29.0,0.0,54.0,0,0
12:04:49,0.0,607.0,108.0,0.0,29.0,0.0,52.0,0,0
12:04:50,0.0,619.0,109.0,0.0,29.0,0.0,52.0,0,0
12:04:51,0.0,570.0,108.0,0.0,29.0,0.0,52.0,0,0
12:04:52,0.0,543.0,109.0,0.0,29.0,0.0,54.0,0,0
12:04:53,0.0,490.0,110.0,0.0,29.0,0.0,52.0,0,0
12:04:54,0.0,498.0,111.0,0.0,29.0,0.0,53.0,0,0
12:04:55,0.0,540.0,113.0,0.0,29.0,0.0,54.0,0,0
12:04:56,0.0,536.0,115.0,0.0,29.0,0.0,53.0,0,0
12:04:57,0.0,529.0,115.0,0.0,29.0,0.0,54.0,0,0
12:04:58,0.0,554.0,113.0,0.0,29.0,0.0,52.0,0,0
12:04:59,0.0,570.0,113.0,0.0,29.0,0.0,51.0,0,0
12:05:00,0.0,545.0,113.0,0.0,29.0,0.0,55.0,0,0
12:05:01,0.0,406.0,115.0,0.0,29.0,0.0,53.0,0,0
12:05:02,0.0,422.0,117.0,0.0,29.0,0.0,53.0,0,0
12:05:03,0.0,470.0,117.0,0.0,29.0,0.0,50.0,0,0
12:05:04,0.0,485.0,117.0,0.0,29.0,0.0,52.0,0,0
12:05:05,0.0,434.0,115.0,0.0,29.0,0.0,52.0,0,0
12:05:06,0.0,416.0,114.0,0.0,29.0,0.0,53.0,0,0
12:05:07,0.0,461.0,113.0,0.0,29.0,0.0,52.0,0,0
12:05:08,0.0,379.0,113.0,0.0,29.0,0.0,55.0,0,0
12:05:09,0.0,348.0,112.0,0.0,29.0,0.0,57.0,0,0
12:05:10,0.0,395.0,105.0,0.0,29.0,0.0,49.0,0,0
12:05:11,0.0,437.0,112.0,0.0,29.0,0.0,50.0,0,0
12:05:12,0.0,544.0,115.0,0.0,29.0,0.0,50.0,0,0
12:05:13,0.0,570.0,116.0,0.0,29.0,0.0,49.0,0,0
12:05:14,0.0,525.0,116.0,0.0,29.0,0.0,51.0,0,0
12:05:15,0.0,327.0,115.0,0.0,29.0,0.0,49.0,0,0
12:05:16,0.0,277.0,117.0,0.0,29.0,0.0,50.0,0,0
12:05:17,0.0,222.0,118.0,0.0,29.0,0.0,48.0,0,0
12:05:18,0.0,364.0,119.0,0.0,29.0,0.0,51.0,0,0
12:05:19,0.0,416.0,120.0,0.0,29.0,0.0,65.0,0,0
12:05:20,0.0,182.0,118.0,0.0,29.0,0.0,36.0,0,0
12:05:21,0.0,301.0,116.0,0.0,29.0,0.0,52.0,0,0
12:05:22,0.0,253.0,116.0,0.0,29.0,0.0,63.0,0,0
12:05:23,0.0,183.0,114.0,0.0,29.0,0.0,44.0,0,0
12:05:24,0.0,420.0,116.0,0.0,29.0,0.0,53.0,0,0
12:05:25,0.0,270.0,119.0,0.0,29.0,0.0,31.0,0,0
12:05:26,0.0,253.0,120.0,0.0,29.0,0.0,50.0,0,0
12:05:27,0.0,259.0,118.0,0.0,29.0,0.0,65.0,0,0
12:05:28,0.0,161.0,115.0,0.0,29.0,0.0,42.0,0,0
12:05:29,0.0,249.0,114.0,0.0,29.0,0.0,45.0,0,0
12:05:30,0.0,329.0,113.0,0.0,29.0,0.0,46.0,0,0
12:05:31,0.0,326.0,115.0,0.0,29.0,0.0,48.0,0,0
12:05:32,0.0,225.0,118.0,0.0,29.0,0.0,61.0,0,0
12:05:33,0.0,107.0,118.0,0.0,29.0,0.0,11.0,0,0
12:05:34,0.0,252.0,117.0,0.0,29.0,0.0,51.0,0,0
12:05:35,0.0,343.0,115.0,0.0,29.0,0.0,56.0,0,0
12:05:36,0.0,359.0,114.0,0.0,29.0,0.0,53.0,0,0
12:05:37,0.0,268.0,115.0,0.0,29.0,0.0,59.0,0,0
12:05:38,0.0,211.0,113.0,0.0,29.0,0.0,41.0,0,0
12:05:39,0.0,212.0,115.0,0.0,29.0,0.0,61.0,0,0
12:05:40,0.0,170.0,116.0,0.0,29.0,0.0,51.0,0,0
12:05:41,0.0,312.0,117.0,0.0,29.0,0.0,47.0,0,0
12:05:42,0.0,249.0,116.0,0.0,29.0,0.0,63.0,0,0
12:05:43,0.0,140.0,113.0,0.0,29.0,0.0,51.0,0,0
12:05:44,0.0,260.0,112.0,0.0,29.0,0.0,51.0,0,0
12:05:45,0.0,217.0,112.0,0.0,29.0,0.0,48.0,0,0
12:05:46,0.0,197.0,113.0,0.0,29.0,0.0,47.0,0,0
12:05:47,0.0,297.0,115.0,0.0,29.0,0.0,49.0,0,0
12:05:48,0.0,435.0,116.0,0.0,29.0,0.0,51.0,0,0
12:05:49,0.0,434.0,117.0,0.0,29.0,0.0,55.0,0,0
12:05:50,0.0,203.0,115.0,0.0,29.0,0.0,76.0,0,0
12:05:51,0.0,75.0,112.0,0.0,29.0,0.0,50.0,0,0
12:05:52,0.0,206.0,112.0,0.0,29.0,0.0,56.0,0,0
12:05:53,0.0,315.0,111.0,0.0,29.0,0.0,46.0,0,0
12:05:54,0.0,427.0,114.0,0.0,29.0,0.0,55.0,0,0
12:05:55,0.0,282.0,116.0,0.0,29.0,0.0,55.0,0,0
12:05:56,0.0,195.0,117.0,0.0,29.0,0.0,75.0,0,0
12:05:57,0.0,114.0,113.0,0.0,29.0,0.0,40.0,0,0
12:05:58,0.0,199.0,111.0,0.0,29.0,0.0,37.0,0,0
12:05:59,0.0,316.0,111.0,0.0,29.0,0.0,46.0,0,0
12:06:00,0.0,201.0,111.0,0.0,29.0,0.0,33.0,0,0
12:06:01,0.0,334.0,111.0,0.0,29.0,0.0,49.0,0,0
12:06:02,0.0,277.0,115.0,0.0,29.0,0.0,54.0,0,0
12:06:03,0.0,246.0,115.0,0.0,29.0,0.0,44.0,0,0
12:06:04,0.0,313.0,115.0,0.0,29.0,0.0,52.0,0,0
12:06:05,0.0,331.0,112.0,0.0,29.0,0.0,51.0,0,0
12:06:06,0.0,318.0,111.0,0.0,29.0,0.0,49.0,0,0
12:06:07,0.0,349.0,111.0,0.0,29.0,0.0,43.0,0,0
12:06:08,0.0,410.0,111.0,0.0,29.0,0.0,48.0,0,0
12:06:09,0.0,461.0,113.0,0.0,29.0,0.0,51.0,0,0
12:06:10,0.0,432.0,117.0,0.0,29.0,0.0,52.0,0,0
12:06:11,0.0,292.0,118.0,0.0,29.0,0.0,58.0,0,0
12:06:12,0.0,188.0,116.0,0.0,29.0,0.0,45.0,0,0
12:06:13,0.0,187.0,112.0,0.0,29.0,0.0,42.0,0,0
