Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
20:40:55,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
20:41:12,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
20:41:13,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
20:41:14,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
20:41:15,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
20:41:16,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
20:41:17,0.0,0.0,24.0,0.0,29.0,0.0,255.0,0,0
20:41:18,0.0,0.0,24.0,0.0,29.0,0.0,255.0,0,0
20:41:19,0.0,0.0,21.0,0.0,29.0,0.0,255.0,0,0
20:42:01,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
20:42:02,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
20:42:03,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
20:42:04,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
20:42:05,0.0,0.0,25.0,0.0,29.0,0.0,255.0,0,0
20:42:06,0.0,0.0,25.0,0.0,29.0,0.0,255.0,0,0
20:42:07,0.0,0.0,25.0,0.0,29.0,0.0,255.0,0,0
20:42:08,0.0,0.0,22.0,0.0,29.0,0.0,255.0,0,0
20:42:09,0.0,0.0,22.0,0.0,29.0,0.0,255.0,0,0
20:42:10,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
20:42:11,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
20:42:12,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
20:42:13,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
20:42:14,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
20:42:15,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
20:42:16,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
20:42:17,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
20:42:18,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
