Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
12:04:26,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
12:04:27,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
12:04:28,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
12:04:29,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
12:04:30,0.0,516.0,40.0,0.0,30.0,0.0,48.0,0,0
12:04:31,0.0,600.0,50.0,0.0,30.0,0.0,47.0,0,0
12:04:32,0.0,439.0,58.0,0.0,30.0,0.0,67.0,0,0
12:04:33,0.0,652.0,63.0,0.0,30.0,0.0,47.0,0,0
12:04:34,0.0,725.0,71.0,0.0,30.0,0.0,49.0,0,0
12:04:35,0.0,758.0,79.0,0.0,30.0,0.0,53.0,0,0
12:04:36,0.0,724.0,82.0,0.0,30.0,0.0,52.0,0,0
12:04:37,0.0,839.0,87.0,0.0,30.0,0.0,50.0,0,0
12:04:38,0.0,812.0,93.0,0.0,30.0,0.0,50.0,0,0
12:04:39,0.0,655.0,95.0,0.0,30.0,0.0,48.0,0,0
12:04:40,0.0,738.0,97.0,0.0,30.0,0.0,51.0,0,0
12:04:41,0.0,523.0,101.0,0.0,30.0,0.0,57.0,0,0
12:04:42,0.0,506.0,101.0,0.0,30.0,0.0,49.0,0,0
12:04:43,0.0,577.0,103.0,0.0,30.0,0.0,55.0,0,0
12:04:44,0.0,448.0,107.0,0.0,30.0,0.0,39.0,0,0
12:04:45,0.0,447.0,106.0,0.0,30.0,0.0,46.0,0,0
12:04:46,0.0,534.0,108.0,0.0,30.0,0.0,46.0,0,0
12:04:47,0.0,435.0,109.0,0.0,30.0,0.0,66.0,0,0
12:04:48,0.0,455.0,108.0,0.0,30.0,0.0,44.0,0,0
12:04:49,0.0,547.0,109.0,0.0,30.0,0.0,50.0,0,0
12:04:50,0.0,570.0,110.0,0.0,30.0,0.0,49.0,0,0
12:04:51,0.0,431.0,112.0,0.0,30.0,0.0,37.0,0,0
12:04:52,0.0,242.0,114.0,0.0,30.0,0.0,9.0,0,0
12:04:53,0.0,425.0,115.0,0.0,30.0,0.0,37.0,0,0
12:04:54,0.0,415.0,116.0,0.0,30.0,0.0,39.0,0,0
12:04:55,0.0,435.0,113.0,0.0,30.0,0.0,47.0,0,0
12:04:56,0.0,456.0,113.0,0.0,30.0,0.0,47.0,0,0
12:04:57,0.0,421.0,113.0,0.0,30.0,0.0,49.0,0,0
12:04:58,0.0,480.0,115.0,0.0,30.0,0.0,51.0,0,0
12:04:59,0.0,235.0,118.0,0.0,30.0,0.0,64.0,0,0
12:05:00,0.0,297.0,118.0,0.0,30.0,0.0,39.0,0,0
12:05:01,0.0,325.0,118.0,0.0,30.0,0.0,64.0,0,0
12:05:02,0.0,300.0,116.0,0.0,30.0,0.0,51.0,0,0
12:05:03,0.0,227.0,114.0,0.0,30.0,0.0,39.0,0,0
12:05:04,0.0,394.0,114.0,0.0,30.0,0.0,41.0,0,0
12:05:05,0.0,393.0,113.0,0.0,30.0,0.0,50.0,0,0
12:05:06,0.0,479.0,115.0,0.0,30.0,0.0,49.0,0,0
12:05:07,0.0,519.0,118.0,0.0,30.0,0.0,52.0,0,0
12:05:08,0.0,509.0,120.0,0.0,30.0,0.0,49.0,0,0
12:05:09,0.0,576.0,119.0,0.0,30.0,0.0,52.0,0,0
12:05:10,0.0,529.0,117.0,0.0,30.0,0.0,51.0,0,0
12:05:11,0.0,503.0,115.0,0.0,30.0,0.0,52.0,0,0
12:05:12,0.0,398.0,115.0,0.0,30.0,0.0,54.0,0,0
12:05:13,0.0,443.0,115.0,0.0,30.0,0.0,50.0,0,0
12:05:14,0.0,488.0,118.0,0.0,30.0,0.0,52.0,0,0
12:05:15,0.0,485.0,119.0,0.0,30.0,0.0,53.0,0,0
12:05:16,0.0,498.0,119.0,0.0,30.0,0.0,49.0,0,0
12:05:17,0.0,468.0,116.0,0.0,30.0,0.0,49.0,0,0
12:05:18,0.0,498.0,115.0,0.0,30.0,0.0,50.0,0,0
12:05:19,0.0,434.0,115.0,0.0,30.0,0.0,47.0,0,0
12:05:20,0.0,384.0,113.0,0.0,30.0,0.0,51.0,0,0
12:05:21,0.0,390.0,108.0,0.0,30.0,0.0,51.0,0,0
12:05:22,0.0,402.0,108.0,0.0,30.0,0.0,55.0,0,0
12:05:23,0.0,394.0,113.0,0.0,30.0,0.0,53.0,0,0
12:05:24,0.0,491.0,117.0,0.0,30.0,0.0,50.0,0,0
12:05:25,0.0,371.0,116.0,0.0,30.0,0.0,49.0,0,0
12:05:26,0.0,239.0,114.0,0.0,30.0,0.0,41.0,0,0
12:05:27,0.0,290.0,114.0,0.0,30.0,0.0,55.0,0,0
12:05:28,0.0,398.0,115.0,0.0,30.0,0.0,52.0,0,0
12:05:29,0.0,288.0,118.0,0.0,30.0,0.0,57.0,0,0
12:05:30,0.0,175.0,119.0,0.0,30.0,0.0,48.0,0,0
12:05:31,0.0,17.0,117.0,0.0,30.0,0.0,8.0,0,0
12:05:32,0.0,293.0,113.0,0.0,30.0,0.0,45.0,0,0
12:05:33,0.0,441.0,114.0,0.0,30.0,0.0,55.0,0,0
12:05:34,0.0,421.0,114.0,0.0,30.0,0.0,50.0,0,0
12:05:35,0.0,376.0,113.0,0.0,30.0,0.0,50.0,0,0
12:05:36,0.0,293.0,116.0,0.0,30.0,0.0,63.0,0,0
12:05:37,0.0,42.0,117.0,0.0,30.0,0.0,2.0,0,0
12:05:38,0.0,304.0,116.0,0.0,30.0,0.0,49.0,0,0
12:05:39,0.0,239.0,116.0,0.0,30.0,0.0,57.0,0,0
12:05:40,0.0,141.0,114.0,0.0,30.0,0.0,43.0,0,0
12:05:41,0.0,213.0,112.0,0.0,30.0,0.0,52.0,0,0
12:05:42,0.0,237.0,112.0,0.0,30.0,0.0,44.0,0,0
12:05:43,0.0,304.0,113.0,0.0,30.0,0.0,66.0,0,0
12:05:44,0.0,198.0,115.0,0.0,30.0,0.0,49.0,0,0
12:05:45,0.0,337.0,115.0,0.0,30.0,0.0,50.0,0,0
12:05:46,0.0,460.0,116.0,0.0,30.0,0.0,48.0,0,0
12:05:47,0.0,412.0,115.0,0.0,30.0,0.0,57.0,0,0
12:05:48,0.0,128.0,113.0,0.0,30.0,0.0,69.0,0,0
12:05:49,0.0,198.0,112.0,0.0,30.0,0.0,51.0,0,0
12:05:50,0.0,261.0,110.0,0.0,30.0,0.0,38.0,0,0
12:05:51,0.0,464.0,113.0,0.0,30.0,0.0,51.0,0,0
12:05:52,0.0,368.0,117.0,0.0,30.0,0.0,49.0,0,0
12:05:53,0.0,323.0,117.0,0.0,30.0,0.0,60.0,0,0
12:05:54,0.0,62.0,115.0,0.0,30.0,0.0,46.0,0,0
12:05:55,0.0,80.0,112.0,0.0,30.0,0.0,38.0,0,0
12:05:56,0.0,221.0,111.0,0.0,30.0,0.0,39.0,0,0
12:05:57,0.0,266.0,110.0,0.0,30.0,0.0,57.0,0,0
12:05:58,0.0,284.0,110.0,0.0,30.0,0.0,41.0,0,0
12:05:59,0.0,448.0,114.0,0.0,30.0,0.0,56.0,0,0
12:06:00,0.0,186.0,116.0,0.0,30.0,0.0,46.0,0,0
12:06:01,0.0,306.0,116.0,0.0,30.0,0.0,54.0,0,0
12:06:02,0.0,150.0,113.0,0.0,30.0,0.0,31.0,0,0
12:06:03,0.0,387.0,111.0,0.0,30.0,0.0,51.0,0,0
12:06:04,0.0,239.0,111.0,0.0,30.0,0.0,56.0,0,0
12:06:05,0.0,352.0,111.0,0.0,30.0,0.0,48.0,0,0
12:06:06,0.0,455.0,112.0,0.0,30.0,0.0,52.0,0,0
12:06:07,0.0,468.0,116.0,0.0,30.0,0.0,51.0,0,0
12:06:08,0.0,417.0,118.0,0.0,30.0,0.0,55.0,0,0
