Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
18:53:12,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
18:57:51,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
18:57:56,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
18:57:57,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
18:57:58,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
18:57:59,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
18:58:00,0.0,73.0,50.0,0.0,29.0,0.0,46.0,0,0
18:58:01,0.0,88.0,60.0,0.0,29.0,0.0,65.0,0,0
18:58:02,0.0,68.0,66.0,0.0,29.0,0.0,56.0,0,0
18:58:03,0.0,56.0,69.0,0.0,29.0,0.0,52.0,0,0
18:58:04,0.0,59.0,69.0,0.0,29.0,0.0,58.0,0,0
18:58:05,0.0,58.0,70.0,0.0,29.0,0.0,55.0,0,0
18:58:06,0.0,58.0,70.0,0.0,29.0,0.0,58.0,0,0
18:58:07,0.0,55.0,70.0,0.0,29.0,0.0,57.0,0,0
18:58:08,0.0,59.0,68.0,0.0,29.0,0.0,48.0,0,0
18:58:09,0.0,62.0,71.0,0.0,29.0,0.0,52.0,0,0
18:58:10,0.0,61.0,71.0,0.0,29.0,0.0,53.0,0,0
18:58:11,0.0,61.0,71.0,0.0,29.0,0.0,53.0,0,0
18:58:12,0.0,62.0,72.0,0.0,29.0,0.0,54.0,0,0
18:58:13,0.0,61.0,73.0,0.0,29.0,0.0,54.0,0,0
18:58:14,0.0,55.0,73.0,0.0,29.0,0.0,55.0,0,0
18:58:15,0.0,50.0,71.0,0.0,29.0,0.0,49.0,0,0
18:58:16,0.0,53.0,71.0,0.0,29.0,0.0,56.0,0,0
18:58:17,0.0,57.0,70.0,0.0,29.0,0.0,46.0,0,0
18:58:18,0.0,59.0,71.0,0.0,29.0,0.0,55.0,0,0
18:58:19,0.0,60.0,72.0,0.0,29.0,0.0,55.0,0,0
18:58:20,0.0,56.0,72.0,0.0,29.0,0.0,59.0,0,0
18:58:21,0.0,51.0,71.0,0.0,29.0,0.0,43.0,0,0
18:58:22,0.0,68.0,72.0,0.0,29.0,0.0,49.0,0,0
18:58:23,0.0,67.0,73.0,0.0,29.0,0.0,47.0,0,0
18:58:24,0.0,63.0,74.0,0.0,29.0,0.0,47.0,0,0
18:58:25,0.0,62.0,75.0,0.0,29.0,0.0,47.0,0,0
18:58:26,0.0,66.0,75.0,0.0,29.0,0.0,49.0,0,0
18:58:27,0.0,66.0,76.0,0.0,29.0,0.0,47.0,0,0
18:58:28,0.0,62.0,76.0,0.0,29.0,0.0,53.0,0,0
18:58:29,0.0,54.0,76.0,0.0,29.0,0.0,55.0,0,0
18:58:30,0.0,65.0,76.0,0.0,29.0,0.0,50.0,0,0
18:58:31,0.0,57.0,75.0,0.0,29.0,0.0,45.0,0,0
18:58:32,0.0,53.0,74.0,0.0,29.0,0.0,59.0,0,0
18:58:33,0.0,0.0,0.0,0.0,29.0,0.0,100.0,0,0
18:58:34,0.0,0.0,0.0,0.0,29.0,0.0,100.0,0,0
18:58:35,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0,0
18:58:46,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
18:58:51,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
18:58:52,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
18:58:54,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
18:59:02,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
18:59:03,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
