Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
12:16:56,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
12:17:04,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
12:17:17,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
12:17:18,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
12:17:22,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
12:17:23,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
12:17:39,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
12:17:52,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
12:17:53,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
12:17:54,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
12:17:55,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
12:17:56,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
12:17:57,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
12:17:58,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
12:17:59,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
12:18:00,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
12:18:01,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
12:18:02,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
12:18:03,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
12:18:04,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
12:18:05,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
12:18:10,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
12:18:12,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
12:18:13,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
12:18:32,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
12:18:33,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
12:18:40,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
12:18:41,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
12:18:42,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
12:18:43,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
12:18:44,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
12:18:45,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
12:18:46,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
12:18:47,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
12:18:48,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
12:18:49,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
12:18:50,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
12:18:51,0.0,73.0,24.0,0.0,31.0,0.0,91.0,0,0
12:18:52,0.0,0.0,41.0,0.0,31.0,0.0,255.0,0,0
12:18:53,0.0,0.0,41.0,0.0,31.0,0.0,255.0,0,0
12:18:54,0.0,0.0,36.0,0.0,31.0,0.0,255.0,0,0
12:18:55,0.0,0.0,36.0,0.0,31.0,0.0,255.0,0,0
12:18:56,0.0,0.0,27.0,0.0,31.0,0.0,255.0,0,0
12:18:57,0.0,0.0,27.0,0.0,31.0,0.0,255.0,0,0
12:18:58,0.0,0.0,27.0,0.0,31.0,0.0,255.0,0,0
12:18:59,0.0,0.0,24.0,0.0,31.0,0.0,255.0,0,0
12:19:00,0.0,0.0,24.0,0.0,31.0,0.0,255.0,0,0
12:19:01,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
12:19:02,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
12:19:03,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
12:19:04,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
12:19:05,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
12:19:06,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
