Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
18:57:49,0.0,0.0,0.0,0.0,28.0,0.0,255.0,0,0
18:57:50,0.0,0.0,0.0,0.0,28.0,0.0,255.0,0,0
18:57:54,0.0,0.0,0.0,0.0,28.0,0.0,255.0,0,0
18:57:55,0.0,0.0,0.0,0.0,28.0,0.0,255.0,0,0
18:57:56,0.0,0.0,0.0,0.0,28.0,0.0,255.0,0,0
18:57:57,0.0,115.0,62.0,0.0,28.0,0.0,48.0,0,0
18:57:58,0.0,125.0,79.0,0.0,28.0,0.0,55.0,0,0
18:57:59,0.0,74.0,86.0,0.0,28.0,0.0,53.0,0,0
18:58:00,0.0,76.0,85.0,0.0,28.0,0.0,50.0,0,0
18:58:01,0.0,75.0,85.0,0.0,29.0,0.0,51.0,0,0
18:58:02,0.0,68.0,85.0,0.0,29.0,0.0,52.0,0,0
18:58:03,0.0,69.0,84.0,0.0,29.0,0.0,49.0,0,0
18:58:04,0.0,70.0,84.0,0.0,29.0,0.0,52.0,0,0
18:58:05,0.0,85.0,85.0,0.0,29.0,0.0,61.0,0,0
18:58:06,0.0,93.0,88.0,0.0,29.0,0.0,52.0,0,0
18:58:07,0.0,93.0,89.0,0.0,29.0,0.0,54.0,0,0
18:58:08,0.0,93.0,91.0,0.0,29.0,0.0,52.0,0,0
18:58:09,0.0,87.0,92.0,0.0,29.0,0.0,53.0,0,0
18:58:10,0.0,87.0,92.0,0.0,29.0,0.0,52.0,0,0
18:58:11,0.0,91.0,92.0,0.0,29.0,0.0,51.0,0,0
18:58:12,0.0,92.0,93.0,0.0,29.0,0.0,50.0,0,0
18:58:13,0.0,84.0,93.0,0.0,29.0,0.0,53.0,0,0
18:58:14,0.0,86.0,93.0,0.0,29.0,0.0,55.0,0,0
18:58:15,0.0,81.0,93.0,0.0,29.0,0.0,53.0,0,0
18:58:16,0.0,80.0,92.0,0.0,29.0,0.0,53.0,0,0
18:58:17,0.0,88.0,92.0,0.0,29.0,0.0,51.0,0,0
18:58:18,0.0,86.0,93.0,0.0,29.0,0.0,56.0,0,0
18:58:19,0.0,80.0,92.0,0.0,29.0,0.0,55.0,0,0
18:58:20,0.0,80.0,92.0,0.0,29.0,0.0,55.0,0,0
18:58:21,0.0,81.0,91.0,0.0,29.0,0.0,53.0,0,0
18:58:22,0.0,83.0,91.0,0.0,29.0,0.0,53.0,0,0
18:58:23,0.0,87.0,92.0,0.0,29.0,0.0,53.0,0,0
18:58:24,0.0,84.0,92.0,0.0,29.0,0.0,53.0,0,0
18:58:25,0.0,86.0,92.0,0.0,29.0,0.0,52.0,0,0
18:58:26,0.0,79.0,91.0,0.0,29.0,0.0,51.0,0,0
18:58:27,0.0,83.0,91.0,0.0,29.0,0.0,52.0,0,0
18:58:28,0.0,78.0,91.0,0.0,29.0,0.0,56.0,0,0
18:58:29,0.0,90.0,91.0,0.0,29.0,0.0,42.0,0,0
