Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
19:35:10,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
19:41:36,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
19:41:58,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
19:47:14,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
19:48:52,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
19:48:53,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
19:48:54,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
19:48:55,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
19:48:56,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
19:48:57,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
19:48:58,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
19:48:59,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
19:49:00,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
19:49:01,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
19:49:02,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
19:49:03,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
19:49:04,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
19:49:05,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
19:49:06,0.0,29.0,22.0,0.0,31.0,0.0,66.0,0,0
19:49:07,0.0,29.0,22.0,0.0,31.0,0.0,66.0,0,0
19:49:08,0.0,29.0,22.0,0.0,31.0,0.0,66.0,0,0
19:49:09,0.0,29.0,23.0,0.0,31.0,0.0,68.0,0,0
19:49:10,0.0,29.0,23.0,0.0,31.0,0.0,68.0,0,0
19:49:11,0.0,29.0,23.0,0.0,31.0,0.0,68.0,0,0
19:49:12,0.0,9.0,23.0,0.0,31.0,0.0,31.0,0,0
19:49:13,0.0,9.0,23.0,0.0,31.0,0.0,31.0,0,0
19:49:14,0.0,21.0,24.0,0.0,31.0,0.0,42.0,0,0
19:49:15,0.0,21.0,24.0,0.0,31.0,0.0,42.0,0,0
19:49:16,0.0,21.0,24.0,0.0,31.0,0.0,42.0,0,0
19:49:17,0.0,10.0,24.0,0.0,31.0,0.0,65.0,0,0
19:49:18,0.0,10.0,24.0,0.0,31.0,0.0,65.0,0,0
19:49:19,0.0,13.0,24.0,0.0,31.0,0.0,48.0,0,0
19:49:20,0.0,13.0,24.0,0.0,31.0,0.0,48.0,0,0
19:49:21,0.0,24.0,24.0,0.0,31.0,0.0,58.0,0,0
19:49:22,0.0,24.0,24.0,0.0,31.0,0.0,58.0,0,0
19:49:23,0.0,24.0,24.0,0.0,31.0,0.0,58.0,0,0
19:49:24,0.0,23.0,24.0,0.0,31.0,0.0,23.0,0,0
19:49:25,0.0,23.0,24.0,0.0,31.0,0.0,23.0,0,0
19:49:26,0.0,16.0,25.0,0.0,31.0,0.0,31.0,0,0
19:49:27,0.0,16.0,25.0,0.0,31.0,0.0,31.0,0,0
19:49:28,0.0,16.0,25.0,0.0,31.0,0.0,31.0,0,0
19:49:29,0.0,30.0,25.0,0.0,31.0,0.0,37.0,0,0
19:49:30,0.0,30.0,25.0,0.0,31.0,0.0,37.0,0,0
19:49:31,0.0,24.0,25.0,0.0,31.0,0.0,14.0,0,0
19:49:32,0.0,24.0,25.0,0.0,31.0,0.0,14.0,0,0
19:49:33,0.0,19.0,26.0,0.0,31.0,0.0,57.0,0,0
19:49:34,0.0,19.0,26.0,0.0,31.0,0.0,57.0,0,0
19:49:35,0.0,13.0,26.0,0.0,31.0,0.0,36.0,0,0
19:49:36,0.0,13.0,26.0,0.0,31.0,0.0,36.0,0,0
19:49:37,0.0,13.0,26.0,0.0,31.0,0.0,36.0,0,0
19:49:38,0.0,22.0,26.0,0.0,31.0,0.0,35.0,0,0
19:49:39,0.0,22.0,26.0,0.0,31.0,0.0,35.0,0,0
19:49:40,0.0,32.0,27.0,0.0,31.0,0.0,57.0,0,0
19:49:41,0.0,32.0,27.0,0.0,31.0,0.0,57.0,0,0
19:49:42,0.0,19.0,27.0,0.0,31.0,0.0,18.0,0,0
19:49:43,0.0,19.0,27.0,0.0,31.0,0.0,18.0,0,0
19:49:44,0.0,14.0,27.0,0.0,31.0,0.0,42.0,0,0
19:49:45,0.0,14.0,27.0,0.0,31.0,0.0,42.0,0,0
19:49:46,0.0,28.0,27.0,0.0,31.0,0.0,23.0,0,0
19:49:47,0.0,28.0,27.0,0.0,31.0,0.0,23.0,0,0
19:49:48,0.0,28.0,27.0,0.0,31.0,0.0,23.0,0,0
19:49:49,0.0,25.0,28.0,0.0,31.0,0.0,28.0,0,0
19:49:50,0.0,25.0,28.0,0.0,31.0,0.0,28.0,0,0
19:49:51,0.0,20.0,28.0,0.0,31.0,0.0,35.0,0,0
19:49:52,0.0,20.0,28.0,0.0,31.0,0.0,35.0,0,0
19:49:53,0.0,22.0,28.0,0.0,31.0,0.0,38.0,0,0
19:49:54,0.0,22.0,28.0,0.0,31.0,0.0,38.0,0,0
19:49:55,0.0,38.0,28.0,0.0,31.0,0.0,20.0,0,0
19:49:56,0.0,38.0,28.0,0.0,31.0,0.0,20.0,0,0
19:49:57,0.0,86.0,28.0,0.0,31.0,0.0,44.0,0,0
19:49:58,0.0,86.0,28.0,0.0,31.0,0.0,44.0,0,0
19:49:59,0.0,86.0,28.0,0.0,31.0,0.0,44.0,0,0
19:50:00,0.0,100.0,23.0,0.0,31.0,0.0,53.0,0,0
19:50:01,0.0,100.0,23.0,0.0,31.0,0.0,53.0,0,0
19:50:02,0.0,86.0,21.0,0.0,31.0,0.0,47.0,0,0
19:50:03,0.0,86.0,21.0,0.0,31.0,0.0,47.0,0,0
19:50:04,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
19:50:05,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
19:50:06,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
19:50:07,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
19:50:08,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
19:50:15,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
