Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
20:39:56,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
20:39:57,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
20:47:59,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
20:48:00,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
20:49:35,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
20:49:40,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
20:49:41,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
20:49:42,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
20:49:43,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
20:49:44,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
20:49:45,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
20:49:46,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
20:49:47,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
20:49:48,0.0,58.0,22.0,0.0,31.0,0.0,48.0,0,0
20:49:49,0.0,58.0,22.0,0.0,31.0,0.0,48.0,0,0
20:49:50,0.0,58.0,22.0,0.0,31.0,0.0,48.0,0,0
20:49:51,0.0,30.0,24.0,0.0,31.0,0.0,38.0,0,0
20:49:52,0.0,30.0,24.0,0.0,31.0,0.0,38.0,0,0
20:49:53,0.0,37.0,25.0,0.0,31.0,0.0,50.0,0,0
20:49:54,0.0,37.0,25.0,0.0,31.0,0.0,50.0,0,0
20:49:55,0.0,37.0,27.0,0.0,31.0,0.0,33.0,0,0
20:49:56,0.0,37.0,27.0,0.0,31.0,0.0,33.0,0,0
20:49:57,0.0,35.0,28.0,0.0,31.0,0.0,33.0,0,0
20:49:58,0.0,35.0,28.0,0.0,31.0,0.0,33.0,0,0
20:49:59,0.0,30.0,29.0,0.0,31.0,0.0,55.0,0,0
20:50:00,0.0,30.0,29.0,0.0,31.0,0.0,55.0,0,0
20:50:01,0.0,40.0,29.0,0.0,31.0,0.0,50.0,0,0
20:50:02,0.0,40.0,29.0,0.0,31.0,0.0,50.0,0,0
20:50:03,0.0,27.0,30.0,0.0,31.0,0.0,50.0,0,0
20:50:04,0.0,27.0,30.0,0.0,31.0,0.0,50.0,0,0
20:50:05,0.0,22.0,30.0,0.0,31.0,0.0,25.0,0,0
20:50:06,0.0,22.0,30.0,0.0,31.0,0.0,25.0,0,0
20:50:07,0.0,42.0,30.0,0.0,31.0,0.0,53.0,0,0
20:50:08,0.0,42.0,30.0,0.0,31.0,0.0,53.0,0,0
20:50:09,0.0,19.0,30.0,0.0,31.0,0.0,30.0,0,0
20:50:10,0.0,19.0,30.0,0.0,31.0,0.0,30.0,0,0
20:50:11,0.0,18.0,30.0,0.0,31.0,0.0,38.0,0,0
20:50:12,0.0,18.0,30.0,0.0,31.0,0.0,38.0,0,0
20:50:13,0.0,23.0,31.0,0.0,31.0,0.0,53.0,0,0
20:50:14,0.0,23.0,31.0,0.0,31.0,0.0,53.0,0,0
20:50:15,0.0,16.0,30.0,0.0,31.0,0.0,38.0,0,0
20:50:16,0.0,16.0,30.0,0.0,31.0,0.0,38.0,0,0
20:50:17,0.0,27.0,31.0,0.0,31.0,0.0,29.0,0,0
20:50:18,0.0,27.0,31.0,0.0,31.0,0.0,29.0,0,0
20:50:19,0.0,16.0,31.0,0.0,31.0,0.0,57.0,0,0
20:50:20,0.0,16.0,31.0,0.0,31.0,0.0,57.0,0,0
20:50:21,0.0,15.0,31.0,0.0,31.0,0.0,34.0,0,0
20:50:22,0.0,15.0,31.0,0.0,31.0,0.0,34.0,0,0
20:50:23,0.0,19.0,31.0,0.0,31.0,0.0,21.0,0,0
20:50:24,0.0,19.0,31.0,0.0,31.0,0.0,21.0,0,0
20:50:25,0.0,9.0,31.0,0.0,31.0,0.0,38.0,0,0
20:50:26,0.0,9.0,31.0,0.0,31.0,0.0,38.0,0,0
20:50:27,0.0,28.0,31.0,0.0,31.0,0.0,46.0,0,0
20:50:28,0.0,28.0,31.0,0.0,31.0,0.0,33.0,0,0
20:50:29,0.0,28.0,31.0,0.0,31.0,0.0,33.0,0,0
20:50:30,0.0,14.0,31.0,0.0,31.0,0.0,29.0,0,0
20:50:31,0.0,14.0,31.0,0.0,31.0,0.0,29.0,0,0
20:50:32,0.0,32.0,31.0,0.0,31.0,0.0,17.0,0,0
20:50:33,0.0,32.0,31.0,0.0,31.0,0.0,17.0,0,0
20:50:34,0.0,3.0,31.0,0.0,31.0,0.0,57.0,0,0
20:50:35,0.0,3.0,31.0,0.0,31.0,0.0,57.0,0,0
20:50:36,0.0,5.0,30.0,0.0,31.0,0.0,60.0,0,0
20:50:37,0.0,5.0,30.0,0.0,31.0,0.0,60.0,0,0
20:50:38,0.0,12.0,30.0,0.0,31.0,0.0,25.0,0,0
20:50:39,0.0,12.0,30.0,0.0,31.0,0.0,25.0,0,0
20:50:40,0.0,44.0,30.0,0.0,31.0,0.0,39.0,0,0
20:50:41,0.0,44.0,30.0,0.0,31.0,0.0,39.0,0,0
20:50:42,0.0,24.0,30.0,0.0,31.0,0.0,30.0,0,0
20:50:43,0.0,24.0,30.0,0.0,31.0,0.0,30.0,0,0
20:50:44,0.0,19.0,30.0,0.0,31.0,0.0,76.0,0,0
20:50:45,0.0,19.0,30.0,0.0,31.0,0.0,76.0,0,0
20:50:46,0.0,14.0,32.0,0.0,31.0,0.0,50.0,0,0
20:50:47,0.0,14.0,32.0,0.0,31.0,0.0,50.0,0,0
20:50:48,0.0,22.0,32.0,0.0,31.0,0.0,30.0,0,0
