Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
13:46:58,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
13:47:00,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
13:47:15,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
13:47:39,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
13:47:40,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
13:47:57,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
13:47:58,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
13:47:59,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
13:48:01,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
13:48:08,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
13:48:13,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
13:48:14,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
13:48:15,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
13:48:18,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
13:48:51,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
13:48:57,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
13:50:05,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
13:50:06,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
13:50:14,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
13:50:15,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
13:50:16,0.0,87.0,39.0,0.0,31.0,0.0,47.0,0,0
13:50:17,0.0,85.0,61.0,0.0,31.0,0.0,50.0,0,0
13:50:18,0.0,92.0,70.0,0.0,31.0,0.0,51.0,0,0
13:50:19,0.0,92.0,76.0,0.0,31.0,0.0,44.0,0,0
13:50:20,0.0,134.0,85.0,0.0,31.0,0.0,50.0,0,0
13:50:21,0.0,111.0,95.0,0.0,31.0,0.0,43.0,0,0
13:50:22,0.0,102.0,98.0,0.0,31.0,0.0,48.0,0,0
13:50:23,0.0,107.0,99.0,0.0,31.0,0.0,45.0,0,0
13:50:24,0.0,89.0,101.0,0.0,31.0,0.0,51.0,0,0
13:50:25,0.0,104.0,101.0,0.0,31.0,0.0,48.0,0,0
13:50:26,0.0,91.0,102.0,0.0,31.0,0.0,44.0,0,0
13:50:27,0.0,90.0,101.0,0.0,31.0,0.0,47.0,0,0
13:50:28,0.0,82.0,101.0,0.0,31.0,0.0,49.0,0,0
13:50:29,0.0,116.0,101.0,0.0,31.0,0.0,49.0,0,0
13:50:30,0.0,110.0,106.0,0.0,31.0,0.0,54.0,0,0
13:50:31,0.0,79.0,102.0,0.0,31.0,0.0,46.0,0,0
13:50:32,0.0,91.0,102.0,0.0,31.0,0.0,49.0,0,0
13:50:33,0.0,102.0,101.0,0.0,31.0,0.0,45.0,0,0
13:50:34,0.0,89.0,102.0,0.0,31.0,0.0,45.0,0,0
13:50:35,0.0,103.0,102.0,0.0,31.0,0.0,45.0,0,0
13:50:36,0.0,126.0,105.0,0.0,31.0,0.0,43.0,0,0
13:50:37,0.0,107.0,109.0,0.0,31.0,0.0,48.0,0,0
13:50:38,0.0,85.0,107.0,0.0,31.0,0.0,50.0,0,0
13:50:39,0.0,90.0,105.0,0.0,31.0,0.0,48.0,0,0
13:50:40,0.0,83.0,104.0,0.0,31.0,0.0,48.0,0,0
13:50:41,0.0,90.0,103.0,0.0,31.0,0.0,38.0,0,0
13:50:42,0.0,101.0,104.0,0.0,31.0,0.0,46.0,0,0
13:50:43,0.0,101.0,105.0,0.0,31.0,0.0,49.0,0,0
13:50:44,0.0,124.0,106.0,0.0,31.0,0.0,44.0,0,0
13:50:45,0.0,121.0,112.0,0.0,31.0,0.0,47.0,0,0
13:50:46,0.0,86.0,108.0,0.0,31.0,0.0,38.0,0,0
13:50:47,0.0,77.0,105.0,0.0,31.0,0.0,44.0,0,0
13:50:48,0.0,85.0,104.0,0.0,31.0,0.0,46.0,0,0
13:50:49,0.0,89.0,103.0,0.0,31.0,0.0,44.0,0,0
13:50:50,0.0,105.0,104.0,0.0,31.0,0.0,39.0,0,0
13:50:51,0.0,92.0,106.0,0.0,31.0,0.0,43.0,0,0
13:50:52,0.0,74.0,104.0,0.0,31.0,0.0,46.0,0,0
13:50:53,0.0,113.0,104.0,0.0,31.0,0.0,46.0,0,0
13:50:54,0.0,96.0,107.0,0.0,31.0,0.0,47.0,0,0
13:50:55,0.0,88.0,106.0,0.0,31.0,0.0,43.0,0,0
13:50:56,0.0,119.0,107.0,0.0,31.0,0.0,48.0,0,0
13:50:57,0.0,73.0,108.0,0.0,31.0,0.0,45.0,0,0
13:50:58,0.0,97.0,107.0,0.0,31.0,0.0,47.0,0,0
13:50:59,0.0,87.0,105.0,0.0,31.0,0.0,48.0,0,0
13:51:00,0.0,87.0,104.0,0.0,31.0,0.0,46.0,0,0
13:51:01,0.0,100.0,104.0,0.0,31.0,0.0,45.0,0,0
13:51:02,0.0,148.0,107.0,0.0,31.0,0.0,40.0,0,0
13:51:03,0.0,129.0,114.0,0.0,31.0,0.0,47.0,0,0
13:51:04,0.0,95.0,113.0,0.0,31.0,0.0,36.0,0,0
13:51:05,0.0,105.0,114.0,0.0,31.0,0.0,45.0,0,0
13:51:06,0.0,51.0,108.0,0.0,31.0,0.0,69.0,0,0
13:51:07,0.0,15.0,96.0,0.0,31.0,0.0,54.0,0,0
13:51:08,0.0,9.0,79.0,0.0,31.0,0.0,29.0,0,0
13:51:09,0.0,15.0,67.0,0.0,31.0,0.0,35.0,0,0
13:51:10,0.0,34.0,62.0,0.0,31.0,0.0,38.0,0,0
13:51:11,0.0,27.0,58.0,0.0,31.0,0.0,31.0,0,0
13:51:12,0.0,13.0,53.0,0.0,31.0,0.0,69.0,0,0
13:51:13,0.0,13.0,53.0,0.0,31.0,0.0,69.0,0,0
13:51:14,0.0,189.0,67.0,0.0,31.0,0.0,80.0,0,0
13:51:15,0.0,9.0,82.0,0.0,31.0,0.0,57.0,0,0
13:51:16,0.0,17.0,73.0,0.0,31.0,0.0,32.0,0,0
13:51:17,0.0,31.0,66.0,0.0,31.0,0.0,53.0,0,0
13:51:18,0.0,15.0,60.0,0.0,31.0,0.0,41.0,0,0
13:51:19,0.0,389.0,85.0,0.0,31.0,0.0,80.0,0,0
13:51:20,0.0,46.0,89.0,0.0,31.0,0.0,42.0,0,0
13:51:21,0.0,120.0,89.0,0.0,31.0,0.0,38.0,0,0
13:51:22,0.0,93.0,94.0,0.0,31.0,0.0,41.0,0,0
13:51:23,0.0,120.0,99.0,0.0,31.0,0.0,56.0,0,0
13:51:24,0.0,60.0,95.0,0.0,31.0,0.0,47.0,0,0
13:51:25,0.0,69.0,93.0,0.0,31.0,0.0,40.0,0,0
13:51:26,0.0,87.0,93.0,0.0,31.0,0.0,53.0,0,0
13:51:27,0.0,75.0,93.0,0.0,31.0,0.0,35.0,0,0
13:51:28,0.0,86.0,94.0,0.0,31.0,0.0,46.0,0,0
13:51:29,0.0,91.0,95.0,0.0,31.0,0.0,43.0,0,0
13:51:30,0.0,109.0,99.0,0.0,31.0,0.0,45.0,0,0
13:51:31,0.0,72.0,97.0,0.0,31.0,0.0,44.0,0,0
13:51:32,0.0,77.0,95.0,0.0,31.0,0.0,37.0,0,0
13:51:33,0.0,88.0,96.0,0.0,31.0,0.0,51.0,0,0
13:51:34,0.0,74.0,95.0,0.0,31.0,0.0,45.0,0,0
13:51:35,0.0,77.0,95.0,0.0,31.0,0.0,48.0,0,0
13:51:36,0.0,81.0,95.0,0.0,31.0,0.0,50.0,0,0
13:51:37,0.0,80.0,96.0,0.0,31.0,0.0,48.0,0,0
13:51:38,0.0,76.0,95.0,0.0,31.0,0.0,44.0,0,0
13:51:39,0.0,81.0,95.0,0.0,31.0,0.0,42.0,0,0
13:51:40,0.0,90.0,97.0,0.0,31.0,0.0,50.0,0,0
13:51:41,0.0,60.0,94.0,0.0,31.0,0.0,50.0,0,0
13:51:42,0.0,70.0,92.0,0.0,31.0,0.0,39.0,0,0
13:51:43,0.0,28.0,83.0,0.0,31.0,0.0,33.0,0,0
13:51:44,0.0,14.0,75.0,0.0,31.0,0.0,40.0,0,0
13:51:45,0.0,30.0,69.0,0.0,31.0,0.0,38.0,0,0
13:51:46,0.0,24.0,65.0,0.0,31.0,0.0,52.0,0,0
13:51:47,0.0,183.0,79.0,0.0,31.0,0.0,80.0,0,0
13:51:48,0.0,15.0,85.0,0.0,31.0,0.0,41.0,0,0
13:51:49,0.0,14.0,76.0,0.0,31.0,0.0,32.0,0,0
13:51:50,0.0,48.0,71.0,0.0,31.0,0.0,50.0,0,0
13:51:51,0.0,54.0,71.0,0.0,31.0,0.0,41.0,0,0
13:51:52,0.0,63.0,72.0,0.0,31.0,0.0,52.0,0,0
13:51:53,0.0,64.0,73.0,0.0,31.0,0.0,32.0,0,0
13:51:54,0.0,61.0,76.0,0.0,31.0,0.0,43.0,0,0
13:51:55,0.0,54.0,76.0,0.0,31.0,0.0,43.0,0,0
13:51:56,0.0,59.0,76.0,0.0,31.0,0.0,47.0,0,0
13:51:57,0.0,64.0,76.0,0.0,31.0,0.0,42.0,0,0
13:51:58,0.0,79.0,79.0,0.0,31.0,0.0,44.0,0,0
13:51:59,0.0,54.0,82.0,0.0,31.0,0.0,55.0,0,0
13:52:00,0.0,49.0,79.0,0.0,31.0,0.0,43.0,0,0
13:52:01,0.0,67.0,78.0,0.0,31.0,0.0,32.0,0,0
13:52:02,0.0,50.0,80.0,0.0,31.0,0.0,49.0,0,0
13:52:03,0.0,35.0,76.0,0.0,31.0,0.0,22.0,0,0
13:52:04,0.0,46.0,74.0,0.0,31.0,0.0,51.0,0,0
13:52:05,0.0,49.0,72.0,0.0,31.0,0.0,44.0,0,0
13:52:06,0.0,58.0,72.0,0.0,31.0,0.0,46.0,0,0
13:52:07,0.0,52.0,72.0,0.0,31.0,0.0,42.0,0,0
13:52:08,0.0,49.0,72.0,0.0,31.0,0.0,44.0,0,0
13:52:09,0.0,54.0,71.0,0.0,31.0,0.0,38.0,0,0
13:52:10,0.0,48.0,71.0,0.0,31.0,0.0,38.0,0,0
13:52:11,0.0,54.0,71.0,0.0,31.0,0.0,35.0,0,0
13:52:12,0.0,53.0,71.0,0.0,31.0,0.0,38.0,0,0
13:52:13,0.0,53.0,71.0,0.0,31.0,0.0,42.0,0,0
13:52:14,0.0,54.0,72.0,0.0,31.0,0.0,50.0,0,0
13:52:15,0.0,55.0,72.0,0.0,31.0,0.0,41.0,0,0
13:52:16,0.0,51.0,72.0,0.0,31.0,0.0,44.0,0,0
13:52:17,0.0,54.0,72.0,0.0,31.0,0.0,47.0,0,0
13:52:18,0.0,45.0,71.0,0.0,31.0,0.0,40.0,0,0
13:52:19,0.0,50.0,70.0,0.0,31.0,0.0,37.0,0,0
13:52:20,0.0,48.0,70.0,0.0,31.0,0.0,41.0,0,0
13:52:21,0.0,60.0,71.0,0.0,31.0,0.0,59.0,0,0
13:52:22,0.0,62.0,72.0,0.0,31.0,0.0,33.0,0,0
13:52:23,0.0,34.0,71.0,0.0,31.0,0.0,27.0,0,0
13:52:24,0.0,74.0,73.0,0.0,31.0,0.0,55.0,0,0
13:52:25,0.0,47.0,76.0,0.0,31.0,0.0,48.0,0,0
13:52:26,0.0,53.0,74.0,0.0,31.0,0.0,32.0,0,0
13:52:27,0.0,49.0,73.0,0.0,31.0,0.0,42.0,0,0
13:52:28,0.0,53.0,73.0,0.0,31.0,0.0,41.0,0,0
13:52:29,0.0,46.0,71.0,0.0,31.0,0.0,44.0,0,0
13:52:30,0.0,67.0,73.0,0.0,31.0,0.0,51.0,0,0
13:52:31,0.0,49.0,73.0,0.0,31.0,0.0,45.0,0,0
13:52:32,0.0,60.0,72.0,0.0,31.0,0.0,40.0,0,0
13:52:33,0.0,59.0,75.0,0.0,31.0,0.0,47.0,0,0
13:52:34,0.0,46.0,74.0,0.0,31.0,0.0,39.0,0,0
13:52:35,0.0,54.0,73.0,0.0,31.0,0.0,35.0,0,0
13:52:36,0.0,46.0,72.0,0.0,31.0,0.0,34.0,0,0
13:52:37,0.0,53.0,71.0,0.0,31.0,0.0,34.0,0,0
