Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
18:45:13,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
18:45:14,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
18:46:00,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
18:46:01,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
18:46:02,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
18:46:03,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
18:46:04,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
18:46:05,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
18:46:06,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
18:46:07,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
18:46:08,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
18:46:09,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
18:46:10,0.0,50.0,21.0,0.0,31.0,0.0,49.0,0,0
18:46:11,0.0,50.0,21.0,0.0,31.0,0.0,49.0,0,0
18:46:12,0.0,50.0,21.0,0.0,31.0,0.0,49.0,0,0
18:46:13,0.0,39.0,24.0,0.0,31.0,0.0,49.0,0,0
18:46:14,0.0,39.0,24.0,0.0,31.0,0.0,49.0,0,0
18:46:15,0.0,48.0,26.0,0.0,31.0,0.0,49.0,0,0
18:46:16,0.0,48.0,26.0,0.0,31.0,0.0,49.0,0,0
18:46:17,0.0,60.0,28.0,0.0,31.0,0.0,41.0,0,0
18:46:18,0.0,60.0,28.0,0.0,31.0,0.0,41.0,0,0
18:46:19,0.0,35.0,29.0,0.0,31.0,0.0,47.0,0,0
18:46:20,0.0,35.0,29.0,0.0,31.0,0.0,47.0,0,0
18:46:21,0.0,28.0,30.0,0.0,31.0,0.0,42.0,0,0
18:46:22,0.0,28.0,30.0,0.0,31.0,0.0,42.0,0,0
18:46:23,0.0,25.0,30.0,0.0,31.0,0.0,56.0,0,0
18:46:24,0.0,25.0,30.0,0.0,31.0,0.0,56.0,0,0
18:46:25,0.0,38.0,31.0,0.0,31.0,0.0,38.0,0,0
18:46:26,0.0,38.0,31.0,0.0,31.0,0.0,38.0,0,0
18:46:27,0.0,39.0,31.0,0.0,31.0,0.0,43.0,0,0
18:46:28,0.0,39.0,31.0,0.0,31.0,0.0,43.0,0,0
18:46:29,0.0,40.0,31.0,0.0,31.0,0.0,43.0,0,0
18:46:30,0.0,102.0,33.0,0.0,31.0,0.0,43.0,0,0
18:46:31,0.0,102.0,33.0,0.0,31.0,0.0,43.0,0,0
18:46:32,0.0,81.0,35.0,0.0,31.0,0.0,51.0,0,0
18:46:33,0.0,81.0,35.0,0.0,31.0,0.0,51.0,0,0
18:46:34,0.0,80.0,36.0,0.0,31.0,0.0,43.0,0,0
18:46:35,0.0,52.0,38.0,0.0,31.0,0.0,62.0,0,0
18:46:36,0.0,52.0,38.0,0.0,31.0,0.0,62.0,0,0
18:46:37,0.0,52.0,38.0,0.0,31.0,0.0,40.0,0,0
18:46:38,0.0,101.0,39.0,0.0,31.0,0.0,47.0,0,0
18:46:39,0.0,101.0,39.0,0.0,31.0,0.0,47.0,0,0
18:46:40,0.0,74.0,41.0,0.0,31.0,0.0,62.0,0,0
18:46:41,0.0,61.0,41.0,0.0,31.0,0.0,24.0,0,0
18:46:42,0.0,61.0,41.0,0.0,31.0,0.0,24.0,0,0
18:46:43,0.0,53.0,41.0,0.0,31.0,0.0,37.0,0,0
