Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
20:34:59,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
20:35:22,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
20:35:23,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
20:35:24,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
20:35:41,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
20:35:42,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
20:35:43,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
20:35:44,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
20:35:45,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
20:35:46,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
20:35:47,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
20:35:48,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
20:35:49,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
20:36:52,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
20:36:53,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
20:36:54,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
20:36:55,0.0,402.0,32.0,0.0,29.0,0.0,47.0,0,0
20:36:56,0.0,402.0,32.0,0.0,29.0,0.0,47.0,0,0
20:36:57,0.0,372.0,42.0,0.0,29.0,0.0,52.0,0,0
20:36:58,0.0,332.0,47.0,0.0,29.0,0.0,40.0,0,0
20:36:59,0.0,407.0,50.0,0.0,29.0,0.0,56.0,0,0
20:37:00,0.0,428.0,52.0,0.0,29.0,0.0,48.0,0,0
20:37:01,0.0,386.0,54.0,0.0,29.0,0.0,48.0,0,0
20:37:02,0.0,286.0,58.0,0.0,29.0,0.0,66.0,0,0
20:37:03,0.0,115.0,62.0,0.0,29.0,0.0,79.0,0,0
20:37:04,0.0,17.0,65.0,0.0,29.0,0.0,54.0,0,0
20:37:05,0.0,77.0,68.0,0.0,29.0,0.0,62.0,0,0
20:37:06,0.0,148.0,69.0,0.0,29.0,0.0,29.0,0,0
20:37:07,0.0,239.0,70.0,0.0,29.0,0.0,44.0,0,0
20:37:08,0.0,208.0,70.0,0.0,29.0,0.0,89.0,0,0
20:37:09,0.0,251.0,71.0,0.0,29.0,0.0,86.0,0,0
20:37:10,0.0,167.0,72.0,0.0,29.0,0.0,66.0,0,0
20:37:11,0.0,154.0,72.0,0.0,29.0,0.0,33.0,0,0
20:37:12,0.0,125.0,73.0,0.0,29.0,0.0,73.0,0,0
20:37:13,0.0,153.0,73.0,0.0,29.0,0.0,41.0,0,0
20:37:14,0.0,194.0,75.0,0.0,29.0,0.0,78.0,0,0
20:37:15,0.0,79.0,75.0,0.0,29.0,0.0,43.0,0,0
20:37:16,0.0,137.0,74.0,0.0,29.0,0.0,72.0,0,0
20:37:17,0.0,45.0,74.0,0.0,29.0,0.0,45.0,0,0
20:37:18,0.0,133.0,74.0,0.0,29.0,0.0,49.0,0,0
20:37:19,0.0,165.0,74.0,0.0,29.0,0.0,90.0,0,0
20:37:20,0.0,57.0,74.0,0.0,29.0,0.0,46.0,0,0
20:37:21,0.0,154.0,74.0,0.0,29.0,0.0,43.0,0,0
20:37:22,0.0,178.0,75.0,0.0,29.0,0.0,86.0,0,0
20:37:23,0.0,69.0,75.0,0.0,29.0,0.0,68.0,0,0
20:37:24,0.0,85.0,74.0,0.0,29.0,0.0,70.0,0,0
20:37:25,0.0,192.0,74.0,0.0,29.0,0.0,54.0,0,0
20:37:26,0.0,144.0,76.0,0.0,29.0,0.0,55.0,0,0
20:37:27,0.0,173.0,77.0,0.0,29.0,0.0,53.0,0,0
20:37:28,0.0,128.0,77.0,0.0,29.0,0.0,76.0,0,0
20:37:29,0.0,153.0,77.0,0.0,29.0,0.0,55.0,0,0
20:37:30,0.0,133.0,78.0,0.0,29.0,0.0,66.0,0,0
20:37:31,0.0,68.0,77.0,0.0,29.0,0.0,75.0,0,0
20:37:32,0.0,96.0,76.0,0.0,29.0,0.0,40.0,0,0
20:37:33,0.0,311.0,76.0,0.0,29.0,0.0,55.0,0,0
20:37:34,0.0,273.0,79.0,0.0,29.0,0.0,77.0,0,0
20:37:35,0.0,96.0,79.0,0.0,29.0,0.0,56.0,0,0
20:37:36,0.0,266.0,79.0,0.0,29.0,0.0,51.0,0,0
20:37:37,0.0,300.0,82.0,0.0,29.0,0.0,62.0,0,0
20:37:38,0.0,84.0,82.0,0.0,29.0,0.0,70.0,0,0
20:37:39,0.0,157.0,82.0,0.0,29.0,0.0,38.0,0,0
20:37:40,0.0,397.0,83.0,0.0,29.0,0.0,49.0,0,0
20:37:41,0.0,340.0,84.0,0.0,29.0,0.0,74.0,0,0
20:37:42,0.0,127.0,84.0,0.0,29.0,0.0,73.0,0,0
20:37:43,0.0,265.0,84.0,0.0,29.0,0.0,38.0,0,0
20:37:44,0.0,421.0,85.0,0.0,29.0,0.0,59.0,0,0
20:37:45,0.0,297.0,86.0,0.0,29.0,0.0,46.0,0,0
20:37:46,0.0,50.0,86.0,0.0,29.0,0.0,53.0,0,0
20:37:47,0.0,45.0,86.0,0.0,29.0,0.0,27.0,0,0
20:37:48,0.0,216.0,86.0,0.0,29.0,0.0,57.0,0,0
20:37:49,0.0,234.0,87.0,0.0,29.0,0.0,62.0,0,0
20:37:50,0.0,193.0,87.0,0.0,29.0,0.0,48.0,0,0
20:37:51,0.0,372.0,88.0,0.0,29.0,0.0,51.0,0,0
20:37:52,0.0,232.0,88.0,0.0,29.0,0.0,72.0,0,0
20:37:53,0.0,178.0,88.0,0.0,29.0,0.0,38.0,0,0
20:37:54,0.0,450.0,88.0,0.0,29.0,0.0,52.0,0,0
20:37:55,0.0,400.0,89.0,0.0,29.0,0.0,44.0,0,0
20:37:56,0.0,551.0,91.0,0.0,29.0,0.0,49.0,0,0
20:37:57,0.0,489.0,95.0,0.0,29.0,0.0,56.0,0,0
20:37:58,0.0,621.0,97.0,0.0,29.0,0.0,50.0,0,0
20:37:59,0.0,432.0,99.0,0.0,29.0,0.0,47.0,0,0
20:38:00,0.0,506.0,99.0,0.0,29.0,0.0,64.0,0,0
20:38:01,0.0,422.0,98.0,0.0,29.0,0.0,42.0,0,0
20:38:02,0.0,907.0,100.0,0.0,29.0,0.0,49.0,0,0
20:38:03,0.0,665.0,101.0,0.0,29.0,0.0,56.0,0,0
