Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
11:54:30,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
11:54:31,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
11:54:46,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
11:54:47,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
11:54:48,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
11:54:49,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
11:54:50,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
11:54:51,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
11:55:51,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
11:55:52,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
11:55:53,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
11:55:54,0.0,439.0,32.0,0.0,30.0,0.0,45.0,0,0
11:55:55,0.0,439.0,32.0,0.0,30.0,0.0,45.0,0,0
11:55:56,0.0,506.0,43.0,0.0,30.0,0.0,46.0,0,0
11:55:57,0.0,558.0,51.0,0.0,30.0,0.0,49.0,0,0
11:55:58,0.0,372.0,57.0,0.0,30.0,0.0,55.0,0,0
11:55:59,0.0,324.0,60.0,0.0,30.0,0.0,54.0,0,0
11:56:00,0.0,201.0,62.0,0.0,30.0,0.0,56.0,0,0
11:56:01,0.0,279.0,63.0,0.0,30.0,0.0,47.0,0,0
11:56:02,0.0,228.0,63.0,0.0,30.0,0.0,50.0,0,0
11:56:03,0.0,184.0,64.0,0.0,30.0,0.0,83.0,0,0
11:56:04,0.0,149.0,64.0,0.0,30.0,0.0,77.0,0,0
11:56:05,0.0,176.0,65.0,0.0,30.0,0.0,48.0,0,0
11:56:06,0.0,15.0,65.0,0.0,30.0,0.0,86.0,0,0
11:56:07,0.0,102.0,64.0,0.0,30.0,0.0,22.0,0,0
11:56:08,0.0,274.0,66.0,0.0,30.0,0.0,49.0,0,0
11:56:09,0.0,99.0,66.0,0.0,30.0,0.0,81.0,0,0
11:56:10,0.0,83.0,66.0,0.0,30.0,0.0,6.0,0,0
11:56:11,0.0,234.0,67.0,0.0,30.0,0.0,47.0,0,0
11:56:12,0.0,228.0,68.0,0.0,30.0,0.0,80.0,0,0
11:56:13,0.0,81.0,69.0,0.0,30.0,0.0,87.0,0,0
11:56:14,0.0,47.0,69.0,0.0,30.0,0.0,17.0,0,0
11:56:15,0.0,193.0,69.0,0.0,30.0,0.0,46.0,0,0
11:56:16,0.0,276.0,71.0,0.0,30.0,0.0,58.0,0,0
11:56:17,0.0,237.0,72.0,0.0,30.0,0.0,55.0,0,0
11:56:18,0.0,119.0,72.0,0.0,30.0,0.0,22.0,0,0
11:56:19,0.0,172.0,73.0,0.0,30.0,0.0,80.0,0,0
11:56:20,0.0,130.0,72.0,0.0,30.0,0.0,62.0,0,0
11:56:21,0.0,35.0,73.0,0.0,30.0,0.0,87.0,0,0
11:56:22,0.0,148.0,72.0,0.0,30.0,0.0,50.0,0,0
11:56:23,0.0,174.0,72.0,0.0,30.0,0.0,58.0,0,0
11:56:24,0.0,106.0,73.0,0.0,30.0,0.0,43.0,0,0
11:56:25,0.0,125.0,74.0,0.0,30.0,0.0,54.0,0,0
11:56:26,0.0,227.0,75.0,0.0,30.0,0.0,50.0,0,0
11:56:27,0.0,230.0,75.0,0.0,30.0,0.0,59.0,0,0
11:56:28,0.0,158.0,76.0,0.0,30.0,0.0,83.0,0,0
11:56:29,0.0,87.0,76.0,0.0,30.0,0.0,30.0,0,0
11:56:30,0.0,95.0,76.0,0.0,30.0,0.0,67.0,0,0
11:56:31,0.0,164.0,76.0,0.0,30.0,0.0,34.0,0,0
11:56:32,0.0,303.0,76.0,0.0,30.0,0.0,57.0,0,0
11:56:33,0.0,158.0,78.0,0.0,30.0,0.0,66.0,0,0
11:56:34,0.0,264.0,77.0,0.0,30.0,0.0,54.0,0,0
11:56:35,0.0,115.0,78.0,0.0,30.0,0.0,86.0,0,0
11:56:36,0.0,12.0,79.0,0.0,30.0,0.0,45.0,0,0
11:56:37,0.0,42.0,79.0,0.0,30.0,0.0,10.0,0,0
11:56:38,0.0,196.0,78.0,0.0,30.0,0.0,46.0,0,0
11:56:39,0.0,491.0,81.0,0.0,30.0,0.0,48.0,0,0
11:56:40,0.0,507.0,82.0,0.0,30.0,0.0,56.0,0,0
11:56:41,0.0,301.0,83.0,0.0,30.0,0.0,58.0,0,0
11:56:42,0.0,313.0,84.0,0.0,30.0,0.0,45.0,0,0
11:56:43,0.0,232.0,84.0,0.0,30.0,0.0,48.0,0,0
11:56:44,0.0,129.0,84.0,0.0,30.0,0.0,49.0,0,0
11:56:45,0.0,184.0,84.0,0.0,30.0,0.0,48.0,0,0
11:56:46,0.0,259.0,84.0,0.0,30.0,0.0,44.0,0,0
11:56:47,0.0,167.0,87.0,0.0,30.0,0.0,91.0,0,0
11:56:48,0.0,191.0,85.0,0.0,30.0,0.0,47.0,0,0
11:56:49,0.0,639.0,88.0,0.0,30.0,0.0,47.0,0,0
11:56:50,0.0,503.0,90.0,0.0,30.0,0.0,59.0,0,0
11:56:51,0.0,363.0,91.0,0.0,30.0,0.0,53.0,0,0
11:56:52,0.0,315.0,91.0,0.0,30.0,0.0,87.0,0,0
11:56:53,0.0,240.0,92.0,0.0,30.0,0.0,36.0,0,0
11:56:54,0.0,311.0,91.0,0.0,30.0,0.0,48.0,0,0
11:56:55,0.0,369.0,92.0,0.0,30.0,0.0,60.0,0,0
11:56:56,0.0,166.0,93.0,0.0,30.0,0.0,79.0,0,0
11:56:57,0.0,138.0,94.0,0.0,30.0,0.0,41.0,0,0
11:56:58,0.0,200.0,94.0,0.0,30.0,0.0,47.0,0,0
11:56:59,0.0,377.0,94.0,0.0,30.0,0.0,49.0,0,0
11:57:00,0.0,365.0,94.0,0.0,30.0,0.0,55.0,0,0
11:57:01,0.0,315.0,94.0,0.0,30.0,0.0,60.0,0,0
11:57:02,0.0,171.0,94.0,0.0,30.0,0.0,52.0,0,0
11:57:03,0.0,17.0,91.0,0.0,30.0,0.0,67.0,0,0
11:57:04,0.0,16.0,90.0,0.0,30.0,0.0,60.0,0,0
11:57:05,0.0,61.0,89.0,0.0,30.0,0.0,86.0,0,0
11:57:06,0.0,30.0,89.0,0.0,30.0,0.0,50.0,0,0
11:57:07,0.0,158.0,88.0,0.0,30.0,0.0,64.0,0,0
11:57:08,0.0,424.0,88.0,0.0,30.0,0.0,53.0,0,0
11:57:09,0.0,228.0,88.0,0.0,30.0,0.0,37.0,0,0
11:57:10,0.0,169.0,88.0,0.0,30.0,0.0,89.0,0,0
11:57:11,0.0,43.0,86.0,0.0,30.0,0.0,66.0,0,0
11:57:12,0.0,450.0,86.0,0.0,30.0,0.0,36.0,0,0
11:57:13,0.0,524.0,87.0,0.0,30.0,0.0,51.0,0,0
11:57:14,0.0,175.0,88.0,0.0,30.0,0.0,77.0,0,0
11:57:15,0.0,122.0,88.0,0.0,30.0,0.0,49.0,0,0
11:57:16,0.0,180.0,88.0,0.0,30.0,0.0,35.0,0,0
11:57:17,0.0,395.0,88.0,0.0,30.0,0.0,40.0,0,0
11:57:18,0.0,878.0,91.0,0.0,30.0,0.0,45.0,0,0
11:57:19,0.0,1206.0,94.0,0.0,30.0,0.0,52.0,0,0
11:57:20,0.0,1323.0,101.0,0.0,30.0,0.0,51.0,0,0
11:57:21,0.0,1364.0,103.0,0.0,30.0,0.0,50.0,0,0
11:57:22,0.0,1358.0,107.0,0.0,30.0,0.0,51.0,0,0
11:57:23,0.0,1108.0,111.0,0.0,30.0,0.0,50.0,0,0
11:57:24,0.0,1047.0,114.0,0.0,30.0,0.0,49.0,0,0
11:57:25,0.0,909.0,117.0,0.0,30.0,0.0,62.0,0,0
11:57:26,0.0,1003.0,119.0,0.0,30.0,0.0,49.0,0,0
11:57:27,0.0,1344.0,120.0,0.0,30.0,0.0,50.0,0,0
11:57:28,0.0,1306.0,123.0,0.0,30.0,0.0,48.0,0,0
11:57:29,0.0,1090.0,126.0,0.0,30.0,0.0,54.0,0,0
11:57:30,0.0,793.0,125.0,0.0,30.0,0.0,49.0,0,0
11:57:31,0.0,928.0,128.0,0.0,30.0,0.0,51.0,0,0
11:57:32,0.0,482.0,130.0,0.0,30.0,0.0,51.0,0,0
11:57:33,0.0,729.0,128.0,0.0,30.0,0.0,44.0,0,0
11:57:34,0.0,1075.0,128.0,0.0,30.0,0.0,50.0,0,0
11:57:35,0.0,983.0,127.0,0.0,30.0,0.0,52.0,0,0
11:57:36,0.0,633.0,127.0,0.0,30.0,0.0,61.0,0,0
11:57:37,0.0,646.0,126.0,0.0,30.0,0.0,44.0,0,0
11:57:38,0.0,859.0,130.0,0.0,30.0,0.0,50.0,0,0
11:57:39,0.0,285.0,131.0,0.0,30.0,0.0,9.0,0,0
11:57:40,0.0,442.0,130.0,0.0,30.0,0.0,24.0,0,0
11:57:41,0.0,1036.0,128.0,0.0,30.0,0.0,51.0,0,0
11:57:42,0.0,913.0,128.0,0.0,30.0,0.0,53.0,0,0
11:57:43,0.0,768.0,126.0,0.0,30.0,0.0,51.0,0,0
11:57:44,0.0,685.0,126.0,0.0,30.0,0.0,49.0,0,0
11:57:45,0.0,699.0,129.0,0.0,30.0,0.0,50.0,0,0
11:57:46,0.0,716.0,130.0,0.0,30.0,0.0,49.0,0,0
11:57:47,0.0,675.0,129.0,0.0,30.0,0.0,53.0,0,0
11:57:48,0.0,394.0,126.0,0.0,30.0,0.0,40.0,0,0
11:57:49,0.0,71.0,121.0,0.0,30.0,0.0,52.0,0,0
11:57:50,0.0,19.0,115.0,0.0,30.0,0.0,45.0,0,0
11:57:51,0.0,22.0,112.0,0.0,30.0,0.0,43.0,0,0
11:57:52,0.0,25.0,108.0,0.0,30.0,0.0,45.0,0,0
11:57:53,0.0,23.0,104.0,0.0,30.0,0.0,47.0,0,0
11:57:54,0.0,21.0,101.0,0.0,30.0,0.0,57.0,0,0
11:57:55,0.0,21.0,100.0,0.0,30.0,0.0,48.0,0,0
11:57:56,0.0,18.0,97.0,0.0,30.0,0.0,61.0,0,0
11:57:57,0.0,22.0,97.0,0.0,30.0,0.0,47.0,0,0
11:57:58,0.0,21.0,95.0,0.0,30.0,0.0,44.0,0,0
11:57:59,0.0,17.0,90.0,0.0,30.0,0.0,48.0,0,0
