Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
18:37:17,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
18:37:18,0.0,628.0,56.0,0.0,29.0,0.0,45.0,0,0
18:37:19,0.0,387.0,58.0,0.0,29.0,0.0,61.0,0,0
18:37:20,0.0,183.0,61.0,0.0,29.0,0.0,73.0,0,0
18:37:21,0.0,240.0,63.0,0.0,29.0,0.0,38.0,0,0
18:37:22,0.0,42.0,64.0,0.0,29.0,0.0,100.0,0,0
18:37:23,0.0,126.0,64.0,0.0,29.0,0.0,99.0,0,0
18:37:24,0.0,1.0,66.0,0.0,29.0,0.0,0.0,0,0
18:37:25,0.0,20.0,65.0,0.0,29.0,0.0,100.0,0,0
18:37:26,0.0,5.0,65.0,0.0,29.0,0.0,22.0,0,0
18:37:27,0.0,69.0,65.0,0.0,29.0,0.0,34.0,0,0
18:37:28,0.0,36.0,65.0,0.0,29.0,0.0,97.0,0,0
18:37:29,0.0,10.0,64.0,0.0,29.0,0.0,25.0,0,0
18:37:30,0.0,226.0,64.0,0.0,29.0,0.0,43.0,0,0
18:37:31,0.0,290.0,66.0,0.0,29.0,0.0,58.0,0,0
18:37:32,0.0,170.0,67.0,0.0,29.0,0.0,47.0,0,0
18:37:33,0.0,180.0,68.0,0.0,29.0,0.0,85.0,0,0
18:37:34,0.0,45.0,69.0,0.0,29.0,0.0,62.0,0,0
18:37:35,0.0,144.0,69.0,0.0,29.0,0.0,39.0,0,0
18:37:36,0.0,155.0,69.0,0.0,29.0,0.0,56.0,0,0
18:37:37,0.0,265.0,70.0,0.0,29.0,0.0,50.0,0,0
18:37:38,0.0,363.0,72.0,0.0,29.0,0.0,58.0,0,0
18:37:39,0.0,337.0,75.0,0.0,29.0,0.0,57.0,0,0
18:37:40,0.0,34.0,75.0,0.0,29.0,0.0,35.0,0,0
18:37:41,0.0,203.0,75.0,0.0,29.0,0.0,47.0,0,0
18:37:42,0.0,125.0,75.0,0.0,29.0,0.0,13.0,0,0
18:37:43,0.0,213.0,75.0,0.0,29.0,0.0,52.0,0,0
18:37:44,0.0,119.0,76.0,0.0,29.0,0.0,67.0,0,0
18:37:45,0.0,213.0,77.0,0.0,29.0,0.0,44.0,0,0
18:37:46,0.0,192.0,78.0,0.0,29.0,0.0,92.0,0,0
18:37:47,0.0,17.0,78.0,0.0,29.0,0.0,26.0,0,0
18:37:48,0.0,126.0,78.0,0.0,29.0,0.0,33.0,0,0
18:37:49,0.0,168.0,78.0,0.0,29.0,0.0,54.0,0,0
18:37:50,0.0,190.0,78.0,0.0,29.0,0.0,67.0,0,0
18:37:51,0.0,161.0,78.0,0.0,29.0,0.0,44.0,0,0
18:37:52,0.0,208.0,79.0,0.0,29.0,0.0,46.0,0,0
18:37:53,0.0,224.0,80.0,0.0,29.0,0.0,69.0,0,0
18:37:54,0.0,85.0,80.0,0.0,29.0,0.0,84.0,0,0
18:37:55,0.0,154.0,80.0,0.0,29.0,0.0,60.0,0,0
18:37:56,0.0,53.0,81.0,0.0,29.0,0.0,55.0,0,0
18:37:57,0.0,68.0,81.0,0.0,29.0,0.0,25.0,0,0
18:37:58,0.0,152.0,80.0,0.0,29.0,0.0,78.0,0,0
18:37:59,0.0,94.0,81.0,0.0,29.0,0.0,50.0,0,0
18:38:00,0.0,202.0,81.0,0.0,29.0,0.0,54.0,0,0
18:38:01,0.0,263.0,81.0,0.0,29.0,0.0,48.0,0,0
18:38:02,0.0,256.0,82.0,0.0,29.0,0.0,56.0,0,0
18:38:03,0.0,180.0,83.0,0.0,29.0,0.0,86.0,0,0
18:38:04,0.0,261.0,82.0,0.0,29.0,0.0,65.0,0,0
18:38:05,0.0,178.0,83.0,0.0,29.0,0.0,46.0,0,0
18:38:06,0.0,404.0,84.0,0.0,29.0,0.0,45.0,0,0
18:38:07,0.0,337.0,88.0,0.0,29.0,0.0,74.0,0,0
18:38:08,0.0,145.0,87.0,0.0,29.0,0.0,39.0,0,0
18:38:09,0.0,321.0,88.0,0.0,29.0,0.0,57.0,0,0
18:38:10,0.0,150.0,89.0,0.0,29.0,0.0,63.0,0,0
18:38:11,0.0,254.0,87.0,0.0,29.0,0.0,33.0,0,0
18:38:12,0.0,901.0,89.0,0.0,29.0,0.0,50.0,0,0
18:38:13,0.0,800.0,92.0,0.0,29.0,0.0,53.0,0,0
18:38:14,0.0,182.0,94.0,0.0,29.0,0.0,41.0,0,0
18:38:15,0.0,233.0,94.0,0.0,29.0,0.0,63.0,0,0
18:38:16,0.0,96.0,94.0,0.0,29.0,0.0,26.0,0,0
18:38:17,0.0,248.0,95.0,0.0,29.0,0.0,73.0,0,0
18:38:18,0.0,269.0,94.0,0.0,29.0,0.0,58.0,0,0
18:38:19,0.0,512.0,95.0,0.0,29.0,0.0,47.0,0,0
18:38:20,0.0,644.0,96.0,0.0,29.0,0.0,52.0,0,0
18:38:21,0.0,631.0,98.0,0.0,29.0,0.0,58.0,0,0
18:38:22,0.0,723.0,100.0,0.0,29.0,0.0,44.0,0,0
18:38:23,0.0,474.0,100.0,0.0,29.0,0.0,49.0,0,0
18:38:24,0.0,621.0,102.0,0.0,29.0,0.0,49.0,0,0
18:38:25,0.0,686.0,105.0,0.0,29.0,0.0,51.0,0,0
18:38:26,0.0,479.0,108.0,0.0,29.0,0.0,50.0,0,0
18:38:27,0.0,1059.0,110.0,0.0,29.0,0.0,46.0,0,0
18:38:28,0.0,1328.0,115.0,0.0,29.0,0.0,51.0,0,0
18:38:29,0.0,763.0,116.0,0.0,29.0,0.0,47.0,0,0
18:38:30,0.0,1152.0,116.0,0.0,29.0,0.0,51.0,0,0
18:38:31,0.0,952.0,118.0,0.0,29.0,0.0,51.0,0,0
18:38:32,0.0,949.0,119.0,0.0,29.0,0.0,51.0,0,0
18:38:33,0.0,980.0,122.0,0.0,29.0,0.0,51.0,0,0
18:38:34,0.0,937.0,126.0,0.0,29.0,0.0,49.0,0,0
18:38:35,0.0,942.0,127.0,0.0,29.0,0.0,48.0,0,0
18:38:36,0.0,999.0,126.0,0.0,29.0,0.0,49.0,0,0
