Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
11:09:38,0,0,0,0,28,0,255,0,0
11:10:57,0,0,0,0,28,0,255,0,0
11:12:13,0,0,0,0,28,0,255,0,0
11:12:31,0,0,0,0,29,0,255,0,0
11:12:32,0,0,0,0,29,0,255,0,0
11:12:42,0,0,0,0,29,0,255,0,0
11:12:57,0,0,0,0,29,0,255,0,0
11:15:09,0,0,0,0,29,0,255,0,0
11:15:10,0,0,0,0,29,0,255,0,0
11:15:11,0,0,0,0,29,0,255,0,0
11:15:12,0,0,0,0,29,0,255,0,0
11:15:15,0,0,0,0,29,0,255,0,0
11:15:16,0,0,0,0,29,0,255,0,0
11:15:17,0,85,46,0,29,0,36,0,0
11:15:18,0,116,65,0,29,0,51,0,0
11:15:19,0,112,78,0,29,0,48,0,0
11:15:20,0,77,84,0,29,0,48,0,0
11:15:21,0,83,85,0,29,0,67,0,0
11:15:22,0,83,87,0,29,0,52,0,0
11:15:23,0,83,87,0,29,0,52,0,0
11:15:24,0,81,89,0,29,0,53,0,0
11:15:25,0,74,88,0,29,0,50,0,0
11:15:26,0,76,88,0,29,0,51,0,0
11:15:27,0,77,88,0,29,0,52,0,0
11:15:28,0,77,88,0,29,0,52,0,0
11:15:29,0,89,89,0,29,0,53,0,0
11:15:30,0,101,92,0,29,0,54,0,0
11:15:31,0,74,93,0,29,0,49,0,0
11:15:32,0,78,93,0,29,0,52,0,0
11:15:33,0,83,92,0,29,0,50,0,0
11:15:34,0,80,92,0,29,0,49,0,0
11:15:35,0,83,91,0,29,0,49,0,0
11:15:36,0,89,92,0,29,0,50,0,0
11:15:37,0,103,95,0,29,0,52,0,0
11:15:38,0,85,95,0,29,0,51,0,0
11:15:39,0,99,96,0,29,0,52,0,0
11:15:40,0,91,97,0,29,0,51,0,0
11:15:41,0,85,97,0,29,0,52,0,0
11:15:42,0,84,96,0,29,0,54,0,0
11:15:43,0,78,95,0,29,0,52,0,0
