Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
12:09:05,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
12:10:19,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
12:10:20,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
12:10:21,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
12:10:22,0.0,93.0,30.0,0.0,29.0,0.0,48.0,0,0
12:10:23,0.0,166.0,44.0,0.0,29.0,0.0,48.0,0,0
12:10:24,0.0,166.0,44.0,0.0,29.0,0.0,48.0,0,0
12:10:25,0.0,208.0,45.0,0.0,29.0,0.0,51.0,0,0
12:10:26,0.0,280.0,40.0,0.0,29.0,0.0,42.0,0,0
12:10:27,0.0,280.0,40.0,0.0,29.0,0.0,42.0,0,0
12:10:28,0.0,280.0,42.0,0.0,29.0,0.0,45.0,0,0
12:10:29,0.0,408.0,47.0,0.0,29.0,0.0,51.0,0,0
12:10:30,0.0,414.0,50.0,0.0,29.0,0.0,52.0,0,0
12:10:31,0.0,299.0,52.0,0.0,29.0,0.0,51.0,0,0
12:10:32,0.0,219.0,54.0,0.0,29.0,0.0,58.0,0,0
12:10:33,0.0,81.0,55.0,0.0,29.0,0.0,60.0,0,0
12:10:34,0.0,81.0,55.0,0.0,29.0,0.0,60.0,0,0
12:10:35,0.0,29.0,55.0,0.0,29.0,0.0,96.0,0,0
12:10:36,0.0,73.0,55.0,0.0,29.0,0.0,55.0,0,0
12:10:37,0.0,111.0,56.0,0.0,29.0,0.0,56.0,0,0
12:10:38,0.0,148.0,58.0,0.0,29.0,0.0,61.0,0,0
12:10:39,0.0,159.0,58.0,0.0,29.0,0.0,47.0,0,0
12:10:40,0.0,178.0,59.0,0.0,29.0,0.0,52.0,0,0
12:10:41,0.0,195.0,59.0,0.0,29.0,0.0,53.0,0,0
12:10:42,0.0,158.0,59.0,0.0,29.0,0.0,55.0,0,0
12:10:43,0.0,268.0,58.0,0.0,29.0,0.0,51.0,0,0
12:10:44,0.0,277.0,57.0,0.0,29.0,0.0,45.0,0,0
12:10:45,0.0,320.0,55.0,0.0,29.0,0.0,43.0,0,0
