Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
12:51:52,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
12:51:53,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
12:51:54,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
12:51:55,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
12:51:56,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
12:51:57,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
12:51:58,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
12:52:04,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
12:52:07,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
12:52:08,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
12:52:09,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
12:52:26,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
12:52:27,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
12:53:09,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
12:53:10,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
12:53:11,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
12:53:12,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
12:53:13,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
12:53:14,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
12:53:15,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
12:53:16,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
12:53:17,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
12:53:18,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
12:53:19,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
12:53:20,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
12:53:22,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
12:53:36,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
12:53:37,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
12:53:38,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
12:53:39,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
12:53:40,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
12:53:41,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
12:53:42,0.0,0.0,24.0,0.0,29.0,0.0,255.0,0,0
12:53:43,0.0,0.0,24.0,0.0,29.0,0.0,255.0,0,0
12:53:44,0.0,0.0,37.0,0.0,29.0,0.0,255.0,0,0
12:53:45,0.0,0.0,37.0,0.0,29.0,0.0,255.0,0,0
12:53:46,0.0,0.0,36.0,0.0,29.0,0.0,255.0,0,0
12:53:47,0.0,0.0,35.0,0.0,29.0,0.0,255.0,0,0
12:53:48,0.0,0.0,35.0,0.0,29.0,0.0,255.0,0,0
12:53:49,0.0,10.0,34.0,0.0,29.0,0.0,15.0,0,0
12:53:50,0.0,10.0,34.0,0.0,29.0,0.0,15.0,0,0
12:53:51,0.0,2.0,33.0,0.0,29.0,0.0,100.0,0,0
12:53:52,0.0,2.0,33.0,0.0,29.0,0.0,100.0,0,0
12:53:53,0.0,6.0,31.0,0.0,29.0,0.0,9.0,0,0
12:53:54,0.0,6.0,31.0,0.0,29.0,0.0,9.0,0,0
12:53:55,0.0,103.0,32.0,0.0,29.0,0.0,38.0,0,0
12:53:56,0.0,82.0,35.0,0.0,29.0,0.0,53.0,0,0
12:53:57,0.0,82.0,35.0,0.0,29.0,0.0,53.0,0,0
12:53:58,0.0,164.0,37.0,0.0,29.0,0.0,53.0,0,0
12:53:59,0.0,145.0,38.0,0.0,29.0,0.0,48.0,0,0
12:54:00,0.0,145.0,38.0,0.0,29.0,0.0,48.0,0,0
12:54:01,0.0,182.0,41.0,0.0,29.0,0.0,52.0,0,0
12:54:02,0.0,187.0,42.0,0.0,29.0,0.0,47.0,0,0
12:54:03,0.0,187.0,42.0,0.0,29.0,0.0,47.0,0,0
12:54:04,0.0,172.0,45.0,0.0,29.0,0.0,55.0,0,0
12:54:05,0.0,90.0,47.0,0.0,29.0,0.0,21.0,0,0
12:54:06,0.0,170.0,47.0,0.0,29.0,0.0,55.0,0,0
12:54:07,0.0,8.0,48.0,0.0,29.0,0.0,100.0,0,0
12:54:08,0.0,8.0,48.0,0.0,29.0,0.0,100.0,0,0
12:54:09,0.0,14.0,49.0,0.0,29.0,0.0,86.0,0,0
12:54:10,0.0,48.0,49.0,0.0,29.0,0.0,27.0,0,0
12:54:11,0.0,26.0,49.0,0.0,29.0,0.0,38.0,0,0
12:54:12,0.0,30.0,48.0,0.0,29.0,0.0,53.0,0,0
12:54:13,0.0,166.0,48.0,0.0,29.0,0.0,34.0,0,0
12:54:14,0.0,166.0,48.0,0.0,29.0,0.0,34.0,0,0
12:54:15,0.0,243.0,50.0,0.0,29.0,0.0,47.0,0,0
12:54:16,0.0,336.0,53.0,0.0,29.0,0.0,44.0,0,0
12:54:17,0.0,332.0,53.0,0.0,29.0,0.0,43.0,0,0
12:54:18,0.0,303.0,54.0,0.0,29.0,0.0,54.0,0,0
12:54:19,0.0,381.0,57.0,0.0,29.0,0.0,45.0,0,0
12:54:20,0.0,393.0,60.0,0.0,29.0,0.0,55.0,0,0
12:54:21,0.0,361.0,62.0,0.0,29.0,0.0,53.0,0,0
12:54:22,0.0,398.0,64.0,0.0,29.0,0.0,51.0,0,0
12:54:23,0.0,233.0,67.0,0.0,29.0,0.0,64.0,0,0
12:54:24,0.0,406.0,70.0,0.0,29.0,0.0,53.0,0,0
12:54:25,0.0,360.0,75.0,0.0,29.0,0.0,51.0,0,0
12:54:26,0.0,368.0,77.0,0.0,29.0,0.0,48.0,0,0
12:54:27,0.0,375.0,77.0,0.0,29.0,0.0,55.0,0,0
12:54:28,0.0,556.0,78.0,0.0,29.0,0.0,48.0,0,0
12:54:29,0.0,655.0,82.0,0.0,29.0,0.0,47.0,0,0
12:54:30,0.0,747.0,84.0,0.0,29.0,0.0,48.0,0,0
12:54:31,0.0,1036.0,86.0,0.0,29.0,0.0,49.0,0,0
12:54:32,0.0,1251.0,94.0,0.0,29.0,0.0,49.0,0,0
12:54:33,0.0,1397.0,102.0,0.0,29.0,0.0,50.0,0,0
12:54:34,0.0,1499.0,105.0,0.0,29.0,0.0,50.0,0,0
12:54:35,0.0,1219.0,112.0,0.0,29.0,0.0,51.0,0,0
12:54:36,0.0,1181.0,117.0,0.0,29.0,0.0,50.0,0,0
12:54:37,0.0,1286.0,119.0,0.0,29.0,0.0,51.0,0,0
12:54:38,0.0,1445.0,122.0,0.0,29.0,0.0,51.0,0,0
12:54:39,0.0,1405.0,124.0,0.0,29.0,0.0,50.0,0,0
12:54:40,0.0,1323.0,126.0,0.0,29.0,0.0,51.0,0,0
12:54:41,0.0,1068.0,128.0,0.0,29.0,0.0,50.0,0,0
12:54:42,0.0,978.0,130.0,0.0,29.0,0.0,49.0,0,0
12:54:43,0.0,981.0,134.0,0.0,29.0,0.0,49.0,0,0
12:54:44,0.0,923.0,137.0,0.0,29.0,0.0,48.0,0,0
12:54:45,0.0,993.0,137.0,0.0,29.0,0.0,48.0,0,0
12:54:46,0.0,950.0,137.0,0.0,29.0,0.0,56.0,0,0
12:54:47,0.0,820.0,133.0,0.0,29.0,0.0,50.0,0,0
12:54:48,0.0,783.0,132.0,0.0,29.0,0.0,49.0,0,0
12:54:49,0.0,741.0,132.0,0.0,29.0,0.0,50.0,0,0
12:54:50,0.0,734.0,133.0,0.0,29.0,0.0,47.0,0,0
12:54:51,0.0,624.0,134.0,0.0,29.0,0.0,52.0,0,0
12:54:52,0.0,462.0,132.0,0.0,29.0,0.0,75.0,0,0
12:54:53,0.0,47.0,128.0,0.0,29.0,0.0,41.0,0,0
12:54:54,0.0,17.0,123.0,0.0,29.0,0.0,45.0,0,0
12:54:55,0.0,11.0,118.0,0.0,29.0,0.0,43.0,0,0
12:54:56,0.0,14.0,108.0,0.0,29.0,0.0,54.0,0,0
12:54:57,0.0,20.0,98.0,0.0,29.0,0.0,47.0,0,0
12:54:58,0.0,21.0,96.0,0.0,29.0,0.0,51.0,0,0
12:54:59,0.0,20.0,93.0,0.0,29.0,0.0,51.0,0,0
12:55:00,0.0,18.0,94.0,0.0,29.0,0.0,50.0,0,0
12:55:01,0.0,19.0,97.0,0.0,29.0,0.0,47.0,0,0
12:55:02,0.0,21.0,97.0,0.0,29.0,0.0,53.0,0,0
12:55:03,0.0,23.0,96.0,0.0,29.0,0.0,50.0,0,0
12:55:04,0.0,19.0,92.0,0.0,29.0,0.0,52.0,0,0
12:55:05,0.0,14.0,88.0,0.0,29.0,0.0,57.0,0,0
12:55:06,0.0,13.0,84.0,0.0,29.0,0.0,55.0,0,0
12:55:07,0.0,11.0,78.0,0.0,29.0,0.0,63.0,0,0
12:55:08,0.0,11.0,79.0,0.0,29.0,0.0,57.0,0,0
12:55:09,0.0,10.0,82.0,0.0,29.0,0.0,54.0,0,0
12:55:10,0.0,13.0,88.0,0.0,29.0,0.0,51.0,0,0
12:55:11,0.0,16.0,90.0,0.0,29.0,0.0,43.0,0,0
12:55:12,0.0,12.0,87.0,0.0,29.0,0.0,66.0,0,0
12:55:13,0.0,22.0,83.0,0.0,29.0,0.0,65.0,0,0
12:55:14,0.0,14.0,80.0,0.0,29.0,0.0,54.0,0,0
12:55:15,0.0,7.0,79.0,0.0,29.0,0.0,64.0,0,0
12:55:16,0.0,10.0,78.0,0.0,29.0,0.0,60.0,0,0
12:55:17,0.0,8.0,76.0,0.0,29.0,0.0,62.0,0,0
12:55:18,0.0,10.0,76.0,0.0,29.0,0.0,52.0,0,0
12:55:19,0.0,10.0,76.0,0.0,29.0,0.0,52.0,0,0
12:55:20,0.0,15.0,77.0,0.0,29.0,0.0,65.0,0,0
12:55:21,0.0,10.0,75.0,0.0,29.0,0.0,63.0,0,0
12:55:22,0.0,12.0,75.0,0.0,29.0,0.0,72.0,0,0
12:55:23,0.0,4.0,73.0,0.0,29.0,0.0,57.0,0,0
12:55:24,0.0,3.0,72.0,0.0,29.0,0.0,83.0,0,0
12:55:25,0.0,2.0,70.0,0.0,29.0,0.0,100.0,0,0
12:55:26,0.0,0.0,67.0,0.0,29.0,0.0,255.0,0,0
12:55:27,0.0,0.0,65.0,0.0,29.0,0.0,255.0,0,0
12:55:28,0.0,0.0,63.0,0.0,29.0,0.0,255.0,0,0
12:55:29,0.0,0.0,61.0,0.0,29.0,0.0,255.0,0,0
12:55:30,0.0,0.0,59.0,0.0,29.0,0.0,255.0,0,0
12:55:31,0.0,0.0,57.0,0.0,29.0,0.0,255.0,0,0
12:55:32,0.0,0.0,56.0,0.0,29.0,0.0,255.0,0,0
12:55:33,0.0,0.0,56.0,0.0,29.0,0.0,255.0,0,0
12:55:34,0.0,13.0,54.0,0.0,29.0,0.0,23.0,0,0
12:55:35,0.0,42.0,53.0,0.0,29.0,0.0,60.0,0,0
12:55:36,0.0,13.0,53.0,0.0,29.0,0.0,72.0,0,0
12:55:37,0.0,38.0,52.0,0.0,29.0,0.0,51.0,0,0
12:55:38,0.0,54.0,51.0,0.0,29.0,0.0,57.0,0,0
12:55:39,0.0,47.0,51.0,0.0,29.0,0.0,90.0,0,0
12:55:40,0.0,7.0,49.0,0.0,29.0,0.0,66.0,0,0
12:55:41,0.0,7.0,49.0,0.0,29.0,0.0,66.0,0,0
12:55:42,0.0,4.0,49.0,0.0,29.0,0.0,66.0,0,0
12:55:43,0.0,7.0,48.0,0.0,29.0,0.0,76.0,0,0
12:55:44,0.0,3.0,47.0,0.0,29.0,0.0,60.0,0,0
12:55:45,0.0,3.0,46.0,0.0,29.0,0.0,66.0,0,0
12:55:46,0.0,3.0,46.0,0.0,29.0,0.0,66.0,0,0
12:55:47,0.0,3.0,45.0,0.0,29.0,0.0,57.0,0,0
12:55:48,0.0,1.0,45.0,0.0,29.0,0.0,100.0,0,0
12:55:49,0.0,1.0,45.0,0.0,29.0,0.0,100.0,0,0
12:55:50,0.0,0.0,43.0,0.0,29.0,0.0,255.0,0,0
12:55:51,0.0,0.0,41.0,0.0,29.0,0.0,255.0,0,0
12:55:52,0.0,0.0,39.0,0.0,29.0,0.0,255.0,0,0
12:55:53,0.0,0.0,39.0,0.0,29.0,0.0,255.0,0,0
12:55:54,0.0,4.0,37.0,0.0,29.0,0.0,100.0,0,0
12:55:55,0.0,4.0,37.0,0.0,29.0,0.0,100.0,0,0
12:55:56,0.0,3.0,35.0,0.0,29.0,0.0,100.0,0,0
12:55:57,0.0,3.0,35.0,0.0,29.0,0.0,100.0,0,0
12:55:58,0.0,0.0,32.0,0.0,29.0,0.0,255.0,0,0
12:55:59,0.0,0.0,32.0,0.0,29.0,0.0,255.0,0,0
12:56:00,0.0,0.0,29.0,0.0,29.0,0.0,255.0,0,0
12:56:01,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
12:56:11,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
