Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
11:31:39,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
11:31:40,0.0,137.0,60.0,0.0,29.0,0.0,7.0,0,0
11:31:41,0.0,135.0,58.0,0.0,29.0,0.0,46.0,0,0
11:31:42,0.0,96.0,56.0,0.0,29.0,0.0,53.0,0,0
11:31:43,0.0,89.0,56.0,0.0,29.0,0.0,44.0,0,0
11:31:44,0.0,66.0,56.0,0.0,29.0,0.0,36.0,0,0
11:31:45,0.0,112.0,55.0,0.0,29.0,0.0,46.0,0,0
11:31:46,0.0,126.0,56.0,0.0,29.0,0.0,48.0,0,0
11:31:47,0.0,159.0,58.0,0.0,29.0,0.0,50.0,0,0
11:31:48,0.0,159.0,59.0,0.0,29.0,0.0,52.0,0,0
11:31:49,0.0,182.0,59.0,0.0,29.0,0.0,44.0,0,0
11:31:50,0.0,256.0,57.0,0.0,29.0,0.0,48.0,0,0
11:31:51,0.0,378.0,56.0,0.0,29.0,0.0,53.0,0,0
11:31:52,0.0,438.0,56.0,0.0,29.0,0.0,54.0,0,0
11:31:53,0.0,411.0,55.0,0.0,29.0,0.0,51.0,0,0
11:31:54,0.0,316.0,56.0,0.0,29.0,0.0,59.0,0,0
11:31:55,0.0,204.0,57.0,0.0,29.0,0.0,59.0,0,0
11:31:56,0.0,203.0,59.0,0.0,29.0,0.0,45.0,0,0
11:31:57,0.0,200.0,59.0,0.0,29.0,0.0,55.0,0,0
11:31:58,0.0,173.0,60.0,0.0,29.0,0.0,50.0,0,0
11:31:59,0.0,165.0,62.0,0.0,29.0,0.0,51.0,0,0
11:32:00,0.0,199.0,65.0,0.0,29.0,0.0,48.0,0,0
11:32:01,0.0,202.0,68.0,0.0,29.0,0.0,49.0,0,0
11:32:02,0.0,200.0,71.0,0.0,29.0,0.0,55.0,0,0
11:32:03,0.0,196.0,72.0,0.0,29.0,0.0,49.0,0,0
11:32:04,0.0,339.0,71.0,0.0,29.0,0.0,49.0,0,0
11:32:05,0.0,495.0,69.0,0.0,29.0,0.0,46.0,0,0
11:32:06,0.0,542.0,65.0,0.0,29.0,0.0,52.0,0,0
11:32:07,0.0,478.0,63.0,0.0,29.0,0.0,52.0,0,0
11:32:08,0.0,454.0,62.0,0.0,29.0,0.0,53.0,0,0
11:32:09,0.0,458.0,64.0,0.0,29.0,0.0,51.0,0,0
11:32:10,0.0,423.0,65.0,0.0,29.0,0.0,50.0,0,0
11:32:11,0.0,429.0,67.0,0.0,29.0,0.0,51.0,0,0
11:32:12,0.0,455.0,71.0,0.0,29.0,0.0,57.0,0,0
11:32:13,0.0,384.0,78.0,0.0,29.0,0.0,47.0,0,0
11:32:14,0.0,348.0,84.0,0.0,29.0,0.0,54.0,0,0
11:32:15,0.0,352.0,87.0,0.0,29.0,0.0,51.0,0,0
11:32:16,0.0,488.0,88.0,0.0,29.0,0.0,48.0,0,0
11:32:17,0.0,611.0,87.0,0.0,29.0,0.0,49.0,0,0
11:32:18,0.0,730.0,85.0,0.0,29.0,0.0,50.0,0,0
11:32:19,0.0,780.0,83.0,0.0,29.0,0.0,50.0,0,0
11:32:20,0.0,811.0,82.0,0.0,29.0,0.0,50.0,0,0
11:32:21,0.0,724.0,85.0,0.0,29.0,0.0,53.0,0,0
11:32:22,0.0,701.0,87.0,0.0,29.0,0.0,50.0,0,0
11:32:23,0.0,892.0,90.0,0.0,29.0,0.0,49.0,0,0
11:32:24,0.0,987.0,97.0,0.0,29.0,0.0,47.0,0,0
11:32:25,0.0,1055.0,106.0,0.0,29.0,0.0,48.0,0,0
11:32:26,0.0,820.0,109.0,0.0,29.0,0.0,49.0,0,0
11:32:27,0.0,912.0,108.0,0.0,29.0,0.0,48.0,0,0
11:32:28,0.0,874.0,104.0,0.0,29.0,0.0,49.0,0,0
11:32:29,0.0,927.0,102.0,0.0,29.0,0.0,50.0,0,0
11:32:30,0.0,941.0,103.0,0.0,29.0,0.0,49.0,0,0
11:32:31,0.0,983.0,105.0,0.0,29.0,0.0,50.0,0,0
11:32:32,0.0,1108.0,109.0,0.0,29.0,0.0,48.0,0,0
11:32:33,0.0,1066.0,114.0,0.0,29.0,0.0,48.0,0,0
11:32:34,0.0,1098.0,119.0,0.0,29.0,0.0,50.0,0,0
11:32:35,0.0,1007.0,120.0,0.0,29.0,0.0,48.0,0,0
