Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
12:33:44,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
12:33:45,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
12:33:46,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
12:33:47,0.0,66.0,51.0,0.0,29.0,0.0,44.0,0,0
12:33:48,0.0,61.0,60.0,0.0,29.0,0.0,55.0,0,0
12:33:49,0.0,59.0,61.0,0.0,29.0,0.0,43.0,0,0
12:33:50,0.0,53.0,63.0,0.0,29.0,0.0,48.0,0,0
12:33:51,0.0,55.0,64.0,0.0,29.0,0.0,51.0,0,0
12:33:52,0.0,52.0,65.0,0.0,29.0,0.0,54.0,0,0
12:33:53,0.0,50.0,64.0,0.0,29.0,0.0,52.0,0,0
12:33:54,0.0,51.0,64.0,0.0,29.0,0.0,52.0,0,0
12:33:55,0.0,50.0,63.0,0.0,29.0,0.0,46.0,0,0
12:33:56,0.0,56.0,64.0,0.0,29.0,0.0,48.0,0,0
12:33:57,0.0,54.0,64.0,0.0,29.0,0.0,43.0,0,0
12:33:58,0.0,51.0,65.0,0.0,29.0,0.0,48.0,0,0
12:33:59,0.0,48.0,64.0,0.0,29.0,0.0,53.0,0,0
12:34:00,0.0,48.0,63.0,0.0,29.0,0.0,52.0,0,0
12:34:01,0.0,46.0,62.0,0.0,29.0,0.0,54.0,0,0
12:34:02,0.0,51.0,61.0,0.0,29.0,0.0,49.0,0,0
12:34:03,0.0,50.0,61.0,0.0,29.0,0.0,48.0,0,0
12:34:04,0.0,52.0,62.0,0.0,29.0,0.0,48.0,0,0
12:34:05,0.0,52.0,63.0,0.0,29.0,0.0,52.0,0,0
12:34:06,0.0,48.0,62.0,0.0,29.0,0.0,45.0,0,0
12:34:07,0.0,51.0,62.0,0.0,29.0,0.0,50.0,0,0
12:34:08,0.0,48.0,62.0,0.0,29.0,0.0,47.0,0,0
12:34:09,0.0,48.0,62.0,0.0,29.0,0.0,52.0,0,0
12:34:10,0.0,53.0,62.0,0.0,29.0,0.0,46.0,0,0
12:34:11,0.0,51.0,62.0,0.0,29.0,0.0,45.0,0,0
12:34:12,0.0,47.0,62.0,0.0,29.0,0.0,46.0,0,0
12:34:13,0.0,52.0,62.0,0.0,29.0,0.0,47.0,0,0
12:34:14,0.0,53.0,63.0,0.0,29.0,0.0,48.0,0,0
12:34:15,0.0,51.0,63.0,0.0,29.0,0.0,50.0,0,0
12:34:16,0.0,46.0,63.0,0.0,29.0,0.0,49.0,0,0
12:34:17,0.0,51.0,62.0,0.0,29.0,0.0,46.0,0,0
12:34:18,0.0,49.0,62.0,0.0,29.0,0.0,47.0,0,0
12:34:19,0.0,47.0,62.0,0.0,29.0,0.0,51.0,0,0
12:34:20,0.0,54.0,62.0,0.0,29.0,0.0,44.0,0,0
12:34:21,0.0,52.0,63.0,0.0,29.0,0.0,50.0,0,0
12:34:22,0.0,48.0,63.0,0.0,29.0,0.0,51.0,0,0
12:34:23,0.0,51.0,63.0,0.0,29.0,0.0,53.0,0,0
12:34:24,0.0,49.0,63.0,0.0,29.0,0.0,50.0,0,0
12:34:25,0.0,46.0,62.0,0.0,29.0,0.0,48.0,0,0
12:34:26,0.0,52.0,62.0,0.0,29.0,0.0,50.0,0,0
12:34:27,0.0,47.0,62.0,0.0,29.0,0.0,46.0,0,0
12:34:28,0.0,52.0,62.0,0.0,29.0,0.0,47.0,0,0
12:34:29,0.0,47.0,62.0,0.0,29.0,0.0,44.0,0,0
12:34:30,0.0,49.0,62.0,0.0,29.0,0.0,49.0,0,0
12:34:31,0.0,51.0,62.0,0.0,29.0,0.0,47.0,0,0
12:34:32,0.0,48.0,62.0,0.0,29.0,0.0,45.0,0,0
12:34:33,0.0,46.0,62.0,0.0,29.0,0.0,47.0,0,0
12:34:34,0.0,47.0,61.0,0.0,29.0,0.0,45.0,0,0
12:34:35,0.0,48.0,61.0,0.0,29.0,0.0,44.0,0,0
