Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
20:01:48,11.3,0,0,0,29,32,255,0,0
20:01:49,11.3,0,0,0,29,32,255,0,0
20:01:50,0,0,0,0,29,32,255,0,0
20:01:51,0,0,0,0,29,32,255,0,0
20:02:51,7.2,0,0,0,29,33,255,0,0
20:02:52,12.1,0,0,0,29,33,255,0,0
20:02:53,13.2,0,0,0,29,33,255,0,0
20:02:54,14.4,0,0,0,29,33,255,0,0
20:02:55,15.1,0,0,0,29,33,255,0,0
20:02:56,15.4,0,0,0,29,33,255,0,0
20:02:57,15.6,0,0,0,29,33,255,0,0
20:02:58,15.9,0,0,0,29,33,255,0,0
20:02:59,15.9,0,0,0,29,33,255,0,0
20:03:00,16,0,0,0,29,33,255,0,0
20:03:01,16,0,0,0,29,33,255,0,0
20:03:02,16.7,0,0,0,29,33,255,0,0
20:03:03,17.6,0,0,0,29,33,255,0,0
20:03:04,17.8,50,34,0,29,33,255,0,0
20:03:05,17.3,50,34,0,29,33,255,0,0
20:03:06,17.3,50,34,0,29,33,255,0,0
20:03:07,17,1,33,0,29,33,255,0,0
20:03:08,16.4,1,33,0,29,33,255,0,0
20:03:09,15.7,1,33,0,29,33,255,0,0
20:03:10,15.4,1,31,0,29,33,255,0,0
20:03:11,15.5,14,30,0,29,33,255,0,0
20:03:12,14.9,14,30,0,29,33,255,0,0
20:03:13,14.8,14,30,0,29,33,255,0,0
20:03:14,14.5,18,29,0,29,33,255,0,0
20:03:15,14.5,13,28,0,29,33,255,0,0
20:03:16,14.8,13,28,0,29,33,255,0,0
20:03:17,14.8,13,28,0,29,33,255,0,0
20:03:18,14.8,2,29,0,29,33,255,0,0
20:03:19,14.7,2,29,0,29,33,255,0,0
20:03:20,14.8,2,29,0,29,33,255,0,0
20:03:21,14.8,2,29,0,29,33,255,0,0
20:03:22,14.9,11,29,0,29,33,255,0,0
20:03:23,15.6,11,29,0,29,33,255,0,0
20:03:24,15.9,11,29,0,29,33,255,0,0
20:03:25,16.1,20,30,0,29,33,255,0,0
20:03:26,16.1,20,30,0,29,33,255,0,0
20:03:27,16.1,30,31,0,29,33,255,0,0
20:03:28,16.1,5,31,0,29,33,255,0,0
20:03:29,16.1,5,31,0,29,33,255,0,0
20:03:30,16.1,12,31,0,29,33,255,0,0
20:03:31,15.8,1,31,0,29,33,255,0,0
20:03:32,15.8,1,31,0,29,33,255,0,0
20:03:33,15.7,6,30,0,29,33,255,0,0
20:03:34,15.6,6,30,0,29,33,255,0,0
20:03:35,15.4,6,30,0,29,33,255,0,0
20:03:36,15.1,6,30,0,29,33,255,0,0
20:03:37,14.7,6,29,0,29,33,255,0,0
20:03:38,14.6,6,29,0,29,33,255,0,0
20:03:39,14.7,6,29,0,29,33,255,0,0
20:03:40,14.5,19,28,0,29,33,255,0,0
20:03:41,13.8,19,28,0,29,33,255,0,0
20:03:42,13.2,29,27,0,29,33,255,0,0
20:03:43,12.6,29,27,0,29,33,255,0,0
20:03:44,12.3,21,25,0,29,33,255,0,0
20:03:45,12.1,21,25,0,29,33,255,0,0
20:03:46,12.3,0,0,0,29,33,255,0,0
20:03:47,12.8,0,0,0,29,33,255,0,0
20:03:48,13.3,0,0,0,29,33,255,0,0
20:03:49,13.8,0,0,0,29,33,255,0,0
20:03:50,14.2,0,0,0,29,33,255,0,0
20:03:51,15,0,0,0,29,33,255,0,0
20:03:52,16.1,6,28,0,29,33,255,0,0
20:03:53,16.2,4,31,0,29,33,255,0,0
20:03:54,16.2,4,31,0,29,33,255,0,0
20:03:55,15.9,3,31,0,29,33,255,0,0
20:03:56,15.7,3,31,0,29,33,255,0,0
20:03:57,15.7,1,30,0,29,33,255,0,0
20:03:58,15.6,1,30,0,29,33,255,0,0
20:03:59,15.5,1,30,0,29,33,255,0,0
20:04:00,15.2,1,30,0,29,33,255,0,0
20:04:01,15.2,2,30,0,29,33,255,0,0
20:04:02,15.3,3,29,0,29,33,255,0,0
20:04:03,15.2,3,29,0,29,33,255,0,0
20:04:04,15.2,3,29,0,29,33,255,0,0
20:04:05,15.1,3,29,0,29,33,255,0,0
20:04:06,15,1,29,0,29,33,255,0,0
20:04:07,14.9,1,29,0,29,33,255,0,0
20:04:08,15,29,29,0,29,33,255,0,0
20:04:09,15.2,29,29,0,29,33,255,0,0
20:04:10,15.2,29,29,0,29,33,255,0,0
20:04:11,15.7,54,29,0,29,33,255,0,0
20:04:12,15.9,40,31,0,29,33,255,0,0
20:04:13,15.9,40,31,0,29,33,255,0,0
20:04:14,15.9,0,0,0,29,33,255,0,0
20:04:15,16.6,0,0,0,29,33,255,0,0
20:04:16,17.1,0,0,0,29,33,255,0,0
20:04:17,18.4,0,0,0,29,33,255,0,0
20:04:18,19.1,0,0,0,29,33,255,0,0
20:04:19,19.4,0,0,0,29,33,255,0,0
20:04:20,19.4,0,0,0,29,33,255,0,0
20:04:21,20.8,0,0,0,29,33,255,0,0
20:04:22,20.8,96,39,0,29,33,255,0,0
20:04:23,20.8,8,41,0,29,33,255,0,0
20:04:24,20.8,5,40,0,29,33,255,0,0
20:04:25,20.6,10,40,0,29,33,255,0,0
20:04:26,20.3,10,39,0,29,33,255,0,0
20:04:27,20.2,10,39,0,29,33,255,0,0
20:04:28,19.8,10,39,0,29,33,255,0,0
20:04:29,19.5,10,39,0,29,33,255,0,0
20:04:30,19,10,38,0,29,33,255,0,0
20:04:31,18.8,10,37,0,29,33,255,0,0
20:04:32,18.5,0,0,0,29,33,255,0,0
20:04:33,18.5,0,0,0,29,33,255,0,0
20:04:34,17.9,0,0,0,29,33,255,0,0
20:04:35,18,0,0,0,29,33,255,0,0
20:04:36,18.1,0,0,0,29,33,255,0,0
20:04:37,18.2,0,0,0,29,33,255,0,0
20:04:38,18.6,0,0,0,29,33,255,0,0
20:04:39,18.9,63,36,0,29,33,255,0,0
20:04:40,19.1,35,37,0,29,33,255,0,0
20:04:41,19.8,35,37,0,29,33,255,0,0
20:04:42,20.2,61,38,0,29,33,255,0,0
20:04:43,20.4,61,38,0,29,33,255,0,0
20:04:44,20.7,61,38,0,29,33,255,0,0
20:04:45,20.8,34,40,0,29,33,255,0,0
20:04:46,20.8,41,41,0,29,33,255,0,0
20:04:47,20.7,38,40,0,29,33,255,0,0
20:04:48,20.7,38,40,0,29,33,255,0,0
20:04:49,20.7,30,40,0,29,33,255,0,0
20:04:50,20.7,24,40,0,29,33,255,0,0
20:04:51,20.6,19,40,0,29,33,255,0,0
20:04:52,20.2,19,40,0,29,33,255,0,0
20:04:53,20.1,16,39,0,29,33,255,0,0
20:04:54,19.8,16,39,0,29,33,255,0,0
20:04:55,19.8,2,38,0,29,33,255,0,0
20:04:56,18.7,2,38,0,29,33,255,0,0
20:04:57,16.5,2,37,0,29,33,255,0,0
20:04:58,13.8,2,37,0,29,33,255,0,0
20:04:59,11.3,8,29,0,29,33,255,0,0
20:05:00,9.8,8,29,0,29,33,255,0,0
20:05:01,8.9,7,20,0,29,33,255,0,0
20:05:02,8.9,7,20,0,29,33,255,0,0
20:05:03,8.4,0,0,0,29,33,255,0,0
20:05:04,7.1,0,0,0,29,33,255,0,0
20:05:05,7.1,0,0,0,29,33,255,0,0
20:05:06,0,0,0,0,29,33,255,0,0
20:05:07,0,0,0,0,29,33,255,0,0
20:06:13,21.4,0,0,0,29,33,255,0,0
20:06:14,0,0,0,0,29,33,255,0,0
20:06:15,0,0,0,0,29,33,255,0,0
20:06:24,0,1,23,0,29,34,255,0,0
20:06:25,0,0,0,0,29,34,255,0,0
20:06:26,0,0,0,0,29,34,255,0,0
20:07:26,15,0,0,0,30,34,255,0,0
20:07:27,21.7,0,0,0,30,34,255,0,0
20:07:28,26.8,0,0,0,30,34,255,0,0
20:07:29,29.9,0,0,0,30,34,255,0,0
20:07:30,31.5,0,0,0,30,34,255,0,0
20:07:31,36.1,0,0,0,30,34,255,0,0
20:07:32,38.6,645,74,0,30,34,255,0,0
20:07:33,39.3,647,76,0,30,34,255,0,0
20:07:34,39.5,647,76,0,30,34,255,0,0
20:07:35,39.6,647,76,0,30,34,255,0,0
20:07:36,40.5,551,77,0,30,34,255,0,0
20:07:37,42.1,551,77,0,30,34,255,0,0
20:07:38,42.1,576,82,0,30,34,255,0,0
20:07:39,44.5,772,86,0,30,34,255,0,0
20:07:40,44.7,793,87,0,30,34,255,0,0
20:07:41,44.2,793,87,0,30,34,255,0,0
20:07:42,47.1,706,89,0,30,34,255,0,0
20:07:43,50.4,706,89,0,30,34,255,0,0
20:07:44,58.4,665,100,0,30,34,255,0,0
20:07:45,61.7,726,119,0,30,34,255,0,0
20:07:46,61.9,465,121,0,30,34,255,0,0
20:07:47,62,465,121,0,30,34,255,0,0
20:07:48,61.2,359,120,0,30,34,255,0,0
20:07:49,60.8,301,119,0,30,34,255,0,0
20:07:50,60.4,301,119,0,30,34,255,0,0
20:07:51,60.5,301,119,0,30,34,255,0,0
20:07:52,60.2,291,118,0,30,34,255,0,0
20:07:53,58.7,291,118,0,30,34,255,0,0
20:07:54,58.2,291,118,0,30,34,255,0,0
20:07:55,57.8,291,118,0,30,34,255,0,0
20:07:56,56.8,249,113,0,30,34,255,0,0
20:07:57,55.9,133,109,0,30,34,255,0,0
20:07:58,55.3,335,108,0,30,34,255,0,0
20:07:59,56.7,660,111,0,30,34,255,0,0
20:08:00,58.4,778,114,0,30,34,255,0,0
20:08:01,59.4,825,115,0,30,34,255,0,0
20:08:02,60.2,779,116,0,29,34,255,0,0
20:08:03,60.1,582,118,0,29,34,255,0,0
20:08:04,59.2,582,118,0,29,34,255,0,0
20:08:05,56.9,582,118,0,29,34,255,0,0
20:08:06,55.1,221,111,0,29,34,255,0,0
20:08:07,55.3,221,111,0,29,34,255,0,0
20:08:08,57.6,383,109,0,29,34,255,0,0
20:08:09,59,423,115,0,29,34,255,0,0
20:08:10,59.3,307,115,0,29,34,255,0,0
20:08:11,59.2,307,115,0,29,34,255,0,0
20:08:12,58.4,189,115,0,29,34,255,0,0
20:08:13,57.3,189,115,0,29,34,255,0,0
20:08:14,56.8,303,111,0,29,34,255,0,0
20:08:15,57.9,373,112,0,29,34,255,0,0
20:08:16,59,282,115,0,29,34,255,0,0
20:08:17,58.2,282,115,0,29,34,255,0,0
20:08:18,57.4,282,115,0,29,34,255,0,0
20:08:19,57.3,128,112,0,29,34,255,0,0
20:08:20,56.4,1,110,0,29,34,255,0,0
20:08:21,55.2,90,109,0,29,34,255,0,0
20:08:22,54,90,109,0,29,34,255,0,0
20:08:23,53.1,0,0,0,29,34,255,0,0
20:08:24,54,0,0,0,29,34,255,0,0
20:08:25,54.4,0,0,0,29,34,255,0,0
20:08:26,51,309,103,0,29,34,255,0,0
20:08:27,44.5,309,103,0,29,34,255,0,0
20:08:28,44,309,103,0,29,34,255,0,0
20:08:29,43.8,309,103,0,29,34,255,0,0
20:08:30,43,128,86,0,29,34,255,0,0
20:08:31,42.9,105,84,0,29,34,255,0,0
20:08:32,39.3,208,79,0,29,34,255,0,0
20:08:33,37.1,208,79,0,29,34,255,0,0
20:08:34,36.1,189,71,0,29,34,255,0,0
20:08:35,35.8,189,71,0,29,34,255,0,0
20:08:36,35.8,189,71,0,29,34,255,0,0
20:08:37,35.8,14,70,0,29,34,255,0,0
20:08:38,36.1,14,70,0,29,34,255,0,0
20:08:39,36.8,14,70,0,29,34,255,0,0
20:08:40,37.2,14,72,0,29,34,255,0,0
20:08:41,37.2,14,73,0,29,34,255,0,0
20:08:42,36.8,14,72,0,29,34,255,0,0
20:08:43,35.3,11,71,0,29,34,255,0,0
20:08:44,34.3,206,67,0,29,34,255,0,0
20:08:45,33.8,206,67,0,29,36,255,0,0
20:08:46,33.3,391,65,0,29,36,255,0,0
20:08:47,33.6,391,65,0,29,36,255,0,0
20:08:48,34.1,391,65,0,29,36,255,0,0
20:08:49,34.2,237,66,0,29,36,255,0,0
20:08:50,34.2,237,66,0,29,36,255,0,0
20:08:51,34.4,100,67,0,29,36,255,0,0
20:08:52,35,100,67,0,29,36,255,0,0
20:08:53,36.3,100,69,0,29,36,255,0,0
20:08:54,37.2,100,72,0,29,36,255,0,0
20:08:55,37.6,42,73,0,29,36,255,0,0
20:08:56,37.2,136,73,0,29,36,255,0,0
20:08:57,36.7,136,73,0,29,36,255,0,0
20:08:58,35.9,395,70,0,29,36,255,0,0
20:08:59,34.2,489,68,0,29,36,255,0,0
20:09:00,33.7,448,65,0,29,36,255,0,0
20:09:01,34.8,443,66,0,29,36,255,0,0
20:09:02,36.4,417,69,0,29,36,255,0,0
20:09:03,37.9,328,72,0,29,36,255,0,0
20:09:04,38.3,194,74,0,29,36,255,0,0
20:09:05,37.5,91,73,0,29,36,255,0,0
20:09:06,40.1,281,74,0,29,36,255,0,0
20:09:07,44.5,509,84,0,29,36,255,0,0
20:09:08,47.1,509,84,0,29,36,255,0,0
20:09:09,50.3,616,92,0,29,36,255,0,0
20:09:10,59.4,613,101,0,29,36,255,0,0
20:09:11,61.9,613,101,0,29,36,255,0,0
20:09:12,62.8,613,101,0,29,36,255,0,0
20:09:13,63.8,613,101,0,29,36,255,0,0
20:09:14,63.9,707,122,0,29,36,255,0,0
20:09:15,63.3,707,122,0,29,36,255,0,0
20:09:16,63.8,515,124,0,29,36,255,0,0
20:09:17,63.7,515,124,0,29,36,255,0,0
20:09:18,63.4,515,124,0,29,34,255,0,0
20:09:19,64.5,303,124,0,29,34,255,0,0
20:09:20,64.8,303,124,0,29,34,255,0,0
20:09:21,63.6,241,125,0,29,34,255,0,0
20:09:22,62.3,241,125,0,29,34,255,0,0
20:09:23,62.3,367,122,0,29,34,255,0,0
20:09:24,62.7,367,122,0,29,34,255,0,0
20:09:25,63.2,367,122,0,29,34,255,0,0
20:09:26,64.3,307,123,0,29,34,255,0,0
20:09:27,65.1,383,126,0,29,34,255,0,0
20:09:28,65,383,126,0,29,34,255,0,0
20:09:29,63.4,350,125,0,29,34,255,0,0
20:09:30,61.9,350,125,0,29,34,255,0,0
20:09:31,61.5,339,120,0,29,34,255,0,0
20:09:32,60.9,339,120,0,29,34,255,0,0
20:09:33,60.4,253,119,0,29,34,255,0,0
20:09:34,60.1,225,117,0,29,34,255,0,0
20:09:35,60.7,311,117,0,29,34,255,0,0
20:09:36,61.1,400,119,0,29,34,255,0,0
20:09:37,60.4,400,119,0,29,34,255,0,0
20:09:38,60.6,0,0,0,29,34,255,0,0
20:09:39,61.5,0,0,0,29,34,255,0,0
20:09:40,62,0,0,0,29,34,255,0,0
20:09:41,62,0,0,0,29,34,255,0,0
20:09:42,62.9,0,0,0,29,34,255,0,0
20:09:43,60.1,0,0,0,29,34,255,0,0
20:09:44,55.5,1,116,0,29,34,255,0,0
20:09:45,55.3,1,106,0,29,34,255,0,0
20:09:46,57,358,111,0,29,34,255,0,0
20:09:47,57.8,358,111,0,29,34,255,0,0
20:09:48,57.1,358,111,0,29,34,255,0,0
20:09:49,58.5,290,112,0,29,34,255,0,0
20:09:50,61.3,851,116,0,29,34,255,0,0
20:09:51,59,623,117,0,29,34,255,0,0
20:09:52,50.3,490,99,0,29,34,255,0,0
20:09:53,49.7,147,97,0,29,34,255,0,0
20:09:54,49,32,96,0,29,34,255,0,0
20:09:55,49,32,96,0,29,34,255,0,0
20:09:56,48.1,11,94,0,29,34,255,0,0
20:09:57,47.6,11,93,0,29,34,255,0,0
20:09:58,47.1,11,93,0,29,34,255,0,0
20:09:59,46.5,11,93,0,29,34,255,0,0
20:10:00,45.2,35,89,0,29,34,255,0,0
20:10:01,42.2,35,89,0,29,34,255,0,0
20:10:02,38.1,35,89,0,29,34,255,0,0
20:10:03,36.6,35,89,0,29,34,255,0,0
20:10:04,37.7,9,75,0,29,34,255,0,0
20:10:05,38.5,9,75,0,29,34,255,0,0
20:10:06,38.7,57,75,0,29,34,255,0,0
20:10:07,38.5,142,75,0,29,34,255,0,0
20:10:08,37.9,234,74,0,29,34,255,0,0
20:10:09,36.6,360,71,0,29,34,255,0,0
20:10:10,34.8,360,71,0,29,34,255,0,0
