Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
14:40:54,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
14:41:04,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
14:41:16,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
14:41:17,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
14:41:18,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
14:41:19,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
14:41:38,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
14:41:39,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
14:41:40,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
14:41:41,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
14:41:42,0.0,61.0,20.0,0.0,30.0,0.0,68.0,0,0
14:41:43,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
14:41:44,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
14:41:45,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
14:41:46,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
14:41:47,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
14:41:48,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
14:41:49,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
14:41:50,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
14:41:52,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
14:41:53,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
14:42:01,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
14:42:24,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
14:42:25,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
14:42:26,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
14:42:27,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
14:42:28,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
14:42:29,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
14:42:30,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
14:42:31,0.0,4.0,36.0,0.0,30.0,0.0,100.0,0,0
14:42:32,0.0,4.0,36.0,0.0,30.0,0.0,100.0,0,0
14:42:33,0.0,0.0,42.0,0.0,30.0,0.0,255.0,0,0
14:42:34,0.0,0.0,39.0,0.0,30.0,0.0,255.0,0,0
14:42:35,0.0,0.0,39.0,0.0,30.0,0.0,255.0,0,0
14:42:36,0.0,0.0,35.0,0.0,30.0,0.0,255.0,0,0
14:42:37,0.0,0.0,35.0,0.0,30.0,0.0,255.0,0,0
14:42:38,0.0,0.0,29.0,0.0,30.0,0.0,255.0,0,0
14:42:39,0.0,0.0,29.0,0.0,30.0,0.0,255.0,0,0
14:42:40,0.0,0.0,25.0,0.0,30.0,0.0,255.0,0,0
14:42:41,0.0,0.0,25.0,0.0,30.0,0.0,255.0,0,0
14:42:42,0.0,0.0,25.0,0.0,30.0,0.0,255.0,0,0
