Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
19:37:01,0.0,308.0,49.0,0.0,32.0,0.0,40.0,0,0
19:37:02,0.0,376.0,52.0,0.0,32.0,0.0,51.0,0,0
19:37:03,0.0,242.0,55.0,0.0,32.0,0.0,48.0,0,0
19:37:04,0.0,244.0,57.0,0.0,32.0,0.0,55.0,0,0
19:37:05,0.0,123.0,57.0,0.0,32.0,0.0,48.0,0,0
19:37:06,0.0,205.0,56.0,0.0,32.0,0.0,45.0,0,0
19:37:07,0.0,284.0,58.0,0.0,32.0,0.0,43.0,0,0
19:37:08,0.0,183.0,59.0,0.0,32.0,0.0,53.0,0,0
19:37:09,0.0,183.0,59.0,0.0,32.0,0.0,53.0,0,0
19:37:10,0.0,113.0,59.0,0.0,32.0,0.0,12.0,0,0
19:37:11,0.0,286.0,59.0,0.0,32.0,0.0,45.0,0,0
19:37:12,0.0,67.0,60.0,0.0,32.0,0.0,13.0,0,0
19:37:13,0.0,131.0,60.0,0.0,32.0,0.0,22.0,0,0
19:37:14,0.0,243.0,60.0,0.0,32.0,0.0,48.0,0,0
19:37:15,0.0,43.0,62.0,0.0,32.0,0.0,51.0,0,0
19:37:16,0.0,105.0,62.0,0.0,32.0,0.0,34.0,0,0
19:37:17,0.0,293.0,63.0,0.0,32.0,0.0,46.0,0,0
19:37:18,0.0,132.0,64.0,0.0,32.0,0.0,63.0,0,0
19:37:19,0.0,191.0,64.0,0.0,32.0,0.0,41.0,0,0
19:37:20,0.0,224.0,65.0,0.0,32.0,0.0,43.0,0,0
19:37:21,0.0,219.0,65.0,0.0,32.0,0.0,61.0,0,0
19:37:22,0.0,106.0,65.0,0.0,32.0,0.0,58.0,0,0
19:37:23,0.0,321.0,66.0,0.0,32.0,0.0,37.0,0,0
19:37:24,0.0,297.0,67.0,0.0,32.0,0.0,56.0,0,0
19:37:25,0.0,166.0,67.0,0.0,32.0,0.0,62.0,0,0
19:37:26,0.0,60.0,66.0,0.0,32.0,0.0,39.0,0,0
19:37:27,0.0,86.0,67.0,0.0,32.0,0.0,41.0,0,0
19:37:28,0.0,201.0,67.0,0.0,32.0,0.0,30.0,0,0
19:37:29,0.0,268.0,68.0,0.0,32.0,0.0,52.0,0,0
19:37:30,0.0,163.0,69.0,0.0,32.0,0.0,49.0,0,0
19:37:31,0.0,84.0,69.0,0.0,32.0,0.0,20.0,0,0
19:37:32,0.0,226.0,70.0,0.0,32.0,0.0,50.0,0,0
19:37:33,0.0,119.0,69.0,0.0,32.0,0.0,26.0,0,0
19:37:34,0.0,225.0,69.0,0.0,32.0,0.0,28.0,0,0
19:37:35,0.0,229.0,70.0,0.0,32.0,0.0,60.0,0,0
19:37:36,0.0,222.0,70.0,0.0,32.0,0.0,29.0,0,0
19:37:37,0.0,249.0,70.0,0.0,32.0,0.0,51.0,0,0
19:37:38,0.0,76.0,70.0,0.0,32.0,0.0,39.0,0,0
19:37:39,0.0,153.0,71.0,0.0,32.0,0.0,48.0,0,0
19:37:40,0.0,143.0,72.0,0.0,32.0,0.0,34.0,0,0
19:37:41,0.0,112.0,72.0,0.0,32.0,0.0,39.0,0,0
19:37:42,0.0,219.0,72.0,0.0,32.0,0.0,37.0,0,0
19:37:43,0.0,357.0,73.0,0.0,32.0,0.0,55.0,0,0
19:37:44,0.0,222.0,74.0,0.0,32.0,0.0,54.0,0,0
19:37:45,0.0,293.0,75.0,0.0,32.0,0.0,47.0,0,0
19:37:46,0.0,351.0,75.0,0.0,32.0,0.0,51.0,0,0
19:37:47,0.0,270.0,75.0,0.0,32.0,0.0,47.0,0,0
19:37:48,0.0,238.0,75.0,0.0,32.0,0.0,46.0,0,0
19:37:49,0.0,269.0,75.0,0.0,32.0,0.0,44.0,0,0
19:37:50,0.0,259.0,77.0,0.0,32.0,0.0,35.0,0,0
19:37:51,0.0,212.0,78.0,0.0,32.0,0.0,41.0,0,0
19:37:52,0.0,844.0,80.0,0.0,32.0,0.0,48.0,0,0
19:37:53,0.0,650.0,83.0,0.0,32.0,0.0,47.0,0,0
19:37:54,0.0,339.0,85.0,0.0,32.0,0.0,77.0,0,0
19:37:55,0.0,162.0,83.0,0.0,32.0,0.0,58.0,0,0
19:37:56,0.0,319.0,83.0,0.0,32.0,0.0,37.0,0,0
19:37:57,0.0,354.0,83.0,0.0,32.0,0.0,48.0,0,0
19:37:58,0.0,408.0,84.0,0.0,32.0,0.0,58.0,0,0
19:37:59,0.0,84.0,86.0,0.0,32.0,0.0,56.0,0,0
19:38:00,0.0,113.0,86.0,0.0,32.0,0.0,32.0,0,0
19:38:01,0.0,378.0,85.0,0.0,32.0,0.0,54.0,0,0
19:38:02,0.0,454.0,88.0,0.0,32.0,0.0,54.0,0,0
19:38:03,0.0,484.0,88.0,0.0,32.0,0.0,40.0,0,0
19:38:04,0.0,804.0,89.0,0.0,32.0,0.0,50.0,0,0
19:38:05,0.0,443.0,89.0,0.0,32.0,0.0,44.0,0,0
19:38:06,0.0,446.0,89.0,0.0,32.0,0.0,52.0,0,0
19:38:07,0.0,364.0,88.0,0.0,32.0,0.0,31.0,0,0
19:38:08,0.0,434.0,89.0,0.0,32.0,0.0,50.0,0,0
19:38:09,0.0,684.0,92.0,0.0,32.0,0.0,45.0,0,0
19:38:10,0.0,669.0,93.0,0.0,32.0,0.0,55.0,0,0
19:38:11,0.0,549.0,91.0,0.0,32.0,0.0,54.0,0,0
19:38:12,0.0,232.0,92.0,0.0,32.0,0.0,30.0,0,0
19:38:13,0.0,380.0,90.0,0.0,32.0,0.0,43.0,0,0
19:38:14,0.0,571.0,90.0,0.0,32.0,0.0,41.0,0,0
19:38:15,0.0,374.0,90.0,0.0,32.0,0.0,58.0,0,0
19:38:16,0.0,325.0,89.0,0.0,32.0,0.0,35.0,0,0
19:38:17,0.0,785.0,90.0,0.0,32.0,0.0,56.0,0,0
19:38:18,0.0,845.0,95.0,0.0,32.0,0.0,51.0,0,0
19:38:19,0.0,751.0,95.0,0.0,32.0,0.0,53.0,0,0
19:38:20,0.0,848.0,96.0,0.0,32.0,0.0,48.0,0,0
19:38:21,0.0,723.0,98.0,0.0,32.0,0.0,62.0,0,0
19:38:22,0.0,447.0,96.0,0.0,32.0,0.0,46.0,0,0
19:38:23,0.0,802.0,96.0,0.0,32.0,0.0,53.0,0,0
19:38:24,0.0,936.0,96.0,0.0,32.0,0.0,43.0,0,0
19:38:25,0.0,1253.0,100.0,0.0,32.0,0.0,50.0,0,0
19:38:26,0.0,1078.0,104.0,0.0,32.0,0.0,50.0,0,0
19:38:27,0.0,1235.0,107.0,0.0,32.0,0.0,49.0,0,0
19:38:28,0.0,1472.0,107.0,0.0,32.0,0.0,48.0,0,0
19:38:29,0.0,1828.0,111.0,0.0,32.0,0.0,48.0,0,0
19:38:30,0.0,1738.0,114.0,0.0,32.0,0.0,48.0,0,0
19:38:31,0.0,1392.0,116.0,0.0,32.0,0.0,44.0,0,0
19:38:32,0.0,1266.0,117.0,0.0,32.0,0.0,48.0,0,0
19:38:33,0.0,1145.0,120.0,0.0,32.0,0.0,56.0,0,0
19:38:34,0.0,1287.0,123.0,0.0,32.0,0.0,51.0,0,0
19:38:35,0.0,1612.0,122.0,0.0,32.0,0.0,47.0,0,0
19:38:36,0.0,1653.0,123.0,0.0,32.0,0.0,49.0,0,0
19:38:37,0.0,1183.0,126.0,0.0,32.0,0.0,41.0,0,0
19:38:38,0.0,1057.0,124.0,0.0,32.0,0.0,49.0,0,0
19:38:39,0.0,1004.0,127.0,0.0,32.0,0.0,50.0,0,0
19:38:40,0.0,1006.0,131.0,0.0,32.0,0.0,49.0,0,0
19:38:41,0.0,1008.0,131.0,0.0,32.0,0.0,49.0,0,0
19:38:42,0.0,944.0,129.0,0.0,32.0,0.0,50.0,0,0
19:38:43,0.0,817.0,127.0,0.0,32.0,0.0,56.0,0,0
19:38:44,0.0,788.0,125.0,0.0,32.0,0.0,52.0,0,0
19:38:45,0.0,758.0,126.0,0.0,32.0,0.0,50.0,0,0
19:38:46,0.0,748.0,129.0,0.0,32.0,0.0,50.0,0,0
19:38:47,0.0,746.0,130.0,0.0,32.0,0.0,50.0,0,0
19:38:48,0.0,738.0,126.0,0.0,32.0,0.0,53.0,0,0
19:38:49,0.0,603.0,124.0,0.0,32.0,0.0,57.0,0,0
19:38:50,0.0,80.0,120.0,0.0,32.0,0.0,57.0,0,0
19:38:51,0.0,29.0,118.0,0.0,32.0,0.0,40.0,0,0
19:38:52,0.0,31.0,116.0,0.0,32.0,0.0,60.0,0,0
19:38:53,0.0,33.0,115.0,0.0,32.0,0.0,62.0,0,0
19:38:54,0.0,28.0,110.0,0.0,32.0,0.0,29.0,0,0
19:38:55,0.0,5.0,106.0,0.0,32.0,0.0,70.0,0,0
19:38:56,0.0,21.0,101.0,0.0,32.0,0.0,53.0,0,0
19:38:57,0.0,57.0,96.0,0.0,32.0,0.0,55.0,0,0
19:38:58,0.0,54.0,94.0,0.0,32.0,0.0,55.0,0,0
19:38:59,0.0,12.0,89.0,0.0,32.0,0.0,57.0,0,0
19:39:00,0.0,9.0,85.0,0.0,32.0,0.0,61.0,0,0
19:39:01,0.0,10.0,84.0,0.0,32.0,0.0,50.0,0,0
19:39:02,0.0,78.0,82.0,0.0,32.0,0.0,52.0,0,0
19:39:03,0.0,64.0,82.0,0.0,32.0,0.0,54.0,0,0
19:39:04,0.0,25.0,82.0,0.0,32.0,0.0,30.0,0,0
19:39:05,0.0,51.0,82.0,0.0,32.0,0.0,29.0,0,0
19:39:06,0.0,8.0,81.0,0.0,32.0,0.0,50.0,0,0
19:39:07,0.0,4.0,78.0,0.0,32.0,0.0,66.0,0,0
19:39:08,0.0,5.0,76.0,0.0,32.0,0.0,70.0,0,0
19:39:09,0.0,0.0,0.0,0.0,32.0,0.0,100.0,0,0
19:39:10,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0,0
19:39:11,0.0,0.0,0.0,0.0,32.0,0.0,50.0,0,0
19:39:12,0.0,0.0,70.0,0.0,32.0,0.0,255.0,0,0
19:39:13,0.0,0.0,69.0,0.0,32.0,0.0,255.0,0,0
19:39:14,0.0,0.0,69.0,0.0,32.0,0.0,255.0,0,0
19:39:15,0.0,0.0,69.0,0.0,32.0,0.0,255.0,0,0
19:39:16,0.0,1.0,68.0,0.0,32.0,0.0,0.0,0,0
19:39:17,0.0,0.0,68.0,0.0,32.0,0.0,0.0,0,0
19:39:18,0.0,1.0,67.0,0.0,32.0,0.0,100.0,0,0
19:39:19,0.0,0.0,66.0,0.0,32.0,0.0,100.0,0,0
19:39:20,0.0,0.0,66.0,0.0,32.0,0.0,255.0,0,0
19:39:21,0.0,0.0,66.0,0.0,32.0,0.0,255.0,0,0
19:39:22,0.0,1.0,65.0,0.0,32.0,0.0,50.0,0,0
19:39:23,0.0,0.0,65.0,0.0,32.0,0.0,255.0,0,0
19:39:24,0.0,0.0,64.0,0.0,32.0,0.0,255.0,0,0
19:39:25,0.0,0.0,62.0,0.0,32.0,0.0,255.0,0,0
19:39:26,0.0,0.0,60.0,0.0,32.0,0.0,255.0,0,0
19:39:27,0.0,0.0,58.0,0.0,32.0,0.0,255.0,0,0
19:39:28,0.0,0.0,56.0,0.0,32.0,0.0,255.0,0,0
19:39:29,0.0,0.0,55.0,0.0,32.0,0.0,255.0,0,0
19:39:30,0.0,0.0,52.0,0.0,32.0,0.0,255.0,0,0
19:39:31,0.0,0.0,51.0,0.0,32.0,0.0,255.0,0,0
19:39:32,0.0,0.0,51.0,0.0,32.0,0.0,255.0,0,0
19:39:33,0.0,0.0,49.0,0.0,32.0,0.0,255.0,0,0
19:39:34,0.0,0.0,47.0,0.0,32.0,0.0,255.0,0,0
19:39:35,0.0,0.0,45.0,0.0,32.0,0.0,255.0,0,0
19:39:36,0.0,0.0,45.0,0.0,32.0,0.0,255.0,0,0
19:39:37,0.0,0.0,42.0,0.0,32.0,0.0,255.0,0,0
19:39:38,0.0,0.0,40.0,0.0,32.0,0.0,255.0,0,0
19:39:39,0.0,0.0,40.0,0.0,32.0,0.0,255.0,0,0
19:39:40,0.0,0.0,35.0,0.0,32.0,0.0,255.0,0,0
19:39:41,0.0,0.0,35.0,0.0,32.0,0.0,255.0,0,0
19:39:42,0.0,0.0,32.0,0.0,32.0,0.0,255.0,0,0
19:39:43,0.0,0.0,32.0,0.0,32.0,0.0,255.0,0,0
19:39:44,0.0,0.0,27.0,0.0,32.0,0.0,255.0,0,0
19:39:45,0.0,0.0,27.0,0.0,32.0,0.0,255.0,0,0
19:39:46,0.0,0.0,0.0,0.0,32.0,0.0,255.0,0,0
19:39:47,0.0,0.0,0.0,0.0,32.0,0.0,255.0,0,0
19:39:48,0.0,0.0,0.0,0.0,32.0,0.0,255.0,0,0
19:39:49,0.0,0.0,0.0,0.0,32.0,0.0,255.0,0,0
19:39:53,0.0,0.0,0.0,0.0,32.0,0.0,255.0,0,0
