,UCI_ID,Country,UCI_Bday,Status,UCI_Name
0,10009535686,NED,14.03.1997,ACTIVE,LAVREYSEN Harrie
1,10015145724,AUS,17.04.1999,ACTIVE,RICHARDSON Matthew
2,10009079382,POL,20.07.1995,ACTIVE,RUDYK Mateusz
3,10010830840,COL,28.10.1998,ACTIVE,QUINTERO CHAVARRO Kevin Santiago
4,10055349695,AUS,15.02.2000,Active,CORNISH Thomas
5,10117936018,SUR,19.10.1993,ACTIVE,TJON EN FA Jaïr
6,10034964036,ISR,01.09.2000,INACTIVE,YAKOVLEV Mikhail
7,10015483305,GBR,13.07.1999,ACTIVE,TURNBULL Hamish
8,10009967641,GBR,23.04.1997,ACTIVE,CARLIN Jack
9,10122775712,JPN,27.07.1999,Active,OTA Kaiya
10,10006894559,AUS,24.08.1992,ACTIVE,GLAETZER Matthew
11,10015683567,FRA,21.01.1999,ACTIVE,HELAL Rayan
12,10048325582,GER,01.02.1992,ACTIVE,BÖTTICHER Stefan
13,10007379761,NED,16.03.1993,ACTIVE,HOOGLAND Jeffrey
14,10009039774,COL,20.07.1994,ACTIVE,RAMIREZ MORALES Santiago
15,10061655608,COL,29.09.2000,ACTIVE,ORTEGA FONTALVO Cristian David
16,10007779683,GER,24.12.1995,ACTIVE,DÖRNBACH Maximilian
17,10010678569,FRA,18.04.1997,ACTIVE,VIGIER Sébastien
18,10015713273,CAN,21.10.1999,ACTIVE,WAMMES Nick
19,10020900955,JPN,17.12.1992,Active,YAMASAKI Kento
20,10010821241,TTO,23.09.1998,ACTIVE,PAUL Nicholas
21,10009009159,THA,16.02.1995,ACTIVE,ANGSUTHASAWIT Jai
