Event,Date,Round,Heat,Start time,Name,Draw,Finish,Video
2023 Milton NC,,R1,1,102.662,DODYK Ryan,,,https://youtu.be/l5dVPGKj3ks
2023 Milton NC,,R1,1,103.022,RICHARDSON Matthew,,,https://youtu.be/l5dVPGKj3ks
2023 Milton NC,,R1,1,103.262,CECHMAN Martin,,,https://youtu.be/l5dVPGKj3ks
2023 Milton NC,,R1,1,103.462,KANG Shih Feng,,,https://youtu.be/l5dVPGKj3ks
2023 Milton NC,,R1,1,111.622,DODYK Ryan,,,https://youtu.be/l5dVPGKj3ks
2023 Milton NC,,R1,1,111.942,RICHARDSON Matthew,,,https://youtu.be/l5dVPGKj3ks
2023 Milton NC,,R1,1,112.102,CECHMAN Martin,,,https://youtu.be/l5dVPGKj3ks
2023 Milton NC,,R1,1,112.262,KANG Shih Feng,,,https://youtu.be/l5dVPGKj3ks
2023 Milton NC,,R1,1,119.902,DODYK Ryan,,,https://youtu.be/l5dVPGKj3ks
2023 Milton NC,,R1,1,119.982,RICHARDSON Matthew,,,https://youtu.be/l5dVPGKj3ks
2023 Milton NC,,R1,1,119.982,CECHMAN Martin,,,https://youtu.be/l5dVPGKj3ks
2023 Milton NC,,R1,1,120.122,KANG Shih Feng,,,https://youtu.be/l5dVPGKj3ks
2023 Milton NC,,R1,1,126.742,RICHARDSON Matthew,,,https://youtu.be/l5dVPGKj3ks
2023 Milton NC,,R1,1,126.842,KANG Shih Feng,,,https://youtu.be/l5dVPGKj3ks
2023 Milton NC,,R1,1,126.862,DODYK Ryan,,,https://youtu.be/l5dVPGKj3ks
2023 Milton NC,,R1,1,126.962,CECHMAN Martin,,,https://youtu.be/l5dVPGKj3ks
2023 Milton NC,,R1,1,133.122,RICHARDSON Matthew,,,https://youtu.be/l5dVPGKj3ks
2023 Milton NC,,R1,1,133.222,KANG Shih Feng,,,https://youtu.be/l5dVPGKj3ks
2023 Milton NC,,R1,1,133.242,DODYK Ryan,,,https://youtu.be/l5dVPGKj3ks
2023 Milton NC,,R1,1,133.402,CECHMAN Martin,,,https://youtu.be/l5dVPGKj3ks
2023 Milton NC,,R1,1,139.222,RICHARDSON Matthew,,,https://youtu.be/l5dVPGKj3ks
2023 Milton NC,,R1,1,139.322,KANG Shih Feng,,,https://youtu.be/l5dVPGKj3ks
2023 Milton NC,,R1,1,139.402,DODYK Ryan,,,https://youtu.be/l5dVPGKj3ks
2023 Milton NC,,R1,1,139.622,CECHMAN Martin,,,https://youtu.be/l5dVPGKj3ks
2023 Milton NC,,R1,1,145.402,RICHARDSON Matthew,,,https://youtu.be/l5dVPGKj3ks
2023 Milton NC,,R1,1,145.542,KANG Shih Feng,,,https://youtu.be/l5dVPGKj3ks
2023 Milton NC,,R1,1,145.642,DODYK Ryan,,,https://youtu.be/l5dVPGKj3ks
2023 Milton NC,,R1,1,145.842,CECHMAN Martin,,,https://youtu.be/l5dVPGKj3ks
2023 Milton NC,,R1,2,244.964,SARNECKI Rafal,,,https://youtu.be/Njuntb0LjJ0
2023 Milton NC,,R1,2,245.284,SAUNDERS Callum,,,https://youtu.be/Njuntb0LjJ0
2023 Milton NC,,R1,2,245.484,QUINTERO CHAVARRO Kevin Santiago,,,https://youtu.be/Njuntb0LjJ0
2023 Milton NC,,R1,2,245.744,SZALONTAY Sandor,,,https://youtu.be/Njuntb0LjJ0
2023 Milton NC,,R1,2,246.044,BIANCHI Matteo,,,https://youtu.be/Njuntb0LjJ0
2023 Milton NC,,R1,2,246.224,HSIEH Nien Hsing,,,https://youtu.be/Njuntb0LjJ0
2023 Milton NC,,R1,2,254.064,SARNECKI Rafal,,,https://youtu.be/Njuntb0LjJ0
2023 Milton NC,,R1,2,254.324,SAUNDERS Callum,,,https://youtu.be/Njuntb0LjJ0
2023 Milton NC,,R1,2,254.584,QUINTERO CHAVARRO Kevin Santiago,,,https://youtu.be/Njuntb0LjJ0
2023 Milton NC,,R1,2,254.804,SZALONTAY Sandor,,,https://youtu.be/Njuntb0LjJ0
2023 Milton NC,,R1,2,255.124,BIANCHI Matteo,,,https://youtu.be/Njuntb0LjJ0
2023 Milton NC,,R1,2,255.284,HSIEH Nien Hsing,,,https://youtu.be/Njuntb0LjJ0
2023 Milton NC,,R1,2,262.564,SARNECKI Rafal,,,https://youtu.be/Njuntb0LjJ0
2023 Milton NC,,R1,2,262.864,SAUNDERS Callum,,,https://youtu.be/Njuntb0LjJ0
2023 Milton NC,,R1,2,263.124,QUINTERO CHAVARRO Kevin Santiago,,,https://youtu.be/Njuntb0LjJ0
2023 Milton NC,,R1,2,263.224,BIANCHI Matteo,,,https://youtu.be/Njuntb0LjJ0
2023 Milton NC,,R1,2,263.304,SZALONTAY Sandor,,,https://youtu.be/Njuntb0LjJ0
2023 Milton NC,,R1,2,263.404,HSIEH Nien Hsing,,,https://youtu.be/Njuntb0LjJ0
2023 Milton NC,,R1,2,270.144,SARNECKI Rafal,,,https://youtu.be/Njuntb0LjJ0
2023 Milton NC,,R1,2,270.144,SAUNDERS Callum,,,https://youtu.be/Njuntb0LjJ0
2023 Milton NC,,R1,2,270.144,BIANCHI Matteo,,,https://youtu.be/Njuntb0LjJ0
2023 Milton NC,,R1,2,270.244,QUINTERO CHAVARRO Kevin Santiago,,,https://youtu.be/Njuntb0LjJ0
2023 Milton NC,,R1,2,270.264,HSIEH Nien Hsing,,,https://youtu.be/Njuntb0LjJ0
2023 Milton NC,,R1,2,270.404,SZALONTAY Sandor,,,https://youtu.be/Njuntb0LjJ0
2023 Milton NC,,R1,2,276.564,SAUNDERS Callum,,,https://youtu.be/Njuntb0LjJ0
2023 Milton NC,,R1,2,276.604,BIANCHI Matteo,,,https://youtu.be/Njuntb0LjJ0
2023 Milton NC,,R1,2,276.704,QUINTERO CHAVARRO Kevin Santiago,,,https://youtu.be/Njuntb0LjJ0
2023 Milton NC,,R1,2,276.744,SARNECKI Rafal,,,https://youtu.be/Njuntb0LjJ0
2023 Milton NC,,R1,2,276.744,HSIEH Nien Hsing,,,https://youtu.be/Njuntb0LjJ0
2023 Milton NC,,R1,2,276.824,SZALONTAY Sandor,,,https://youtu.be/Njuntb0LjJ0
2023 Milton NC,,R1,2,282.824,SAUNDERS Callum,,,https://youtu.be/Njuntb0LjJ0
2023 Milton NC,,R1,2,282.964,BIANCHI Matteo,,,https://youtu.be/Njuntb0LjJ0
2023 Milton NC,,R1,2,282.984,QUINTERO CHAVARRO Kevin Santiago,,,https://youtu.be/Njuntb0LjJ0
2023 Milton NC,,R1,2,283.044,SARNECKI Rafal,,,https://youtu.be/Njuntb0LjJ0
2023 Milton NC,,R1,2,283.104,SZALONTAY Sandor,,,https://youtu.be/Njuntb0LjJ0
2023 Milton NC,,R1,2,283.264,HSIEH Nien Hsing,,,https://youtu.be/Njuntb0LjJ0
2023 Milton NC,,R1,2,289.164,QUINTERO CHAVARRO Kevin Santiago,,,https://youtu.be/Njuntb0LjJ0
2023 Milton NC,,R1,2,289.264,SAUNDERS Callum,,,https://youtu.be/Njuntb0LjJ0
2023 Milton NC,,R1,2,289.284,SZALONTAY Sandor,,,https://youtu.be/Njuntb0LjJ0
2023 Milton NC,,R1,2,289.404,BIANCHI Matteo,,,https://youtu.be/Njuntb0LjJ0
2023 Milton NC,,R1,2,289.504,SARNECKI Rafal,,,https://youtu.be/Njuntb0LjJ0
2023 Milton NC,,R1,2,289.784,HSIEH Nien Hsing,,,https://youtu.be/Njuntb0LjJ0
2023 Milton NC,,R1,3,386.806,JURCZYK Marc,,,https://youtu.be/HNdBDv0zMdU
2023 Milton NC,,R1,3,386.846,VILAR Lucas Oscar,,,https://youtu.be/HNdBDv0zMdU
2023 Milton NC,,R1,3,386.886,LIU Qi,,,https://youtu.be/HNdBDv0zMdU
2023 Milton NC,,R1,3,387.046,PREDOMO Mattia,,,https://youtu.be/HNdBDv0zMdU
2023 Milton NC,,R1,3,387.066,RAMIREZ MORALES Santiago,,,https://youtu.be/HNdBDv0zMdU
2023 Milton NC,,R1,3,387.246,CHUGAY Andrey,,,https://youtu.be/HNdBDv0zMdU
