Event,Date,Round,Heat,Position,Draw,3 to go,2.5 to go,2 to go,1.5 to go,1 to go,0.5 to go,PL,Finish,Video
2023 Milton NC,,R1,1,1,DODYK Ryan,DODYK Ryan,DODYK Ryan,DODYK Ryan,RICHARDSON Matthew,RICHARDSON Matthew,RICHARDSON Matthew,RICHARDSON Matthew,RICHARDSON Matthew,https://youtu.be/l5dVPGKj3ks
2023 Milton NC,,R1,1,2,RICHARDSON Matthew,RICHARDSON Matthew,RICHARDSON Matthew,RICHARDSON Matthew,KANG Shih Feng,KANG Shih Feng,KANG Shih Feng,KANG Shih Feng,KANG Shih Feng,https://youtu.be/l5dVPGKj3ks
2023 Milton NC,,R1,1,3,CECHMAN Martin,CECHMAN Martin,CECHMAN Martin,CECHMAN Martin,DODYK Ryan,DODYK Ryan,DODYK Ryan,DODYK Ryan,DODYK Ryan,https://youtu.be/l5dVPGKj3ks
2023 Milton NC,,R1,1,4,KANG Shih Feng,KANG Shih Feng,KANG Shih Feng,KANG Shih Feng,CECHMAN Martin,CECHMAN Martin,CECHMAN Martin,CECHMAN Martin,CECHMAN Martin,https://youtu.be/l5dVPGKj3ks
2023 Milton NC,,R1,2,1,SARNECKI Rafal,SARNECKI Rafal,SARNECKI Rafal,SARNECKI Rafal,SARNECKI Rafal,SAUNDERS Callum,SAUNDERS Callum,QUINTERO CHAVARRO Kevin Santiago,QUINTERO CHAVARRO Kevin Santiago,https://youtu.be/Njuntb0LjJ0
2023 Milton NC,,R1,2,2,SAUNDERS Callum,SAUNDERS Callum,SAUNDERS Callum,SAUNDERS Callum,SAUNDERS Callum,BIANCHI Matteo,BIANCHI Matteo,SAUNDERS Callum,SZALONTAY Sandor,https://youtu.be/Njuntb0LjJ0
2023 Milton NC,,R1,2,3,QUINTERO CHAVARRO Kevin Santiago,QUINTERO CHAVARRO Kevin Santiago,QUINTERO CHAVARRO Kevin Santiago,QUINTERO CHAVARRO Kevin Santiago,BIANCHI Matteo,QUINTERO CHAVARRO Kevin Santiago,QUINTERO CHAVARRO Kevin Santiago,SZALONTAY Sandor,SAUNDERS Callum,https://youtu.be/Njuntb0LjJ0
2023 Milton NC,,R1,2,4,SZALONTAY Sandor,SZALONTAY Sandor,SZALONTAY Sandor,BIANCHI Matteo,QUINTERO CHAVARRO Kevin Santiago,SARNECKI Rafal,SARNECKI Rafal,BIANCHI Matteo,BIANCHI Matteo,https://youtu.be/Njuntb0LjJ0
2023 Milton NC,,R1,2,5,BIANCHI Matteo,BIANCHI Matteo,BIANCHI Matteo,SZALONTAY Sandor,HSIEH Nien Hsing,HSIEH Nien Hsing,SZALONTAY Sandor,SARNECKI Rafal,SARNECKI Rafal,https://youtu.be/Njuntb0LjJ0
2023 Milton NC,,R1,2,6,HSIEH Nien Hsing,HSIEH Nien Hsing,HSIEH Nien Hsing,HSIEH Nien Hsing,SZALONTAY Sandor,SZALONTAY Sandor,HSIEH Nien Hsing,HSIEH Nien Hsing,HSIEH Nien Hsing,https://youtu.be/Njuntb0LjJ0
2023 Milton NC,,R1,3,1,VILAR Lucas Oscar,JURCZYK Marc,JURCZYK Marc,CHUGAY Andrey,CHUGAY Andrey,JURCZYK Marc,JURCZYK Marc,JURCZYK Marc,LIU Qi,https://youtu.be/HNdBDv0zMdU
2023 Milton NC,,R1,3,2,PREDOMO Mattia,VILAR Lucas Oscar,LIU Qi,JURCZYK Marc,JURCZYK Marc,CHUGAY Andrey,LIU Qi,LIU Qi,JURCZYK Marc,https://youtu.be/HNdBDv0zMdU
2023 Milton NC,,R1,3,3,RAMIREZ MORALES Santiago,LIU Qi,CHUGAY Andrey,LIU Qi,LIU Qi,LIU Qi,RAMIREZ MORALES Santiago,RAMIREZ MORALES Santiago,RAMIREZ MORALES Santiago,https://youtu.be/HNdBDv0zMdU
2023 Milton NC,,R1,3,4,CHUGAY Andrey,PREDOMO Mattia,VILAR Lucas Oscar,PREDOMO Mattia,RAMIREZ MORALES Santiago,RAMIREZ MORALES Santiago,CHUGAY Andrey,VILAR Lucas Oscar,VILAR Lucas Oscar,https://youtu.be/HNdBDv0zMdU
2023 Milton NC,,R1,3,5,JURCZYK Marc,RAMIREZ MORALES Santiago,RAMIREZ MORALES Santiago,RAMIREZ MORALES Santiago,PREDOMO Mattia,VILAR Lucas Oscar,VILAR Lucas Oscar,CHUGAY Andrey,CHUGAY Andrey,https://youtu.be/HNdBDv0zMdU
2023 Milton NC,,R1,3,6,LIU Qi,CHUGAY Andrey,PREDOMO Mattia,VILAR Lucas Oscar,VILAR Lucas Oscar,PREDOMO Mattia,PREDOMO Mattia,PREDOMO Mattia,PREDOMO Mattia,https://youtu.be/HNdBDv0zMdU
2023 Milton NC,,R1,4,1,LENDEL Vasilijus,LENDEL Vasilijus,BROWNE Kwesi,LENDEL Vasilijus,ANGSUTHASAWIT Jai,ANGSUTHASAWIT Jai,ANGSUTHASAWIT Jai,ANGSUTHASAWIT Jai,ANGSUTHASAWIT Jai,https://youtu.be/RiOIrwl7vCE
2023 Milton NC,,R1,4,2,MOHD ZONIS Muhammad Fadh,MOHD ZONIS Muhammad Fadh,LENDEL Vasilijus,MOHD ZONIS Muhammad Fadh,LENDEL Vasilijus,LENDEL Vasilijus,LENDEL Vasilijus,LENDEL Vasilijus,LENDEL Vasilijus,https://youtu.be/RiOIrwl7vCE
2023 Milton NC,,R1,4,3,RUIZ TERAN Juan,RUIZ TERAN Juan,MOHD ZONIS Muhammad Fadh,BROWNE Kwesi,MOHD ZONIS Muhammad Fadh,MOHD ZONIS Muhammad Fadh,BROWNE Kwesi,BROWNE Kwesi,RUIZ TERAN Juan,https://youtu.be/RiOIrwl7vCE
2023 Milton NC,,R1,4,4,BROWNE Kwesi,BROWNE Kwesi,RUIZ TERAN Juan,ANGSUTHASAWIT Jai,BROWNE Kwesi,BROWNE Kwesi,MOHD ZONIS Muhammad Fadh,RUIZ TERAN Juan,BROWNE Kwesi,https://youtu.be/RiOIrwl7vCE
2023 Milton NC,,R1,4,5,TO Cheuk Hei,TO Cheuk Hei,TO Cheuk Hei,RUIZ TERAN Juan,RUIZ TERAN Juan,RUIZ TERAN Juan,RUIZ TERAN Juan,TO Cheuk Hei,TO Cheuk Hei,https://youtu.be/RiOIrwl7vCE
2023 Milton NC,,R1,4,6,ANGSUTHASAWIT Jai,ANGSUTHASAWIT Jai,ANGSUTHASAWIT Jai,TO Cheuk Hei,TO Cheuk Hei,TO Cheuk Hei,TO Cheuk Hei,MOHD ZONIS Muhammad Fadh,MOHD ZONIS Muhammad Fadh,https://youtu.be/RiOIrwl7vCE
2023 Milton NC,,R1,5,1,DOERNBACH Maximilian,DOERNBACH Maximilian,DOERNBACH Maximilian,DOERNBACH Maximilian,XUE Chenxi,XUE Chenxi,XUE Chenxi,DOERNBACH Maximilian,DOERNBACH Maximilian,https://youtu.be/a_tLAGHY9O8
2023 Milton NC,,R1,5,2,VERDUGO OSUNA Edgar,VERDUGO OSUNA Edgar,VERDUGO OSUNA Edgar,VERDUGO OSUNA Edgar,DOERNBACH Maximilian,DOERNBACH Maximilian,DOERNBACH Maximilian,XUE Chenxi,XUE Chenxi,https://youtu.be/a_tLAGHY9O8
2023 Milton NC,,R1,5,3,TJON EN FA Jair,TJON EN FA Jair,XUE Chenxi,XUE Chenxi,PONOMARYOV Sergey,PONOMARYOV Sergey,TJON EN FA Jair,TJON EN FA Jair,TJON EN FA Jair,https://youtu.be/a_tLAGHY9O8
2023 Milton NC,,R1,5,4,HEDGCOCK James,HEDGCOCK James,TJON EN FA Jair,TJON EN FA Jair,VERDUGO OSUNA Edgar,TJON EN FA Jair,PONOMARYOV Sergey,PONOMARYOV Sergey,PONOMARYOV Sergey,https://youtu.be/a_tLAGHY9O8
2023 Milton NC,,R1,5,5,XUE Chenxi,XUE Chenxi,PONOMARYOV Sergey,PONOMARYOV Sergey,TJON EN FA Jair,VERDUGO OSUNA Edgar,VERDUGO OSUNA Edgar,HEDGCOCK James,HEDGCOCK James,https://youtu.be/a_tLAGHY9O8
2023 Milton NC,,R1,5,6,PONOMARYOV Sergey,PONOMARYOV Sergey,HEDGCOCK James,HEDGCOCK James,HEDGCOCK James,HEDGCOCK James,HEDGCOCK James,VERDUGO OSUNA Edgar,VERDUGO OSUNA Edgar,https://youtu.be/a_tLAGHY9O8
2023 Milton NC,,R1,6,1,PAUL Nicholas,PAUL Nicholas,PAUL Nicholas,MARTINEZ CHORRO Alejandro,MARTINEZ CHORRO Alejandro,WAMMES Nick,WAMMES Nick,GLAETZER Matthew,GLAETZER Matthew,https://youtu.be/5eYcN5sKTlU
2023 Milton NC,,R1,6,2,WAMMES Nick,WAMMES Nick,WAMMES Nick,WAMMES Nick,WAMMES Nick,MARTINEZ CHORRO Alejandro,GLAETZER Matthew,WAMMES Nick,WAMMES Nick,https://youtu.be/5eYcN5sKTlU
2023 Milton NC,,R1,6,3,GLAETZER Matthew,GLAETZER Matthew,GLAETZER Matthew,PAUL Nicholas,GLAETZER Matthew,GLAETZER Matthew,BOHUSLAVEK Matej,BOHUSLAVEK Matej,BOHUSLAVEK Matej,https://youtu.be/5eYcN5sKTlU
2023 Milton NC,,R1,6,4,BRETAS Sotirios,BRETAS Sotirios,MARTINEZ CHORRO Alejandro,GLAETZER Matthew,BOHUSLAVEK Matej,BOHUSLAVEK Matej,PAUL Nicholas,PAUL Nicholas,PAUL Nicholas,https://youtu.be/5eYcN5sKTlU
2023 Milton NC,,R1,6,5,MARTINEZ CHORRO Alejandro,MARTINEZ CHORRO Alejandro,BRETAS Sotirios,BOHUSLAVEK Matej,PAUL Nicholas,PAUL Nicholas,MARTINEZ CHORRO Alejandro,BRETAS Sotirios,BRETAS Sotirios,https://youtu.be/5eYcN5sKTlU
2023 Milton NC,,R1,6,6,BOHUSLAVEK Matej,BOHUSLAVEK Matej,BOHUSLAVEK Matej,BRETAS Sotirios,BRETAS Sotirios,BRETAS Sotirios,BRETAS Sotirios,MARTINEZ CHORRO Alejandro,MARTINEZ CHORRO Alejandro,https://youtu.be/5eYcN5sKTlU
2023 Milton NC,,Rep,1,1,PREDOMO Mattia,PREDOMO Mattia,PREDOMO Mattia,PREDOMO Mattia,BOHUSLAVEK Matej,BOHUSLAVEK Matej,BOHUSLAVEK Matej,BOHUSLAVEK Matej,BOHUSLAVEK Matej,https://youtu.be/cfgymK-ptcU
2023 Milton NC,,Rep,1,2,BOHUSLAVEK Matej,BOHUSLAVEK Matej,BOHUSLAVEK Matej,BOHUSLAVEK Matej,PREDOMO Mattia,PONOMARYOV Sergey,PONOMARYOV Sergey,PONOMARYOV Sergey,PONOMARYOV Sergey,https://youtu.be/cfgymK-ptcU
2023 Milton NC,,Rep,1,3,PONOMARYOV Sergey,PONOMARYOV Sergey,PONOMARYOV Sergey,TO Cheuk Hei,PONOMARYOV Sergey,PREDOMO Mattia,KANG Shih Feng,KANG Shih Feng,KANG Shih Feng,https://youtu.be/cfgymK-ptcU
2023 Milton NC,,Rep,1,4,TO Cheuk Hei,TO Cheuk Hei,TO Cheuk Hei,PONOMARYOV Sergey,KANG Shih Feng,KANG Shih Feng,PREDOMO Mattia,PREDOMO Mattia,PREDOMO Mattia,https://youtu.be/cfgymK-ptcU
2023 Milton NC,,Rep,1,5,KANG Shih Feng,KANG Shih Feng,KANG Shih Feng,KANG Shih Feng,TO Cheuk Hei,TO Cheuk Hei,TO Cheuk Hei,TO Cheuk Hei,TO Cheuk Hei,https://youtu.be/cfgymK-ptcU
2023 Milton NC,,Rep,2,1,MOHD ZONIS Muhammad Fadh,MOHD ZONIS Muhammad Fadh,MOHD ZONIS Muhammad Fadh,MOHD ZONIS Muhammad Fadh,PAUL Nicholas,PAUL Nicholas,PAUL Nicholas,PAUL Nicholas,PAUL Nicholas,https://youtu.be/Q_gRbmxUmT4
2023 Milton NC,,Rep,2,2,SZALONTAY Sandor,SZALONTAY Sandor,SZALONTAY Sandor,SZALONTAY Sandor,SZALONTAY Sandor,SZALONTAY Sandor,SZALONTAY Sandor,SZALONTAY Sandor,SZALONTAY Sandor,https://youtu.be/Q_gRbmxUmT4
2023 Milton NC,,Rep,2,3,PAUL Nicholas,PAUL Nicholas,PAUL Nicholas,PAUL Nicholas,MOHD ZONIS Muhammad Fadh,DODYK Ryan,DODYK Ryan,DODYK Ryan,DODYK Ryan,https://youtu.be/Q_gRbmxUmT4
2023 Milton NC,,Rep,2,4,DODYK Ryan,DODYK Ryan,DODYK Ryan,BRETAS Sotirios,DODYK Ryan,MOHD ZONIS Muhammad Fadh,MOHD ZONIS Muhammad Fadh,MOHD ZONIS Muhammad Fadh,MOHD ZONIS Muhammad Fadh,https://youtu.be/Q_gRbmxUmT4
2023 Milton NC,,Rep,2,5,BRETAS Sotirios,BRETAS Sotirios,BRETAS Sotirios,DODYK Ryan,BRETAS Sotirios,BRETAS Sotirios,BRETAS Sotirios,BRETAS Sotirios,BRETAS Sotirios,https://youtu.be/Q_gRbmxUmT4
2023 Milton NC,,Rep,3,1,VERDUGO OSUNA Edgar,VERDUGO OSUNA Edgar,VERDUGO OSUNA Edgar,VERDUGO OSUNA Edgar,CECHMAN Martin,HEDGCOCK James,HEDGCOCK James,HEDGCOCK James,HEDGCOCK James,https://youtu.be/LMhoPiPtWHE
2023 Milton NC,,Rep,3,2,CECHMAN Martin,CECHMAN Martin,CECHMAN Martin,CECHMAN Martin,VERDUGO OSUNA Edgar,CECHMAN Martin,CECHMAN Martin,CECHMAN Martin,CECHMAN Martin,https://youtu.be/LMhoPiPtWHE
2023 Milton NC,,Rep,3,3,JURCZYK Marc,JURCZYK Marc,JURCZYK Marc,JURCZYK Marc,HEDGCOCK James,VERDUGO OSUNA Edgar,JURCZYK Marc,JURCZYK Marc,JURCZYK Marc,https://youtu.be/LMhoPiPtWHE
2023 Milton NC,,Rep,3,4,SAUNDERS Callum,SAUNDERS Callum,SAUNDERS Callum,HEDGCOCK James,JURCZYK Marc,JURCZYK Marc,SAUNDERS Callum,SAUNDERS Callum,SAUNDERS Callum,https://youtu.be/LMhoPiPtWHE
2023 Milton NC,,Rep,3,5,HEDGCOCK James,HEDGCOCK James,HEDGCOCK James,SAUNDERS Callum,SAUNDERS Callum,SAUNDERS Callum,VERDUGO OSUNA Edgar,VERDUGO OSUNA Edgar,VERDUGO OSUNA Edgar,https://youtu.be/LMhoPiPtWHE
2023 Milton NC,,Rep,4,1,RAMIREZ MORALES Santiago,RAMIREZ MORALES Santiago,RAMIREZ MORALES Santiago,BIANCHI Matteo,BIANCHI Matteo,BIANCHI Matteo,BIANCHI Matteo,RAMIREZ MORALES Santiago,RAMIREZ MORALES Santiago,https://youtu.be/Es1PuCxdpq8
2023 Milton NC,,Rep,4,2,MORENO SANCHEZ Jose,MORENO SANCHEZ Jose,MORENO SANCHEZ Jose,RAMIREZ MORALES Santiago,RAMIREZ MORALES Santiago,RAMIREZ MORALES Santiago,RAMIREZ MORALES Santiago,LENDEL Vasilijus,LENDEL Vasilijus,https://youtu.be/Es1PuCxdpq8
2023 Milton NC,,Rep,4,3,BIANCHI Matteo,BIANCHI Matteo,LENDEL Vasilijus,MORENO SANCHEZ Jose,LENDEL Vasilijus,LENDEL Vasilijus,LENDEL Vasilijus,BIANCHI Matteo,BIANCHI Matteo,https://youtu.be/Es1PuCxdpq8
2023 Milton NC,,Rep,4,4,LENDEL Vasilijus,LENDEL Vasilijus,BIANCHI Matteo,LENDEL Vasilijus,MORENO SANCHEZ Jose,MORENO SANCHEZ Jose,MORENO SANCHEZ Jose,MORENO SANCHEZ Jose,MORENO SANCHEZ Jose,https://youtu.be/Es1PuCxdpq8
2023 Milton NC,,Rep,5,1,SARNECKI Rafal,SARNECKI Rafal,SARNECKI Rafal,MARTINEZ CHORRO Alejandro,MARTINEZ CHORRO Alejandro,XUE Chenxi,XUE Chenxi,XUE Chenxi,XUE Chenxi,https://youtu.be/oI-xDRYRyYA
2023 Milton NC,,Rep,5,2,XUE Chenxi,XUE Chenxi,XUE Chenxi,VILAR Lucas Oscar,XUE Chenxi,RUIZ TERAN Juan,RUIZ TERAN Juan,RUIZ TERAN Juan,RUIZ TERAN Juan,https://youtu.be/oI-xDRYRyYA
2023 Milton NC,,Rep,5,3,RUIZ TERAN Juan,RUIZ TERAN Juan,RUIZ TERAN Juan,SARNECKI Rafal,VILAR Lucas Oscar,MARTINEZ CHORRO Alejandro,MARTINEZ CHORRO Alejandro,MARTINEZ CHORRO Alejandro,MARTINEZ CHORRO Alejandro,https://youtu.be/oI-xDRYRyYA
2023 Milton NC,,Rep,5,4,MARTINEZ CHORRO Alejandro,MARTINEZ CHORRO Alejandro,MARTINEZ CHORRO Alejandro,XUE Chenxi,RUIZ TERAN Juan,SARNECKI Rafal,SARNECKI Rafal,SARNECKI Rafal,SARNECKI Rafal,https://youtu.be/oI-xDRYRyYA
2023 Milton NC,,Rep,5,5,VILAR Lucas Oscar,VILAR Lucas Oscar,VILAR Lucas Oscar,RUIZ TERAN Juan,SARNECKI Rafal,VILAR Lucas Oscar,VILAR Lucas Oscar,VILAR Lucas Oscar,VILAR Lucas Oscar,https://youtu.be/oI-xDRYRyYA
2023 Milton NC,,Rep,6,1,WAMMES Nick,WAMMES Nick,WAMMES Nick,WAMMES Nick,TJON EN FA Jair,TJON EN FA Jair,TJON EN FA Jair,TJON EN FA Jair,TJON EN FA Jair,https://youtu.be/0io0Qs1DbeQ
2023 Milton NC,,Rep,6,2,CHUGAY Andrey,CHUGAY Andrey,TJON EN FA Jair,TJON EN FA Jair,WAMMES Nick,BROWNE Kwesi,BROWNE Kwesi,BROWNE Kwesi,BROWNE Kwesi,https://youtu.be/0io0Qs1DbeQ
2023 Milton NC,,Rep,6,3,HSIEH Nien Hsing,HSIEH Nien Hsing,CHUGAY Andrey,BROWNE Kwesi,BROWNE Kwesi,WAMMES Nick,WAMMES Nick,WAMMES Nick,WAMMES Nick,https://youtu.be/0io0Qs1DbeQ
2023 Milton NC,,Rep,6,4,TJON EN FA Jair,TJON EN FA Jair,BROWNE Kwesi,CHUGAY Andrey,CHUGAY Andrey,CHUGAY Andrey,CHUGAY Andrey,CHUGAY Andrey,CHUGAY Andrey,https://youtu.be/0io0Qs1DbeQ
2023 Milton NC,,Rep,6,5,BROWNE Kwesi,BROWNE Kwesi,HSIEH Nien Hsing,HSIEH Nien Hsing,HSIEH Nien Hsing,HSIEH Nien Hsing,HSIEH Nien Hsing,HSIEH Nien Hsing,HSIEH Nien Hsing,https://youtu.be/0io0Qs1DbeQ
2023 Milton NC,,SF,1,1,PAUL Nicholas,PAUL Nicholas,PAUL Nicholas,PAUL Nicholas,PAUL Nicholas,PAUL Nicholas,PAUL Nicholas,DOERNBACH Maximilian,DOERNBACH Maximilian,https://youtu.be/-ykwRNHEvWE
2023 Milton NC,,SF,1,2,DOERNBACH Maximilian,DOERNBACH Maximilian,DOERNBACH Maximilian,DOERNBACH Maximilian,DOERNBACH Maximilian,DOERNBACH Maximilian,DOERNBACH Maximilian,PAUL Nicholas,RICHARDSON Matthew,https://youtu.be/-ykwRNHEvWE
2023 Milton NC,,SF,1,3,RICHARDSON Matthew,RICHARDSON Matthew,RICHARDSON Matthew,RICHARDSON Matthew,RICHARDSON Matthew,RICHARDSON Matthew,RICHARDSON Matthew,RICHARDSON Matthew,PAUL Nicholas,https://youtu.be/-ykwRNHEvWE
2023 Milton NC,,SF,1,4,RAMIREZ MORALES Santiago,RAMIREZ MORALES Santiago,RAMIREZ MORALES Santiago,RAMIREZ MORALES Santiago,RAMIREZ MORALES Santiago,RAMIREZ MORALES Santiago,RAMIREZ MORALES Santiago,ANGSUTHASAWIT Jai,ANGSUTHASAWIT Jai,https://youtu.be/-ykwRNHEvWE
2023 Milton NC,,SF,1,5,ANGSUTHASAWIT Jai,ANGSUTHASAWIT Jai,ANGSUTHASAWIT Jai,ANGSUTHASAWIT Jai,ANGSUTHASAWIT Jai,ANGSUTHASAWIT Jai,ANGSUTHASAWIT Jai,RAMIREZ MORALES Santiago,RAMIREZ MORALES Santiago,https://youtu.be/-ykwRNHEvWE
2023 Milton NC,,SF,1,6,XUE Chenxi,XUE Chenxi,XUE Chenxi,XUE Chenxi,XUE Chenxi,XUE Chenxi,XUE Chenxi,XUE Chenxi,XUE Chenxi,https://youtu.be/-ykwRNHEvWE
2023 Milton NC,,SF,2,1,QUINTERO CHAVARRO Kevin Santiago,QUINTERO CHAVARRO Kevin Santiago,HEDGCOCK James,HEDGCOCK James,GLAETZER Matthew,GLAETZER Matthew,GLAETZER Matthew,GLAETZER Matthew,GLAETZER Matthew,https://youtu.be/4d5Qo6izFoU
2023 Milton NC,,SF,2,2,TJON EN FA Jair,TJON EN FA Jair,TJON EN FA Jair,GLAETZER Matthew,LIU Qi,LIU Qi,HEDGCOCK James,HEDGCOCK James,HEDGCOCK James,https://youtu.be/4d5Qo6izFoU
2023 Milton NC,,SF,2,3,BOHUSLAVEK Matej,BOHUSLAVEK Matej,QUINTERO CHAVARRO Kevin Santiago,TJON EN FA Jair,HEDGCOCK James,HEDGCOCK James,LIU Qi,LIU Qi,LIU Qi,https://youtu.be/4d5Qo6izFoU
2023 Milton NC,,SF,2,4,HEDGCOCK James,HEDGCOCK James,GLAETZER Matthew,LIU Qi,TJON EN FA Jair,TJON EN FA Jair,TJON EN FA Jair,TJON EN FA Jair,TJON EN FA Jair,https://youtu.be/4d5Qo6izFoU
2023 Milton NC,,SF,2,5,GLAETZER Matthew,GLAETZER Matthew,BOHUSLAVEK Matej,QUINTERO CHAVARRO Kevin Santiago,QUINTERO CHAVARRO Kevin Santiago,QUINTERO CHAVARRO Kevin Santiago,QUINTERO CHAVARRO Kevin Santiago,QUINTERO CHAVARRO Kevin Santiago,QUINTERO CHAVARRO Kevin Santiago,https://youtu.be/4d5Qo6izFoU
2023 Milton NC,,SF,2,6,LIU Qi,LIU Qi,LIU Qi,BOHUSLAVEK Matej,BOHUSLAVEK Matej,BOHUSLAVEK Matej,BOHUSLAVEK Matej,BOHUSLAVEK Matej,BOHUSLAVEK Matej,https://youtu.be/4d5Qo6izFoU
2023 Milton NC,,F,1,1,ANGSUTHASAWIT Jai,ANGSUTHASAWIT Jai,ANGSUTHASAWIT Jai,XUE Chenxi,XUE Chenxi,XUE Chenxi,XUE Chenxi,ANGSUTHASAWIT Jai,ANGSUTHASAWIT Jai,https://youtu.be/ZdDctR9X1hg
2023 Milton NC,,F,1,2,RAMIREZ MORALES Santiago,RAMIREZ MORALES Santiago,RAMIREZ MORALES Santiago,ANGSUTHASAWIT Jai,LIU Qi,ANGSUTHASAWIT Jai,ANGSUTHASAWIT Jai,QUINTERO CHAVARRO Kevin Santiago,QUINTERO CHAVARRO Kevin Santiago,https://youtu.be/ZdDctR9X1hg
2023 Milton NC,,F,1,3,XUE Chenxi,XUE Chenxi,XUE Chenxi,LIU Qi,ANGSUTHASAWIT Jai,RAMIREZ MORALES Santiago,QUINTERO CHAVARRO Kevin Santiago,RAMIREZ MORALES Santiago,RAMIREZ MORALES Santiago,https://youtu.be/ZdDctR9X1hg
2023 Milton NC,,F,1,4,LIU Qi,LIU Qi,LIU Qi,RAMIREZ MORALES Santiago,QUINTERO CHAVARRO Kevin Santiago,QUINTERO CHAVARRO Kevin Santiago,RAMIREZ MORALES Santiago,XUE Chenxi,XUE Chenxi,https://youtu.be/ZdDctR9X1hg
2023 Milton NC,,F,1,5,QUINTERO CHAVARRO Kevin Santiago,QUINTERO CHAVARRO Kevin Santiago,QUINTERO CHAVARRO Kevin Santiago,QUINTERO CHAVARRO Kevin Santiago,RAMIREZ MORALES Santiago,LIU Qi,BOHUSLAVEK Matej,BOHUSLAVEK Matej,BOHUSLAVEK Matej,https://youtu.be/ZdDctR9X1hg
2023 Milton NC,,F,1,6,BOHUSLAVEK Matej,BOHUSLAVEK Matej,BOHUSLAVEK Matej,BOHUSLAVEK Matej,BOHUSLAVEK Matej,BOHUSLAVEK Matej,LIU Qi,LIU Qi,LIU Qi,https://youtu.be/ZdDctR9X1hg
2023 Milton NC,,F,2,1,PAUL Nicholas,DOERNBACH Maximilian,DOERNBACH Maximilian,DOERNBACH Maximilian,PAUL Nicholas,PAUL Nicholas,PAUL Nicholas,RICHARDSON Matthew,,https://youtu.be/Lw8yHoTnqoY
2023 Milton NC,,F,2,2,DOERNBACH Maximilian,RICHARDSON Matthew,RICHARDSON Matthew,PAUL Nicholas,DOERNBACH Maximilian,GLAETZER Matthew,RICHARDSON Matthew,DOERNBACH Maximilian,,https://youtu.be/Lw8yHoTnqoY
2023 Milton NC,,F,2,3,GLAETZER Matthew,PAUL Nicholas,TJON EN FA Jair,RICHARDSON Matthew,RICHARDSON Matthew,RICHARDSON Matthew,GLAETZER Matthew,PAUL Nicholas,,https://youtu.be/Lw8yHoTnqoY
2023 Milton NC,,F,2,4,HEDGCOCK James,TJON EN FA Jair,GLAETZER Matthew,TJON EN FA Jair,GLAETZER Matthew,TJON EN FA Jair,TJON EN FA Jair,GLAETZER Matthew,,https://youtu.be/Lw8yHoTnqoY
2023 Milton NC,,F,2,5,TJON EN FA Jair,GLAETZER Matthew,HEDGCOCK James,GLAETZER Matthew,TJON EN FA Jair,DOERNBACH Maximilian,HEDGCOCK James,HEDGCOCK James,,https://youtu.be/Lw8yHoTnqoY
2023 Milton NC,,F,2,6,RICHARDSON Matthew,HEDGCOCK James,PAUL Nicholas,HEDGCOCK James,HEDGCOCK James,HEDGCOCK James,DOERNBACH Maximilian,TJON EN FA Jair,,https://youtu.be/Lw8yHoTnqoY
2023 Glasgow WCH,9/08/2023,R1,1,1,CARLIN Jack,CARLIN Jack,CARLIN Jack,YAKOVLEV Mikhail,YAKOVLEV Mikhail,YAKOVLEV Mikhail,YAKOVLEV Mikhail,CARLIN Jack,CARLIN Jack,https://youtu.be/f27l-prGVbg
