Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
9:12:59,0,0,0,0,24,0,255,0,0
9:13:00,0,0,0,0,24,0,255,0,0
9:13:01,6.3,0,0,0,24,0,255,0,0
9:13:02,6.3,0,0,0,24,0,255,0,0
9:13:03,0,0,0,0,24,0,255,0,0
9:13:04,0,0,0,0,24,0,255,0,0
9:13:05,0,0,0,0,24,0,255,0,0
9:13:06,0,0,0,0,24,0,255,0,0
9:13:07,5.1,0,0,0,24,0,255,0,0
9:13:08,5.1,0,0,0,24,0,255,0,0
9:13:09,7.21,0,0,0,24,0,255,0,0
9:13:10,9.6,0,0,0,24,0,255,0,0
9:13:11,11,0,0,0,24,0,255,0,0
9:13:12,12.17,0,0,0,24,0,255,0,0
9:13:13,13.68,0,0,0,24,0,255,0,0
9:13:14,14.9,124,26,0,24,0,58,0,0
9:13:15,15.94,124,26,0,24,0,58,0,0
9:13:16,16.8,114,30,0,24,0,59,0,0
9:13:17,17.46,114,30,0,24,0,59,0,0
9:13:18,18.2,80,32,0,24,0,50,0,0
9:13:19,18.59,80,32,0,24,0,50,0,0
9:13:20,19.05,74,34,0,24,0,58,0,0
9:13:21,19.2,30,35,0,24,0,100,0,0
9:13:22,18.32,30,35,0,24,0,100,0,0
9:13:23,16.43,0,30,0,24,0,255,0,0
9:13:24,15.65,0,30,0,24,0,255,0,0
9:13:25,14.44,0,30,0,24,0,255,0,0
9:13:26,13.85,0,26,0,24,0,255,0,0
9:13:27,12.5,0,26,0,24,0,255,0,0
9:13:28,11.03,0,0,0,24,0,255,0,0
9:13:29,10.5,0,0,0,25,0,255,0,0
9:13:30,8.8,0,0,0,25,0,255,0,0
9:13:31,7.3,0,0,0,25,0,255,0,0
9:13:32,5.1,0,0,0,25,0,255,0,0
9:13:33,5.1,0,0,0,25,0,255,0,0
9:13:34,0,0,0,0,25,0,255,0,0
9:13:35,0,0,0,0,25,0,255,0,0
9:13:36,6.3,0,0,0,25,0,255,0,0
9:13:37,8.2,0,0,0,25,0,255,0,0
9:13:38,10.08,0,0,0,25,0,255,0,0
9:13:39,11.7,0,0,0,25,0,255,0,0
9:13:40,13.32,0,0,0,25,0,255,0,0
9:13:41,13.39,76,23,0,25,0,82,0,0
9:13:42,13.94,76,23,0,25,0,82,0,0
9:13:43,14.09,25,25,0,25,0,51,0,0
9:13:44,13.9,25,25,0,25,0,51,0,0
9:13:45,14.45,81,26,0,25,0,30,0,0
9:13:46,15.35,81,26,0,25,0,30,0,0
9:13:47,16.62,123,30,0,25,0,50,0,0
9:13:48,17.45,123,30,0,25,0,50,0,0
9:13:49,18,88,33,0,25,0,46,0,0
9:13:50,18.66,88,33,0,25,0,46,0,0
9:13:51,19.65,111,35,0,25,0,52,0,0
9:13:52,19.93,71,36,0,25,0,57,0,0
9:13:53,20.3,71,36,0,25,0,57,0,0
9:13:54,20.93,87,38,0,25,0,50,0,0
9:13:55,21.05,87,38,0,25,0,50,0,0
9:13:56,21.6,110,39,0,25,0,48,0,0
9:13:57,22.29,180,41,0,25,0,40,0,0
9:13:58,23.13,247,43,0,25,0,52,0,0
9:13:59,24.7,247,43,0,25,0,52,0,0
9:14:00,25.83,350,47,0,25,0,43,0,0
9:14:01,27.86,434,50,0,25,0,42,0,0
9:14:02,28.55,518,53,0,25,0,50,0,0
9:14:03,29.88,464,55,0,25,0,52,0,0
9:14:04,30.94,448,57,0,25,0,52,0,0
9:14:05,32.12,463,59,0,25,0,47,0,0
9:14:06,33.55,510,61,0,25,0,47,0,0
9:14:07,33.9,542,61,0,25,0,50,0,0
9:14:08,34.42,484,63,0,25,0,49,0,0
9:14:09,35.58,391,65,0,25,0,53,0,0
9:14:10,36.56,311,66,0,25,0,53,0,0
9:14:11,37.59,260,68,0,25,0,50,0,0
9:14:12,39.15,348,71,0,25,0,51,0,0
9:14:13,41.09,381,77,0,25,0,53,0,0
9:14:14,42.3,308,79,0,25,0,53,0,0
9:14:15,43.1,310,79,0,25,0,55,0,0
9:14:16,43.7,293,80,0,25,0,56,0,0
9:14:17,43.53,180,80,0,25,0,59,0,0
9:14:18,43.4,158,79,0,25,0,54,0,0
9:14:19,42.21,122,75,0,25,0,55,0,0
9:14:20,41.26,95,75,0,25,0,62,0,0
9:14:21,40.93,115,75,0,25,0,53,0,0
9:14:22,41.06,101,75,0,25,0,52,0,0
9:14:23,40.8,101,75,0,25,0,51,0,0
9:14:24,40.74,159,75,0,25,0,43,0,0
9:14:25,41.98,259,77,0,25,0,51,0,0
9:14:26,43.26,234,78,0,25,0,55,0,0
9:14:27,43.67,207,80,0,25,0,51,0,0
9:14:28,43.15,188,79,0,25,0,53,0,0
9:14:29,42.5,281,76,0,25,0,48,0,0
9:14:30,41.01,369,75,0,25,0,51,0,0
9:14:31,41.22,368,75,0,25,0,50,0,0
9:14:32,41.5,361,75,0,25,0,50,0,0
9:14:33,41.75,301,76,0,25,0,53,0,0
9:14:34,42.18,258,78,0,25,0,51,0,0
9:14:35,43.46,281,80,0,25,0,55,0,0
9:14:36,45.45,190,83,0,25,0,53,0,0
9:14:37,46.42,211,86,0,25,0,47,0,0
9:14:38,47.13,239,86,0,25,0,50,0,0
9:14:39,46.83,251,86,0,25,0,50,0,0
9:14:40,46.25,302,84,0,25,0,51,0,0
9:14:41,45.44,307,81,0,25,0,53,0,0
9:14:42,44.93,321,81,0,25,0,53,0,0
9:14:43,45.5,319,82,0,25,0,55,0,0
9:14:44,45.83,250,84,0,25,0,55,0,0
9:14:45,46.02,198,85,0,25,0,59,0,0
9:14:46,45.86,139,85,0,25,0,44,0,0
9:14:47,47.41,235,88,0,25,0,46,0,0
9:14:48,48.73,360,89,0,25,0,54,0,0
9:14:49,49.03,266,90,0,25,0,59,0,0
9:14:50,47.91,101,86,0,25,0,39,0,0
9:14:51,46.65,325,83,0,25,0,59,0,0
9:14:52,44.64,234,81,0,25,0,60,0,0
9:14:53,43.5,237,78,0,25,0,51,0,0
9:14:54,42.91,155,78,0,25,0,47,0,0
9:14:55,42.76,166,78,0,25,0,56,0,0
9:14:56,43.67,110,80,0,25,0,53,0,0
9:14:57,45.92,106,85,0,25,0,50,0,0
9:14:58,47.58,8,87,0,25,0,46,0,0
9:14:59,47.95,41,88,0,25,0,64,0,0
9:15:00,47.49,49,86,0,25,0,25,0,0
9:15:01,46.25,199,84,0,25,0,52,0,0
9:15:02,45.16,313,82,0,25,0,51,0,0
9:15:03,42.6,378,77,0,25,0,52,0,0
9:15:04,42.08,333,77,0,25,0,52,0,0
9:15:05,42.45,309,77,0,25,0,53,0,0
9:15:06,42.67,282,78,0,25,0,58,0,0
9:15:07,43.31,203,80,0,25,0,57,0,0
9:15:08,44.55,152,83,0,25,0,65,0,0
9:15:09,47.3,179,87,0,25,0,48,0,0
