Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
10:10:21,0,0,0,0,27,0,255,0,0
10:10:23,0,0,0,0,27,0,255,0,0
10:10:25,0,0,0,0,27,0,255,0,0
10:10:27,0,0,0,0,27,0,255,0,0
10:10:29,0,0,0,0,27,0,255,0,0
10:10:31,0,0,0,0,27,0,255,0,0
10:10:33,0,0,0,0,27,0,255,0,0
10:10:35,0,0,0,0,27,0,255,0,0
10:10:37,0,0,0,0,27,0,255,0,0
10:10:39,0,0,0,0,27,0,255,0,0
10:10:41,0,0,0,0,27,0,255,0,0
10:10:43,0,0,0,0,27,0,255,0,0
10:10:45,0,0,0,0,27,0,255,0,0
10:10:47,0,0,0,0,27,0,255,0,0
10:10:49,0,33,20,0,27,0,69,0,0
10:10:51,0,33,20,0,27,0,69,0,0
10:10:53,0,33,20,0,27,0,69,0,0
10:10:55,0,25,21,0,27,0,36,0,0
10:10:57,0,25,21,0,27,0,36,0,0
10:10:59,0,25,21,0,27,0,36,0,0
10:11:01,0,19,22,0,27,0,44,0,0
10:11:03,0,19,22,0,27,0,44,0,0
10:11:05,0,5,22,0,27,0,0,0,0
10:11:07,0,5,22,0,27,0,0,0,0
10:11:09,0,5,22,0,27,0,0,0,0
10:11:11,0,14,21,0,27,0,3,0,0
10:11:13,0,14,21,0,27,0,3,0,0
10:11:15,0,14,21,0,27,0,3,0,0
10:11:17,0,31,23,0,27,0,47,0,0
10:11:19,0,31,23,0,27,0,47,0,0
10:11:21,0,36,25,0,27,0,50,0,0
10:11:23,0,36,25,0,27,0,50,0,0
10:11:25,0,40,26,0,27,0,47,0,0
10:11:27,0,40,26,0,27,0,47,0,0
10:11:29,0,33,27,0,27,0,64,0,0
10:11:31,0,33,27,0,27,0,64,0,0
10:11:33,0,33,27,0,27,0,64,0,0
10:11:35,0,20,28,0,27,0,43,0,0
10:11:37,0,20,28,0,27,0,43,0,0
10:11:39,0,22,28,0,27,0,52,0,0
10:11:41,0,22,28,0,27,0,52,0,0
10:11:43,0,24,29,0,27,0,54,0,0
10:11:45,0,24,29,0,27,0,54,0,0
10:11:47,0,25,29,0,27,0,33,0,0
10:11:49,0,25,29,0,27,0,33,0,0
10:11:51,0,9,30,0,27,0,52,0,0
10:11:53,0,9,30,0,27,0,52,0,0
10:11:55,0,2,29,0,27,0,60,0,0
10:11:57,0,0,0,0,27,0,60,0,0
10:11:59,0,0,0,0,27,0,50,0,0
10:12:01,0,0,0,0,27,0,50,0,0
10:12:03,0,0,27,0,27,0,255,0,0
10:12:05,0,0,27,0,27,0,255,0,0
10:12:07,0,0,24,0,27,0,255,0,0
10:12:09,0,0,24,0,27,0,255,0,0
10:12:11,0,0,24,0,27,0,255,0,0
10:12:13,0,5,23,0,27,0,22,0,0
10:12:15,0,5,23,0,27,0,22,0,0
10:12:17,0,5,23,0,27,0,22,0,0
10:12:19,0,1,22,0,27,0,100,0,0
10:12:21,0,1,22,0,27,0,100,0,0
10:12:23,0,0,0,0,27,0,255,0,0
10:12:25,0,0,0,0,27,0,255,0,0
10:12:27,0,0,0,0,27,0,255,0,0
10:12:29,0,0,0,0,27,0,255,0,0
10:12:31,0,0,0,0,27,0,255,0,0
10:12:33,0,0,0,0,27,0,255,0,0
10:12:35,0,0,0,0,27,0,255,0,0
10:12:37,0,0,0,0,27,0,255,0,0
10:12:39,0,0,0,0,27,0,255,0,0
10:12:41,0,0,0,0,27,0,255,0,0
10:12:43,0,0,0,0,27,0,255,0,0
10:12:45,0,0,0,0,27,0,255,0,0
10:12:47,0,0,0,0,27,0,255,0,0
10:12:49,0,0,0,0,27,0,255,0,0
10:12:51,0,0,0,0,27,0,255,0,0
10:12:53,0,0,0,0,27,0,255,0,0
10:12:55,0,0,0,0,27,0,255,0,0
10:12:57,0,0,0,0,27,0,255,0,0
10:12:59,0,0,0,0,27,0,255,0,0
10:13:01,0,164,27,0,27,0,53,0,0
10:13:03,0,164,27,0,27,0,53,0,0
10:13:05,0,164,33,0,27,0,58,0,0
10:13:07,0,164,33,0,27,0,58,0,0
10:13:09,0,124,37,0,27,0,54,0,0
10:13:11,0,73,39,0,27,0,62,0,0
10:13:13,0,73,39,0,27,0,62,0,0
10:13:15,0,34,40,0,27,0,54,0,0
10:13:17,0,9,40,0,27,0,66,0,0
10:13:19,0,9,40,0,27,0,66,0,0
10:13:21,0,5,39,0,27,0,81,0,0
10:13:23,0,0,37,0,27,0,255,0,0
10:13:25,0,0,37,0,27,0,255,0,0
10:13:27,0,0,34,0,27,0,255,0,0
10:13:29,0,0,34,0,27,0,255,0,0
10:13:31,0,0,31,0,27,0,255,0,0
10:13:33,0,0,31,0,27,0,255,0,0
10:13:35,0,1,29,0,27,0,0,0,0
10:13:37,0,1,29,0,27,0,0,0,0
10:13:39,0,0,28,0,27,0,0,0,0
10:13:41,0,0,28,0,27,0,0,0,0
10:13:43,0,0,26,0,27,0,255,0,0
10:13:45,0,0,26,0,27,0,255,0,0
10:13:47,0,0,26,0,27,0,255,0,0
10:13:49,0,0,24,0,27,0,255,0,0
10:13:51,0,0,24,0,27,0,255,0,0
10:13:53,0,4,23,0,27,0,100,0,0
10:13:55,0,4,23,0,27,0,100,0,0
10:13:57,0,4,23,0,27,0,100,0,0
10:13:59,0,17,23,0,27,0,32,0,0
10:14:01,0,17,23,0,27,0,32,0,0
10:14:03,0,2,23,0,27,0,100,0,0
10:14:05,0,2,23,0,27,0,100,0,0
10:14:07,0,2,23,0,27,0,100,0,0
10:14:09,0,18,23,0,27,0,40,0,0
10:14:11,0,18,23,0,27,0,40,0,0
10:14:13,0,12,24,0,27,0,60,0,0
10:14:15,0,12,24,0,27,0,60,0,0
10:14:17,0,12,24,0,27,0,60,0,0
10:14:19,0,16,24,0,27,0,37,0,0
10:14:21,0,16,24,0,27,0,37,0,0
10:14:23,0,16,25,0,27,0,78,0,0
10:14:25,0,16,25,0,27,0,78,0,0
10:14:27,0,21,26,0,27,0,37,0,0
10:14:29,0,21,26,0,27,0,37,0,0
10:14:31,0,21,26,0,27,0,37,0,0
10:14:33,0,61,27,0,27,0,40,0,0
10:14:35,0,61,27,0,27,0,40,0,0
10:14:37,0,18,29,0,27,0,61,0,0
10:14:39,0,18,29,0,27,0,61,0,0
10:14:41,0,6,28,0,27,0,83,0,0
10:14:43,0,6,28,0,27,0,83,0,0
10:14:45,0,2,28,0,27,0,40,0,0
10:14:47,0,2,28,0,27,0,40,0,0
10:14:49,0,7,27,0,27,0,78,0,0
10:14:51,0,7,27,0,27,0,78,0,0
10:14:53,0,17,27,0,27,0,55,0,0
10:14:55,0,17,27,0,27,0,55,0,0
10:14:57,0,7,27,0,27,0,84,0,0
10:14:59,0,7,27,0,27,0,84,0,0
10:15:01,0,7,27,0,27,0,84,0,0
10:15:03,0,2,27,0,27,0,50,0,0
10:15:05,0,2,27,0,27,0,50,0,0
10:15:07,0,1,26,0,27,0,100,0,0
10:15:09,0,1,26,0,27,0,100,0,0
10:15:11,0,18,26,0,27,0,40,0,0
10:15:13,0,18,26,0,27,0,40,0,0
10:15:15,0,12,27,0,27,0,73,0,0
10:15:17,0,12,27,0,27,0,73,0,0
10:15:19,0,12,27,0,27,0,73,0,0
10:15:21,0,15,27,0,27,0,66,0,0
10:15:23,0,15,27,0,27,0,66,0,0
10:15:25,0,13,27,0,27,0,70,0,0
10:15:27,0,13,27,0,27,0,70,0,0
10:15:29,0,14,27,0,27,0,70,0,0
10:15:31,0,14,27,0,27,0,70,0,0
10:15:33,0,13,28,0,27,0,65,0,0
10:15:35,0,13,28,0,27,0,65,0,0
10:15:37,0,16,28,0,27,0,51,0,0
10:15:39,0,16,28,0,27,0,51,0,0
10:15:41,0,57,29,0,27,0,61,0,0
10:15:43,0,57,29,0,27,0,61,0,0
10:15:45,0,11,30,0,27,0,72,0,0
10:15:47,0,11,30,0,27,0,72,0,0
10:15:49,0,58,30,0,27,0,25,0,0
10:15:51,0,58,30,0,27,0,25,0,0
10:15:53,0,40,32,0,27,0,73,0,0
10:15:55,0,40,32,0,27,0,73,0,0
10:15:57,0,4,33,0,27,0,75,0,0
10:15:59,0,6,32,0,27,0,81,0,0
10:16:01,0,6,32,0,27,0,81,0,0
10:16:03,0,11,32,0,27,0,77,0,0
10:16:05,0,11,32,0,27,0,77,0,0
10:16:07,0,16,32,0,27,0,18,0,0
10:16:09,0,16,32,0,27,0,18,0,0
10:16:11,0,10,32,0,27,0,52,0,0
10:16:13,0,10,32,0,27,0,52,0,0
10:16:15,0,2,32,0,27,0,50,0,0
10:16:17,0,2,32,0,27,0,50,0,0
10:16:19,0,1,31,0,27,0,100,0,0
10:16:21,0,1,31,0,27,0,100,0,0
10:16:23,0,0,29,0,27,0,255,0,0
10:16:25,0,0,29,0,27,0,255,0,0
10:16:27,0,3,28,0,27,0,0,0,0
10:16:29,0,3,28,0,27,0,0,0,0
10:16:31,0,22,28,0,27,0,25,0,0
10:16:33,0,22,28,0,27,0,25,0,0
10:16:35,0,46,29,0,27,0,44,0,0
10:16:37,0,46,29,0,27,0,44,0,0
10:16:39,0,23,30,0,27,0,93,0,0
10:16:41,0,23,30,0,27,0,93,0,0
10:16:43,0,6,30,0,27,0,69,0,0
10:16:45,0,6,30,0,27,0,69,0,0
10:16:47,0,8,30,0,27,0,62,0,0
10:16:49,0,8,30,0,27,0,62,0,0
10:16:51,0,10,30,0,27,0,73,0,0
10:16:53,0,10,30,0,27,0,73,0,0
10:16:55,0,11,30,0,27,0,82,0,0
10:16:57,0,11,30,0,27,0,82,0,0
10:16:59,0,12,30,0,27,0,26,0,0
10:17:01,0,12,30,0,27,0,26,0,0
