Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
9:35:34,0,0,0,0,26,0,255,0,0
9:35:35,0,0,0,0,26,0,255,0,0
9:35:36,0,0,0,0,26,0,255,0,0
9:35:37,0,0,0,0,27,0,255,0,0
9:35:38,0,0,0,0,27,0,255,0,0
9:35:39,0,0,0,0,27,0,255,0,0
9:35:40,0,0,0,0,27,0,255,0,0
9:35:41,0,0,0,0,27,0,255,0,0
9:35:42,0,0,0,0,27,0,255,0,0
9:35:43,0,0,0,0,27,0,255,0,0
9:35:44,0,0,0,0,27,0,255,0,0
9:35:45,0,0,0,0,27,0,255,0,0
9:35:46,0,0,0,0,27,0,255,0,0
9:35:47,0,0,0,0,27,0,255,0,0
9:35:48,0,0,0,0,27,0,255,0,0
9:35:49,0,0,0,0,27,0,255,0,0
9:35:50,0,0,0,0,27,0,255,0,0
9:35:51,4,0,0,0,27,0,255,0,0
9:35:52,5.4,0,0,0,27,0,255,0,0
9:35:53,6,0,0,0,27,0,255,0,0
9:35:54,7.4,0,0,0,27,0,255,0,0
9:35:55,8.1,0,0,0,27,0,255,0,0
9:35:56,9,0,0,0,27,0,255,0,0
9:35:57,9.7,0,0,0,27,0,255,0,0
9:35:58,10.25,0,0,0,27,0,255,0,0
9:35:59,10.9,0,0,0,27,0,255,0,0
9:36:00,11.39,0,0,0,27,0,255,0,0
9:36:01,11.9,29,22,0,27,0,74,0,0
9:36:02,12.15,29,22,0,27,0,74,0,0
9:36:03,12.55,29,22,0,27,0,74,0,0
9:36:04,13,30,24,0,27,0,55,0,0
9:36:05,13.05,30,24,0,27,0,55,0,0
9:36:06,13.2,27,25,0,27,0,56,0,0
9:36:07,13.55,27,25,0,27,0,56,0,0
9:36:08,13.85,27,25,0,27,0,56,0,0
9:36:09,14,30,26,0,27,0,58,0,0
9:36:10,14.1,30,26,0,27,0,58,0,0
9:36:11,14.3,22,26,0,27,0,43,0,0
9:36:12,14.4,22,26,0,27,0,43,0,0
9:36:13,14.65,28,27,0,27,0,51,0,0
9:36:14,14.7,28,27,0,27,0,51,0,0
9:36:15,14.8,22,28,0,27,0,48,0,0
9:36:16,14.85,22,28,0,27,0,48,0,0
9:36:17,14.85,26,28,0,27,0,55,0,0
9:36:18,14.95,26,28,0,27,0,55,0,0
9:36:19,15.1,26,28,0,27,0,52,0,0
9:36:20,15.25,26,28,0,27,0,52,0,0
9:36:21,15.45,33,29,0,27,0,55,0,0
9:36:22,15.7,33,29,0,27,0,55,0,0
9:36:23,15.75,20,30,0,27,0,51,0,0
9:36:24,15.73,20,30,0,27,0,51,0,0
9:36:25,15.65,8,29,0,27,0,47,0,0
9:36:26,15.6,8,29,0,27,0,47,0,0
9:36:27,15.7,18,29,0,27,0,33,0,0
9:36:28,15.75,18,29,0,27,0,33,0,0
9:36:29,15.75,7,29,0,27,0,85,0,0
9:36:30,15.7,7,29,0,27,0,85,0,0
9:36:31,15.6,7,29,0,27,0,85,0,0
9:36:32,15.5,7,29,0,27,0,50,0,0
9:36:33,15.45,7,29,0,27,0,50,0,0
9:36:34,15.6,9,29,0,27,0,16,0,0
9:36:35,15.7,9,29,0,27,0,16,0,0
9:36:36,15.6,18,29,0,27,0,91,0,0
9:36:37,15.55,18,29,0,27,0,91,0,0
9:36:38,15.4,21,29,0,27,0,100,0,0
9:36:39,15.25,21,29,0,27,0,100,0,0
9:36:40,15.3,21,29,0,27,0,37,0,0
9:36:41,15.35,21,29,0,27,0,37,0,0
9:36:42,15.4,24,29,0,27,0,52,0,0
9:36:43,15.4,24,29,0,27,0,52,0,0
9:36:44,15.06,5,29,0,27,0,100,0,0
9:36:45,14.85,5,29,0,27,0,100,0,0
9:36:46,15.15,30,28,0,27,0,49,0,0
9:36:47,14.95,30,28,0,27,0,49,0,0
9:36:48,15.15,22,28,0,27,0,4,0,0
9:36:49,15.49,22,28,0,27,0,4,0,0
9:36:50,15.8,42,29,0,27,0,65,0,0
9:36:51,16,42,29,0,27,0,65,0,0
9:36:52,16.05,22,30,0,27,0,62,0,0
9:36:53,15.95,22,30,0,27,0,62,0,0
9:36:54,16.2,19,30,0,27,0,62,0,0
9:36:55,16.13,19,30,0,27,0,62,0,0
9:36:56,16.15,11,30,0,27,0,43,0,0
9:36:57,16.25,11,30,0,27,0,43,0,0
9:36:58,16.15,14,30,0,27,0,55,0,0
