Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
10:25:07,0,0,0,0,26,0,255,0,0
10:25:08,0,0,0,0,26,0,255,0,0
10:25:09,0,0,0,0,26,0,255,0,0
10:25:10,0,0,0,0,26,0,255,0,0
10:25:11,0,0,0,0,26,0,255,0,0
10:25:12,0,0,0,0,26,0,255,0,0
10:25:13,0,0,0,0,26,0,255,0,0
10:25:14,0,0,0,0,26,0,255,0,0
10:25:15,0,0,0,0,26,0,255,0,0
10:25:16,0,0,0,0,26,0,255,0,0
10:25:17,0,0,0,0,26,0,255,0,0
10:25:18,0,0,0,0,26,0,255,0,0
10:25:19,0,0,0,0,26,0,255,0,0
10:25:20,0,0,0,0,26,0,255,0,0
10:25:21,0,0,0,0,26,0,255,0,0
10:25:22,0,0,0,0,26,0,255,0,0
10:25:23,0,0,0,0,26,0,255,0,0
10:25:24,0,0,0,0,26,0,255,0,0
10:25:25,0,0,0,0,26,0,255,0,0
10:25:26,0,0,0,0,26,0,255,0,0
10:25:27,0,0,0,0,26,0,255,0,0
10:25:28,0,0,0,0,26,0,255,0,0
10:25:29,0,0,0,0,26,0,255,0,0
10:25:30,0,0,0,0,26,0,255,0,0
10:25:31,0,0,0,0,26,0,255,0,0
10:25:32,0,0,0,0,26,0,255,0,0
10:25:33,0,0,0,0,26,0,255,0,0
10:25:34,0,0,0,0,26,0,255,0,0
10:25:35,0,0,0,0,26,0,255,0,0
10:25:36,0,0,0,0,26,0,255,0,0
10:25:37,0,0,0,0,27,0,255,0,0
10:25:38,0,36,25,0,27,0,30,0,0
10:25:39,0,36,25,0,27,0,30,0,0
10:25:40,0,75,26,0,27,0,47,0,0
10:25:41,0,75,26,0,27,0,47,0,0
10:25:42,0,105,29,0,27,0,42,0,0
10:25:43,0,105,29,0,27,0,42,0,0
10:25:44,0,80,32,0,27,0,68,0,0
10:25:45,0,80,32,0,27,0,68,0,0
10:25:46,0,75,34,0,27,0,40,0,0
10:25:47,0,163,36,0,27,0,36,0,0
10:25:48,0,163,36,0,27,0,36,0,0
10:25:49,0,219,40,0,27,0,49,0,0
10:25:50,0,123,42,0,27,0,53,0,0
10:25:51,0,123,42,0,27,0,53,0,0
10:25:52,0,84,43,0,27,0,43,0,0
10:25:53,0,128,44,0,27,0,42,0,0
10:25:54,0,106,44,0,27,0,57,0,0
10:25:55,0,106,44,0,27,0,57,0,0
10:25:56,0,87,45,0,27,0,36,0,0
10:25:57,0,218,46,0,27,0,49,0,0
10:25:58,0,244,48,0,27,0,49,0,0
10:25:59,0,204,51,0,27,0,46,0,0
10:26:00,0,204,51,0,27,0,46,0,0
10:26:01,0,229,53,0,27,0,47,0,0
10:26:02,0,118,54,0,27,0,41,0,0
10:26:03,0,187,55,0,27,0,50,0,0
10:26:04,0,220,56,0,27,0,46,0,0
10:26:05,0,264,57,0,27,0,38,0,0
10:26:06,0,291,59,0,27,0,47,0,0
10:26:07,0,283,60,0,27,0,41,0,0
10:26:08,0,305,62,0,27,0,52,0,0
10:26:09,0,358,62,0,27,0,42,0,0
10:26:10,0,302,61,0,27,0,57,0,0
10:26:11,0,323,62,0,27,0,47,0,0
10:26:12,0,345,61,0,27,0,47,0,0
10:26:13,0,392,62,0,27,0,46,0,0
10:26:14,0,382,63,0,27,0,46,0,0
10:26:15,0,388,63,0,27,0,46,0,0
10:26:16,0,349,65,0,27,0,46,0,0
10:26:17,0,342,66,0,27,0,44,0,0
10:26:18,0,386,68,0,27,0,46,0,0
10:26:19,0,351,71,0,27,0,46,0,0
10:26:20,0,373,73,0,27,0,44,0,0
10:26:21,0,266,75,0,27,0,42,0,0
10:26:22,0,243,78,0,27,0,46,0,0
10:26:23,0,317,79,0,27,0,45,0,0
10:26:24,0,313,80,0,27,0,42,0,0
10:26:25,0,340,80,0,27,0,52,0,0
10:26:26,0,397,79,0,27,0,46,0,0
10:26:27,0,295,78,0,27,0,44,0,0
10:26:28,0,291,78,0,27,0,49,0,0
10:26:29,0,300,77,0,27,0,45,0,0
10:26:30,0,309,77,0,27,0,44,0,0
10:26:31,0,286,78,0,27,0,42,0,0
10:26:32,0,297,80,0,27,0,48,0,0
10:26:33,0,343,82,0,27,0,49,0,0
10:26:34,0,325,83,0,27,0,46,0,0
10:26:35,0,374,83,0,27,0,44,0,0
10:26:36,0,427,82,0,27,0,48,0,0
10:26:37,0,465,80,0,27,0,45,0,0
10:26:38,0,491,79,0,27,0,51,0,0
10:26:39,0,374,79,0,27,0,47,0,0
10:26:40,0,350,80,0,27,0,50,0,0
10:26:41,0,321,80,0,27,0,46,0,0
10:26:42,0,289,81,0,27,0,50,0,0
10:26:43,0,285,84,0,27,0,48,0,0
10:26:44,0,336,87,0,27,0,45,0,0
