Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
9:51:20,0,0,0,0,27,0,255,0,0
9:51:21,0,0,0,0,27,0,255,0,0
9:51:22,0,0,0,0,27,0,255,0,0
9:51:23,0,0,0,0,27,0,255,0,0
9:51:24,0,0,0,0,27,0,255,0,0
9:51:25,0,0,0,0,27,0,255,0,0
9:51:26,0,0,0,0,27,0,255,0,0
9:51:27,0,0,0,0,27,0,255,0,0
9:51:28,0,0,0,0,27,0,255,0,0
9:51:29,0,0,0,0,27,0,255,0,0
9:51:30,0,0,0,0,27,0,255,0,0
9:51:31,0,0,0,0,27,0,255,0,0
9:51:32,0,0,0,0,27,0,255,0,0
9:51:33,0,0,0,0,27,0,255,0,0
9:51:34,0,0,0,0,27,0,255,0,0
9:51:35,0,0,0,0,27,0,255,0,0
9:51:36,0,0,0,0,27,0,255,0,0
9:51:37,0,0,0,0,27,0,255,0,0
9:51:38,0,0,0,0,27,0,255,0,0
9:51:39,0,0,0,0,27,0,255,0,0
9:51:40,0,0,0,0,27,0,255,0,0
9:51:41,0,0,0,0,27,0,255,0,0
9:51:42,0,0,0,0,27,0,255,0,0
9:51:43,0,0,0,0,27,0,255,0,0
9:51:44,0,0,0,0,27,0,255,0,0
9:51:45,0,0,0,0,27,0,255,0,0
9:51:46,0,0,0,0,27,0,255,0,0
9:51:47,0,0,0,0,27,0,255,0,0
9:51:48,0,0,0,0,27,0,255,0,0
9:51:49,0,0,0,0,27,0,255,0,0
9:51:50,0,0,0,0,27,0,255,0,0
9:51:51,0,0,0,0,27,0,255,0,0
9:51:52,0,0,0,0,27,0,255,0,0
9:51:53,0,0,0,0,27,0,255,0,0
9:51:54,0,0,0,0,27,0,255,0,0
9:51:55,0,0,0,0,27,0,255,0,0
9:51:56,0,0,0,0,27,0,255,0,0
9:51:57,0,0,0,0,27,0,255,0,0
9:51:58,0,0,0,0,27,0,255,0,0
9:51:59,0,0,0,0,27,0,255,0,0
9:52:00,0,0,0,0,27,0,255,0,0
9:52:01,0,0,0,0,27,0,255,0,0
9:52:02,0,0,0,0,27,0,255,0,0
9:52:03,0,0,0,0,27,0,255,0,0
9:52:04,0,0,0,0,27,0,255,0,0
