Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
10:24:03,0,0,0,0,25,0,255,0,0
10:24:04,0,0,0,0,25,0,255,0,0
10:24:05,0,0,0,0,25,0,255,0,0
10:24:06,0,0,0,0,25,0,255,0,0
10:24:07,0,0,0,0,25,0,255,0,0
10:24:08,0,0,0,0,25,0,255,0,0
10:24:09,0,0,0,0,25,0,255,0,0
10:24:10,0,0,0,0,25,0,255,0,0
10:24:11,0,0,0,0,25,0,255,0,0
10:24:12,0,0,0,0,25,0,255,0,0
10:24:13,0,0,0,0,25,0,255,0,0
10:24:14,0,0,0,0,25,0,255,0,0
10:24:15,0,0,0,0,25,0,255,0,0
10:24:16,0,0,0,0,25,0,255,0,0
10:24:17,0,0,0,0,25,0,255,0,0
10:24:18,0,0,0,0,25,0,255,0,0
10:24:19,0,0,0,0,25,0,255,0,0
10:24:20,0,0,0,0,25,0,255,0,0
10:24:21,0,0,0,0,25,0,255,0,0
10:24:22,0,0,0,0,25,0,255,0,0
10:24:23,0,0,0,0,25,0,255,0,0
10:24:24,0,0,0,0,25,0,255,0,0
10:24:25,0,0,0,0,25,0,255,0,0
10:24:26,0,0,0,0,25,0,255,0,0
10:24:27,0,0,0,0,25,0,255,0,0
10:24:28,0,0,0,0,25,0,255,0,0
10:24:29,0,0,0,0,25,0,255,0,0
10:24:30,0,0,0,0,25,0,255,0,0
10:24:31,0,0,0,0,25,0,255,0,0
10:24:32,0,0,0,0,25,0,255,0,0
10:24:33,0,0,0,0,25,0,255,0,0
10:24:34,0,0,0,0,25,0,255,0,0
10:24:35,0,0,0,0,25,0,255,0,0
10:24:36,0,0,0,0,25,0,255,0,0
10:24:37,0,0,0,0,25,0,255,0,0
10:24:38,0,0,0,0,25,0,255,0,0
10:24:39,0,0,0,0,25,0,255,0,0
10:24:40,0,72,21,0,25,0,51,0,0
10:24:41,0,72,21,0,25,0,51,0,0
10:24:42,0,72,21,0,25,0,51,0,0
10:24:43,0,73,25,0,25,0,50,0,0
10:24:44,0,73,25,0,25,0,50,0,0
10:24:45,0,70,28,0,25,0,52,0,0
10:24:46,0,70,28,0,25,0,52,0,0
10:24:47,0,68,30,0,25,0,52,0,0
10:24:48,0,68,30,0,25,0,52,0,0
10:24:49,0,49,31,0,25,0,50,0,0
10:24:50,0,49,31,0,25,0,50,0,0
10:24:51,0,42,32,0,25,0,45,0,0
10:24:52,0,43,32,0,25,0,48,0,0
10:24:53,0,43,32,0,25,0,48,0,0
10:24:54,0,50,33,0,25,0,46,0,0
10:24:55,0,50,33,0,25,0,46,0,0
10:24:56,0,40,33,0,25,0,44,0,0
10:24:57,0,40,33,0,25,0,44,0,0
10:24:58,0,51,34,0,25,0,58,0,0
10:24:59,0,66,35,0,25,0,48,0,0
10:25:00,0,66,35,0,25,0,48,0,0
10:25:01,0,99,36,0,25,0,52,0,0
10:25:02,0,99,36,0,25,0,52,0,0
10:25:03,0,94,37,0,25,0,45,0,0
10:25:04,0,127,39,0,25,0,42,0,0
10:25:05,0,127,39,0,25,0,42,0,0
10:25:06,0,113,41,0,25,0,47,0,0
10:25:07,0,84,42,0,25,0,55,0,0
10:25:08,0,73,43,0,25,0,48,0,0
10:25:09,0,73,43,0,25,0,48,0,0
10:25:10,0,63,43,0,25,0,46,0,0
10:25:11,0,49,43,0,25,0,74,0,0
10:25:12,0,49,43,0,25,0,74,0,0
10:25:13,0,41,43,0,25,0,48,0,0
10:25:14,0,48,43,0,25,0,62,0,0
10:25:15,0,54,42,0,25,0,66,0,0
10:25:16,0,54,42,0,25,0,66,0,0
10:25:17,0,54,42,0,25,0,53,0,0
10:25:18,0,71,42,0,25,0,57,0,0
10:25:19,0,71,42,0,25,0,57,0,0
10:25:20,0,44,42,0,25,0,31,0,0
10:25:21,0,53,42,0,25,0,55,0,0
10:25:22,0,32,43,0,25,0,63,0,0
10:25:23,0,32,43,0,25,0,63,0,0
10:25:24,0,29,42,0,25,0,42,0,0
10:25:25,0,54,43,0,25,0,55,0,0
10:25:26,0,54,43,0,25,0,55,0,0
10:25:27,0,71,43,0,25,0,54,0,0
10:25:28,0,60,44,0,25,0,53,0,0
10:25:29,0,64,44,0,25,0,54,0,0
10:25:30,0,64,44,0,25,0,54,0,0
10:25:31,0,74,44,0,25,0,50,0,0
10:25:32,0,64,43,0,25,0,51,0,0
10:25:33,0,64,43,0,25,0,54,0,0
10:25:34,0,64,43,0,25,0,54,0,0
10:25:35,0,68,43,0,25,0,48,0,0
10:25:36,0,261,45,0,25,0,36,0,0
10:25:37,0,403,48,0,25,0,56,0,0
10:25:38,0,316,53,0,25,0,50,0,0
10:25:39,0,276,55,0,25,0,51,0,0
10:25:40,0,322,57,0,25,0,42,0,0
10:25:41,0,467,61,0,25,0,48,0,0
10:25:42,0,443,64,0,25,0,52,0,0
10:25:43,0,371,66,0,25,0,50,0,0
10:25:44,0,316,67,0,25,0,49,0,0
10:25:45,0,292,68,0,25,0,51,0,0
10:25:46,0,268,68,0,25,0,46,0,0
10:25:47,0,245,68,0,25,0,57,0,0
10:25:48,0,185,67,0,25,0,61,0,0
10:25:49,0,205,67,0,25,0,48,0,0
10:25:50,0,89,66,0,25,0,50,0,0
10:25:51,0,100,65,0,25,0,55,0,0
10:25:52,0,218,66,0,25,0,44,0,0
10:25:53,0,197,68,0,25,0,51,0,0
10:25:54,0,229,69,0,25,0,49,0,0
10:25:55,0,276,69,0,25,0,52,0,0
10:25:56,0,339,70,0,25,0,49,0,0
10:25:57,0,145,71,0,25,0,75,0,0
10:25:58,0,62,69,0,25,0,53,0,0
10:25:59,0,80,67,0,25,0,43,0,0
